entity_id,fos_list
2780317303,Biology:0.5_Geology:0.33_History:0.08_Geography:0.08
2909780435,Medicine:1.0
2908655481,-:0.0
3020147417,Medicine:1.0
2909077891,Medicine:0.5_Biology:0.5
2994197376,Biology:0.88_Geography:0.12
2910118034,Medicine:0.5_Biology:0.5
2908607322,Biology:0.5_Geology:0.5
2909192395,Medicine:0.5_Biology:0.5
2908747496,Biology:1.0
2781466880,-:0.0
2994546566,Computer science:1.0
2909253894,Biology:1.0
2910118299,-:0.0
2778799457,Biology:0.75_Chemistry:0.25
2908573415,Medicine:0.5_Biology:0.5
2909235236,Medicine:0.5_Biology:0.5
2911151577,-:0.0
2778181486,Psychology:0.25_Sociology:0.25_Political science:0.25_Business:0.25
2777378490,Biology:0.67_Medicine:0.33
2992901489,Materials science:0.37_Engineering:0.32_Physics:0.11_Chemistry:0.11_Political science:0.05_Biology:0.05
2910179689,Chemistry:0.44_Biology:0.38_Medicine:0.12_Engineering:0.06
2909834516,Medicine:0.5_Biology:0.5
2993887814,Materials science:0.5_Chemistry:0.21_Physics:0.08_Engineering:0.08_Medicine:0.04_Biology:0.04_Geography:0.04
2909755668,-:0.0
2910915911,Geology:0.67_Biology:0.33
2910613175,Medicine:1.0
2776976204,Computer science:0.5_Mathematics:0.5
2910008212,Medicine:0.5_Biology:0.5
2910352742,Philosophy:0.5_Art:0.5
2910313011,Biology:0.58_Medicine:0.32_Chemistry:0.11
2909540944,Medicine:0.5_Biology:0.5
2908959391,Chemistry:0.4_Physics:0.2_Medicine:0.2_Biology:0.2
10194927,Philosophy:0.4_Art:0.4_History:0.2
2776863635,Psychology:0.25_Sociology:0.25_Computer science:0.25_Medicine:0.25
2780861853,Engineering:0.33_Materials science:0.33_Chemistry:0.33
2909765722,Medicine:1.0
2910236562,-:0.0
2779715395,Biology:0.75_Geology:0.25
3020244057,Psychology:1.0
3018027120,Physics:1.0
2909715763,Biology:0.86_Geology:0.14
2992202359,Computer science:0.25_Economics:0.25_Engineering:0.25_Business:0.25
2780758983,Engineering:0.67_Political science:0.33
2992203592,Engineering:0.6_Computer science:0.2_Mathematics:0.2
2910944892,Biology:0.75_Chemistry:0.25
2776528577,Biology:0.5_Chemistry:0.17_Mathematics:0.17_Computer science:0.17
2908832245,Biology:1.0
2780411628,-:0.0
2910245534,-:0.0
2909476723,Biology:1.0
2910307277,-:0.0
2908901351,Biology:0.75_Chemistry:0.25
99288877,Biology:0.43_Chemistry:0.43_Physics:0.14
2777860597,Medicine:0.5_Biology:0.5
2910966063,Medicine:0.5_Biology:0.5
2909598513,-:0.0
2781376274,Biology:1.0
2910469575,-:0.0
2780236042,Biology:1.0
2778944087,Medicine:0.67_Biology:0.33
2908549965,Medicine:0.5_Biology:0.5
2909872178,Biology:1.0
2910077662,-:0.0
2775977816,Economics:1.0
2909295241,Biology:1.0
2776517814,-:0.0
2908896422,Medicine:0.75_Biology:0.25
2779616699,Biology:0.57_Chemistry:0.33_Physics:0.05_Medicine:0.05
2908725105,-:0.0
2986871338,Physics:0.67_Mathematics:0.33
2777697960,Computer science:0.58_Mathematics:0.17_Physics:0.17_Engineering:0.08
2909897114,Biology:1.0
2911080076,Biology:0.25_Materials science:0.25_Chemistry:0.25_Medicine:0.25
2777407738,-:0.0
2779217906,Physics:0.67_Materials science:0.22_Political science:0.11
2910695068,Medicine:0.86_Biology:0.14
2908666856,Biology:0.5_Psychology:0.25_Sociology:0.25
2776313021,Medicine:0.5_Biology:0.5
17738144,Business:0.5_Economics:0.5
2908577992,Medicine:0.5_Biology:0.5
2781461822,Chemistry:0.67_Engineering:0.33
2777285968,Medicine:0.5_Biology:0.5
2909019930,Medicine:0.67_Biology:0.33
2778257046,-:0.0
2909832440,-:0.0
2910644537,-:0.0
2909187919,Biology:1.0
2985243306,Engineering:0.67_Political science:0.33
2776719521,Philosophy:0.5_Art:0.25_Geography:0.25
2910051108,Medicine:0.5_Biology:0.5
2911028019,Chemistry:1.0
2910635944,-:0.0
2911048332,Medicine:0.86_Biology:0.14
2779920957,Biology:0.62_Medicine:0.25_Chemistry:0.12
2776237978,-:0.0
102513296,Computer science:0.43_Biology:0.29_Engineering:0.14_Chemistry:0.14
2909339004,-:0.0
2908698668,Medicine:0.5_Biology:0.5
2909516009,Biology:0.62_Chemistry:0.21_Medicine:0.17
3019064940,Computer science:1.0
2910610664,Chemistry:0.83_Engineering:0.17
2910912974,Medicine:0.5_Biology:0.5
2776362945,Biology:0.5_Medicine:0.25_Psychology:0.25
2909619222,Medicine:0.5_Biology:0.5
2909089291,-:0.0
2777781039,Engineering:0.67_Political science:0.33
2909017778,-:0.0
2780980206,Medicine:0.5_Biology:0.5
2908971244,Computer science:1.0
2909389667,Biology:1.0
3018560493,Biology:0.75_Chemistry:0.25
2780807805,Biology:1.0
2780096361,Biology:1.0
2993671587,Geology:0.33_Geography:0.22_Philosophy:0.11_History:0.11_Physics:0.11_Biology:0.11
2910894830,Mathematics:1.0
2984358308,Mathematics:0.5_Computer science:0.25_Physics:0.25
2909986988,Biology:1.0
2908549158,Psychology:0.67_Medicine:0.33
2908534533,-:0.0
2781113004,-:0.0
2909562340,Medicine:0.5_Biology:0.5
2776955662,-:0.0
2776041911,Biology:1.0
2777588657,Biology:0.57_Chemistry:0.29_Medicine:0.14
2908727509,Biology:1.0
3020136315,Medicine:1.0
2910386185,Biology:1.0
2909523058,-:0.0
2781004657,Psychology:0.33_Sociology:0.33_Biology:0.33
94314489,Mathematics:0.67_Engineering:0.33
2908528340,-:0.0
2984497686,Physics:0.27_Materials science:0.27_Chemistry:0.27_Engineering:0.13_Biology:0.07
2777857746,Chemistry:0.75_Biology:0.25
2909451871,-:0.0
2988101926,Engineering:0.75_Computer science:0.25
2909962857,Medicine:0.5_Biology:0.5
2910304361,Biology:1.0
2986880855,Engineering:0.5_Medicine:0.25_Political science:0.25
3018107608,Medicine:1.0
2910267589,Biology:0.67_Chemistry:0.17_Medicine:0.17
2909904907,-:0.0
2909748466,Biology:0.5_Environmental science:0.25_Geography:0.25
2982820051,-:0.0
190727270,Biology:0.67_Medicine:0.17_Chemistry:0.17
2909042280,Medicine:0.5_Biology:0.5
2909292184,Medicine:0.5_Biology:0.5
2909624608,Medicine:1.0
2910711537,-:0.0
2776426773,Biology:0.25_History:0.25_Geography:0.25_Economics:0.25
2910103063,-:0.0
2779852217,Computer science:0.75_Mathematics:0.25
2910646464,Medicine:0.5_Biology:0.5
2910576956,-:0.0
2910044952,-:0.0
2910214584,-:0.0
2992877989,Biology:0.7_Chemistry:0.2_Medicine:0.1
2909774510,Medicine:0.5_Biology:0.5
2777844407,Biology:0.67_Geology:0.33
2778002324,Computer science:1.0
148220186,Mathematics:0.5_Economics:0.5
2909702307,-:0.0
187204502,Physics:0.83_Computer science:0.17
2778279344,Medicine:0.5_Biology:0.5
2908713814,Medicine:0.5_Biology:0.5
2778272302,Biology:0.75_Geology:0.25
