entity_id,class,foaf_name,rank,level,paperFamilyCount,citationCount,paperCount
2911196251,FieldOfStudy,Langford Laboratories,19886,3,3,17,3
2910346524,FieldOfStudy,Aedes palauensis,22082,3,1,0,1
2910143176,FieldOfStudy,Rhytidophyllum auriculatum,22082,3,1,0,1
2910506288,FieldOfStudy,Alcanivorax pacificus,20546,3,4,9,4
2780330018,FieldOfStudy,Brasilodontidae,21867,5,1,4,1
7478940,FieldOfStudy,Coordination polymerization,12680,5,3139,52455,3145
2908586837,FieldOfStudy,Behavioural psychotherapy,16006,3,188,1627,188
2908558683,FieldOfStudy,Scale construction,13787,2,1122,18065,1126
2910029296,FieldOfStudy,Increased gastric cancer,19371,5,11,39,11
2992673121,FieldOfStudy,Local organization,14648,2,749,5363,749
2994593267,FieldOfStudy,Conformal radiotherapy,13376,5,1897,24977,1898
72991990,FieldOfStudy,Smoothstep,22082,2,1,0,1
2910563605,FieldOfStudy,Electronic occlusion spectacles,21635,3,1,2,1
2779150200,FieldOfStudy,Sharphydrus,20343,3,4,11,4
3019692984,FieldOfStudy,Delphi round,15303,3,84,4778,84
2780937864,FieldOfStudy,Dipterocarpus kerrii,19044,3,5,112,5
2777038638,FieldOfStudy,Seedless fruit,15385,4,315,3802,316
2780384893,FieldOfStudy,Danio,12147,4,7267,148458,7302
2908885647,FieldOfStudy,Caloforcipomyia,20759,3,3,6,3
2910071264,FieldOfStudy,Bulb syringe,17221,4,47,417,47
2778414457,FieldOfStudy,RUVBL2,15931,5,90,4203,90
2909025157,FieldOfStudy,Oxybutynine,16746,5,88,817,88
2777945184,FieldOfStudy,Greek art,14425,2,981,4012,981
2992591913,FieldOfStudy,Single difference,15738,3,181,1843,182
2992982897,FieldOfStudy,Online voting,16086,4,276,766,276
2910328163,FieldOfStudy,Argas cooleyi,19065,5,12,51,12
2909409567,FieldOfStudy,Vein incision,19708,4,10,4,10
2911073326,FieldOfStudy,Dendrogastridae,21252,4,2,3,2
2910951627,FieldOfStudy,P-Glycoprotein Activity,17719,5,58,231,58
2776662222,FieldOfStudy,Renalia,18428,5,9,219,9
2994068182,FieldOfStudy,Solid wall,13899,3,1619,8887,1622
2910927001,FieldOfStudy,MDM2/MDMX Inhibitor ALRN-6924,22082,3,1,0,1
2910393690,FieldOfStudy,Poly ADP-Ribose Synthase,19819,5,7,15,7
2909092055,FieldOfStudy,Spiranthes aestivalis,18592,4,12,142,12
2776245643,FieldOfStudy,Gradient copolymers,14335,5,374,14873,376
2910920982,FieldOfStudy,Control Interaction,15964,2,193,1366,194
2779719152,FieldOfStudy,Drag crisis,13308,5,158,22589,158
2909312056,FieldOfStudy,Polymeric IgG,19087,5,8,101,8
2909281571,FieldOfStudy,Piloderma fallax,20329,5,1,37,1
2779521750,FieldOfStudy,Rhynchosaurus,18479,3,17,145,17
2909485833,FieldOfStudy,Neutral neck position,17680,4,33,372,33
2993589761,FieldOfStudy,Cellular death,15207,5,295,4894,296
2910640023,FieldOfStudy,Dorstenia foetida,20408,3,3,21,3
2911191547,FieldOfStudy,Lernaeodiscus porcellanae,19701,5,3,58,3
2777261766,FieldOfStudy,T-coloring,16219,5,50,1286,50
2909158600,FieldOfStudy,Lactate permease,16808,5,45,1389,45
2910954601,FieldOfStudy,Schroederia setigera,20675,2,4,1,4
2910999399,FieldOfStudy,Nervus suralis,18361,4,37,31,37
10090317,FieldOfStudy,Social cue,12780,2,2865,71443,2892
2909026899,FieldOfStudy,Bipolar growth,19146,5,9,67,10
2908817259,FieldOfStudy,Beta-guanidinopropionate,19159,2,6,71,6
2992236078,FieldOfStudy,Artificial culture,14214,2,1349,6417,1349
2908884169,FieldOfStudy,Amyloid heart disease,17485,5,52,301,52
2778809367,FieldOfStudy,Minto wheel,20984,2,3,0,3
2911074911,FieldOfStudy,C5AR1 gene,22082,2,1,0,1
2780254266,FieldOfStudy,Rucaparib,14456,5,489,18197,490
32667852,FieldOfStudy,Liquid handling robot,16433,4,104,1476,105
2909929786,FieldOfStudy,Tert-butylacrylamide,17842,5,21,139,22
2910877308,FieldOfStudy,Adoptive grandparent,20478,3,3,15,3
2777559537,FieldOfStudy,Keyspace,16036,3,110,941,114
2777287250,FieldOfStudy,Argyrops spinifer,18118,3,39,122,40
2778053065,FieldOfStudy,Thermoanaerobacteriales,20163,4,4,37,4
2909464687,FieldOfStudy,Pronephroi,20574,5,2,22,2
2778760064,FieldOfStudy,NFE2,16974,5,41,1139,41
3019024574,FieldOfStudy,Gastric sleeve,15888,5,201,2262,201
151995515,FieldOfStudy,Angle of repose,12569,3,5132,42775,5143
2910563437,FieldOfStudy,Acquired atrial septal defect,20225,2,4,13,4
2910506124,FieldOfStudy,Ilex rugosa,19875,3,8,4,8
2780971011,FieldOfStudy,Alagille syndrome,14046,3,1014,19548,1016
2779313829,FieldOfStudy,Peripheral nerve interface,14988,4,171,6943,171
2780544363,FieldOfStudy,Perfluorobutanesulfonyl fluoride,18134,3,25,160,25
2778211079,FieldOfStudy,Mawsonia,18572,5,16,192,16
2908777815,FieldOfStudy,Upper first molar tooth,20103,2,4,26,4
2910537990,FieldOfStudy,Poa alsodes,20696,5,4,0,4
2910698749,FieldOfStudy,Penicillium guanacastense,22082,3,1,0,1
2778016309,FieldOfStudy,Stigmasterol,12660,5,4789,55602,4794
2910526087,FieldOfStudy,Leea aequata,19180,3,18,2,18
2909211137,FieldOfStudy,Cleome spinosa,17754,2,59,115,59
2910088015,FieldOfStudy,Glycinamide Ribonucleotide Transformylase,17596,4,54,243,54
2908600522,FieldOfStudy,Tabanus par,19497,2,7,41,7
2776048382,FieldOfStudy,Interleukin-18 receptor,16079,5,80,2297,81
2777306669,FieldOfStudy,Maquira sclerophylla,19815,2,5,35,5
2909568268,FieldOfStudy,CUSCUTA AUSTRALIS SEED,21389,2,2,0,2
2780357403,FieldOfStudy,Iwahori–Hecke algebra,15705,4,89,2200,99
2911102286,FieldOfStudy,Convolvulus siculus,21083,3,1,13,1
2910642178,FieldOfStudy,Arthroderma,15895,5,139,2536,139
2780412070,FieldOfStudy,Apteronotus galvisi,21693,2,1,6,1
2910747722,FieldOfStudy,Diagnostic intent,20314,5,5,12,5
2778478619,FieldOfStudy,Controlled ovarian hyperstimulation,13159,5,2664,40699,2680
2984675304,FieldOfStudy,Matrix compression,16578,3,120,377,121
2909677991,FieldOfStudy,GLUTAMATE DEHYDROGENASE 2,20675,5,3,15,3
2909067153,FieldOfStudy,Ononis pubescens,20534,3,3,14,3
2780200500,FieldOfStudy,Utegenia,19105,4,7,123,7
2909878892,FieldOfStudy,ROSIN POWDER,17586,3,68,89,68
2909070058,FieldOfStudy,Gea theridioides,22023,3,1,1,1
2908641722,FieldOfStudy,Black francolin,18282,4,38,81,38
2908634703,FieldOfStudy,Genotypic Sex,17255,4,40,767,41
2910180476,FieldOfStudy,Eulimnogammarus cyaneus,19289,5,7,129,7
2778261432,FieldOfStudy,Eumastacoidea,18146,5,40,77,40
2985471203,FieldOfStudy,False detection,13265,2,3338,17248,3351
2909712262,FieldOfStudy,Chuangxinmycin,17935,3,30,186,33
2909324032,FieldOfStudy,Microsporidium ceylonensis,22082,3,1,0,1
2910519229,FieldOfStudy,Aciphylla dieffenbachii,20469,4,2,7,2
2908962453,FieldOfStudy,Butoxybenzyl hyoscyamine,22082,3,1,0,1
2909379878,FieldOfStudy,Interferometries,18698,3,17,27,17
2909984500,FieldOfStudy,Granulomatous arthritis,17823,5,10,440,10
2777566804,FieldOfStudy,Parakiefferiella,18999,5,15,58,15
2776485076,FieldOfStudy,Soluble transferrin receptor,13752,4,1199,24945,1200
2908889083,FieldOfStudy,Polyacanthocephala,22082,5,1,0,1
2910650778,FieldOfStudy,Dicaeum ignipectus,21736,3,1,5,1
54092447,FieldOfStudy,Cassini projection,17622,5,52,242,52
3018771133,FieldOfStudy,Antibody imaging,17598,4,42,446,42
2910263850,FieldOfStudy,Milk Growth Factor,18822,5,12,104,12
2776517123,FieldOfStudy,Löfgren syndrome,15413,5,132,5585,132
2780378543,FieldOfStudy,Cnemidophorus arubensis,18841,3,8,132,8
2909576677,FieldOfStudy,Reinkes oedema,20711,3,3,6,3
2781271936,FieldOfStudy,Deinocheirus,18475,5,11,216,11
2909308398,FieldOfStudy,Autonomic facial cephalgia,20278,3,1,22,1
40758505,FieldOfStudy,Prime number theorem,13805,4,1087,12032,1125
2985970845,FieldOfStudy,Digital computer,11008,2,12424,156312,12488
2779232117,FieldOfStudy,Utetheisa ornatrix,15914,4,112,3193,112
2778537899,FieldOfStudy,Bedtime,12033,3,6117,137073,6126
2778175477,FieldOfStudy,Sicyonia,18230,4,35,131,35
2776452961,FieldOfStudy,Mean arterial pressure,10445,5,32666,616002,32702
2777909354,FieldOfStudy,Production planning,11451,2,14732,148801,14813
2909558944,FieldOfStudy,Chest Wall Disease,18134,5,30,126,30
2779471462,FieldOfStudy,Parasitidae,15960,4,250,1717,250
2911049531,FieldOfStudy,Adenocarpus ombriosus,22014,3,1,1,1
2908836200,FieldOfStudy,TRAPENCAINE,19543,2,9,20,9
2908846993,FieldOfStudy,Sotos Syndrome Gene,22082,3,1,0,1
73869474,FieldOfStudy,Yarrow algorithm,20510,2,1,5,1
195767000,FieldOfStudy,Potentiometric sensor,12830,4,3039,49605,3047
2909350459,FieldOfStudy,Hydroxyiminostilbene,19625,3,1,74,1
2911167531,FieldOfStudy,Nocturnal facio-mandibular myoclonus,20147,3,2,49,2
2911217509,FieldOfStudy,Davana oil,18886,4,15,75,15
2908688311,FieldOfStudy,Gnesiotrocha,19414,4,12,32,12
2909071473,FieldOfStudy,Subfascial bursa,19788,3,1,48,1
2908896387,FieldOfStudy,Hancolupenone,19864,2,5,28,5
2909947337,FieldOfStudy,Orectolobus leptolineatus,22082,3,1,0,1
2910274601,FieldOfStudy,Chaetodera regalis,21648,3,1,5,1
2909334159,FieldOfStudy,Castroviejoa,20431,3,2,38,2
2779724133,FieldOfStudy,Cruoria,19389,3,6,82,6
2909297866,FieldOfStudy,Serum clobazam level,20775,3,1,18,1
2910371857,FieldOfStudy,Normal Epithelial Cell-Specific 1,19744,4,3,77,3
2984866010,FieldOfStudy,Public space,11210,2,30052,129592,30137
2910995577,FieldOfStudy,Rytidosperma quirihuense,21454,3,1,6,1
2910590987,FieldOfStudy,Xenopus amieti,18941,5,11,127,11
2780334160,FieldOfStudy,Myotomys,20624,2,3,18,3
2779140192,FieldOfStudy,Push out test,15706,4,326,1520,326
2993037837,FieldOfStudy,Media optimization,16221,3,197,1415,197
2911123492,FieldOfStudy,White-throated nightjar,19684,2,11,0,11
2911178630,FieldOfStudy,Porpidia nigrocruenta,21752,3,1,4,1
2778979890,FieldOfStudy,Choroid plexus cyst,15504,5,238,3913,239
512654426,FieldOfStudy,Public domain,11816,2,11938,105617,11977
2910835660,FieldOfStudy,Sarcocornia tegetaria,22082,3,1,0,1
2777731597,FieldOfStudy,Enpiprazole,21100,3,1,9,1
2911216044,FieldOfStudy,Coniferophyta,17059,2,67,757,67
3017391962,FieldOfStudy,Healthcare data,14351,3,1297,7305,1308
2909640144,FieldOfStudy,Coelocraera,20518,3,3,9,3
2908998171,FieldOfStudy,PEG-uricase,19540,5,12,7,12
2909047113,FieldOfStudy,Hemolytic Plaque Technique,13861,4,699,19420,699
130787975,FieldOfStudy,Patent medicine,14759,3,781,3914,782
2911186063,FieldOfStudy,Incidental appendicectomy,17978,4,23,177,23
2777551583,FieldOfStudy,Prognathism,13708,3,1678,17635,1680
2780967750,FieldOfStudy,Rare biosphere,13418,5,260,54356,262
2911066369,FieldOfStudy,Babylonia japonica,17355,3,43,521,43
2778222588,FieldOfStudy,Yersinia pestis,12395,4,5321,95017,5332
2909748875,FieldOfStudy,Para-albumin,21376,3,1,6,1
2908558503,FieldOfStudy,Ventilago harmandiana,20984,2,3,0,3
170956458,FieldOfStudy,Narcissistic number,19577,5,10,5,10
156365220,FieldOfStudy,Infographic,13662,2,3951,4309,3960
2993197317,FieldOfStudy,Speckle photography,14884,3,477,3654,482
2778257359,FieldOfStudy,Carbonyl cyanide-p-trifluoromethoxyphenylhydrazone,14347,4,338,16125,338
2910457955,FieldOfStudy,Child day care centre,19197,2,10,71,10
2909152122,FieldOfStudy,Streptomyces sp. VITPSA,21896,3,1,4,1
2780397730,FieldOfStudy,Low frustration tolerance,15205,3,176,5060,176
2910596017,FieldOfStudy,Analytical Testing,15099,3,461,3542,461
2909331854,FieldOfStudy,Obsessive Hoarding,18377,4,13,289,13
2910101763,FieldOfStudy,Petrolisthes japonicus,21192,3,2,5,2
2908699295,FieldOfStudy,Tobacco Use Disorders,19126,4,14,57,14
2987540413,FieldOfStudy,Nanometer cmos technology,18445,4,25,73,25
3019616643,FieldOfStudy,Single tube,13228,2,3686,16590,3687
2908640534,FieldOfStudy,Microcebus mamiratra,20957,3,3,2,3
2910521955,FieldOfStudy,Naso brevirostris,18947,5,8,158,8
2911042273,FieldOfStudy,Phrynosoma mcallii,18282,4,21,267,21
2777596711,FieldOfStudy,Pterotaea,21289,3,2,1,2
2908579928,FieldOfStudy,Phenidylate,19864,2,3,28,3
2908559909,FieldOfStudy,Dibasic potassium phosphate,16827,2,51,663,51
2910075933,FieldOfStudy,Palatorrhaphy,18085,2,39,103,39
2908641352,FieldOfStudy,Isocannflavin B,20517,3,1,26,1
2911034463,FieldOfStudy,Streptomyces polychromogenes,20398,2,5,5,5
2776108266,FieldOfStudy,Ribes echinellum,20550,2,4,10,4
2911010700,FieldOfStudy,Progressive diaphyseal dysplasia,17008,4,73,584,75
2910210759,FieldOfStudy,Tyrosine dehalogenase,21389,3,2,0,2
2910766549,FieldOfStudy,LOXORIBINE,19200,5,13,34,14
2909068003,FieldOfStudy,Stage IVB Hodgkin's Disease,21433,3,1,4,1
2911099580,FieldOfStudy,Edmundoa lindenii,22082,3,1,0,1
2911197996,FieldOfStudy,Closed Dislocation,16775,3,89,773,90
2780934452,FieldOfStudy,Micromixing,13090,3,1739,36895,1747
2910380146,FieldOfStudy,Scar tissues,15998,2,271,1294,272
2908778164,FieldOfStudy,Pachycordylidae,20185,3,1,47,1
2992759796,FieldOfStudy,Central intelligence agency,14850,3,871,2804,871
2909093114,FieldOfStudy,Fuji IX GP Fast,18601,4,13,99,13
2909254912,FieldOfStudy,Apocheima pilosaria,20708,3,2,16,2
2909058058,FieldOfStudy,Cytochrome P450 Family,17590,5,67,255,67
2909785763,FieldOfStudy,Infection klebsiella,20983,3,2,8,2
2780714037,FieldOfStudy,Stock market index future,20815,2,2,12,2
2909625999,FieldOfStudy,Spiraea flexuosa,22082,3,1,0,1
3018922982,FieldOfStudy,Trigger tool,15556,4,292,3163,294
2779211076,FieldOfStudy,Clarkia mosquinii,21344,3,2,1,2
2988952231,FieldOfStudy,Round trip propagation delay,17972,3,21,188,21
2909142834,FieldOfStudy,Sechium chinantlense,21366,3,2,4,2
2910321766,FieldOfStudy,11-methoxyhumantenmine,21134,3,2,4,2
2778121316,FieldOfStudy,SLIT3,15156,5,112,7740,112
2908601475,FieldOfStudy,Carboxyformin,22082,3,1,0,1
2910524897,FieldOfStudy,Cells leydig,20755,2,3,3,3
2910386657,FieldOfStudy,Induced Heart Arrest,19072,3,19,11,19
2982948194,FieldOfStudy,Game based learning,13542,2,3277,13686,3284
2776731177,FieldOfStudy,Puccinia pelargonii-zonalis,18425,4,29,86,29
2777847333,FieldOfStudy,Aporomyces,20483,3,3,12,3
2911094707,FieldOfStudy,Serratia marcescens marcescens,22082,3,1,0,1
2984930231,FieldOfStudy,Circuit architecture,14379,3,738,6654,744
2993345594,FieldOfStudy,Holmium laser,13791,5,2504,9089,2509
2909035630,FieldOfStudy,Clostridium amygdalinum,21436,4,1,10,1
2908785827,FieldOfStudy,Hypsirhina polylepis,21850,3,1,3,1
57634137,FieldOfStudy,Translational science,13790,3,1837,19289,1842
2911109503,FieldOfStudy,Sphingolipid mediated signal transduction,22082,3,1,53,1
2909838739,FieldOfStudy,Ghost shark,16906,3,18,1018,19
2779663085,FieldOfStudy,Pygmephoridae,17110,3,107,221,107
2909644236,FieldOfStudy,Schistostephium crataegifolium,21162,3,2,4,2
2910254362,FieldOfStudy,Diagnostic scanning,16745,2,67,671,67
2910911246,FieldOfStudy,Hypoplastic posterior communicating artery,19066,5,11,71,11
2910026283,FieldOfStudy,Harrimanella stelleriana,22082,3,1,0,1
3018944449,FieldOfStudy,P16 ink4a,15488,4,419,2990,420
2909133607,FieldOfStudy,Tussilagone,18761,5,22,47,22
2910423361,FieldOfStudy,Strobilinin,19813,2,2,35,4
2911131765,FieldOfStudy,Leptomithrax,19557,5,6,62,6
2909096217,FieldOfStudy,Genus Torula,18938,3,7,104,7
2908559845,FieldOfStudy,Electromyography Feedback,18862,4,20,51,20
2910051502,FieldOfStudy,Coltricia verrucata,20684,3,1,23,1
2909493559,FieldOfStudy,Ankle arthrodesis,14511,4,750,8755,755
2908966416,FieldOfStudy,Euthraulus,20411,5,4,18,4
2909893473,FieldOfStudy,Protoblastenia lilacina,21252,3,2,3,2
2909805454,FieldOfStudy,Biphasic Positive Airway Pressure,15635,4,195,3250,195
2908689499,FieldOfStudy,NOLOMIROLE,20443,4,5,1,5
2779430513,FieldOfStudy,Stathmonotus stahli,21190,3,2,5,2
2910222585,FieldOfStudy,Parametorchis,20247,2,4,16,4
2911189903,FieldOfStudy,Methylophaga thiooxydans,20886,2,2,15,2
2780497069,FieldOfStudy,Dependability benchmarking,17132,4,51,416,51
2779621418,FieldOfStudy,Solegnathus,21317,2,2,2,2
