class,rank,foaf_name,issn,paperCount,paperFamilyCount,citationCount,entity_id
Journal,12881,Materials Research and Application,,652,652,74,2764975431
Journal,14656,Journal of Sourtheast China National Defence Medicial Science,,112,112,1,2764480177
Journal,12583,Journal of Applied Biomedicine,1214-021X,499,499,5812,49362916
Journal,13177,Journal of clinical trials,2167-0870,458,458,661,2764999107
Journal,13306,Kyung Hee Law Journal,1229-2478,365,365,28,2765027977
Journal,13468,The Journal Orthopaedic medicine,1355-297X,310,310,507,2764888009
Journal,11072,Marine Structures,0951-8339,1303,1303,18396,97691390
Journal,13249,Ricerche di Pedagogia e Didattica. Journal of Theories and Research in Education,,444,444,136,2764769983
Journal,9612,Algorithmica,0178-4617,2829,2829,66884,89324355
Journal,10229,Clinics in Perinatology,0095-5108,2332,2332,52902,7604852
Journal,8044,American Mathematical Monthly,0002-9890,18886,18886,179604,156280010
Journal,9426,Commentarii Mathematici Helvetici,0010-2571,2651,2651,58397,175700853
Journal,11737,Child and Adolescent Mental Health,1475-357X,1166,1166,11647,8329894
Journal,9882,Human Heredity,0001-5652,3915,3915,57176,97696616
Journal,13184,Journal of Emdr Practice and Research,,392,392,1916,178326525
Journal,14118,International Clinical Neuroscience Journal,2383-2096,187,187,96,2764864864
Journal,10851,Current Psychiatry Reports,1523-3812,1869,1869,42891,124600697
Journal,11455,Reviews in Endocrine & Metabolic Disorders,,752,752,25912,78160085
Journal,12434,Bulletin of Chinese materia medica,,958,958,574,2754604783
Journal,13245,"Zeitschrift für Naturforschung. A, A journal of physical sciences",,347,347,765,2764726924
Journal,9110,Peptides,0196-9781,9355,9355,256451,120382301
Journal,15298,Sage Race Relations Abstracts,,31,31,178,10832721
Journal,13680,Jundishapur Journal of Chronic Disease Care,2322-4207,285,285,232,2739458857
Journal,15307,International Journal of Corporate Social Responsibility,2366-0074,44,44,266,3034301478
Journal,10992,"Asia-pacific Journal of Multimedia services convergent with Art, Humanities, and Sociology",,4305,4305,412,2764701609
Journal,10126,Journal of Vertebrate Paleontology,0272-4634,3625,3625,74803,234478
Journal,10699,Journal of medical imaging,,5545,5545,3995,2765007747
Journal,12048,Materials today communications,2352-4928,1341,1341,3376,2765035490
Journal,13466,Erasmus law review,2210-2671,282,282,524,2764737098
Journal,10883,Brazilian Archives of Biology and Technology,1516-8913,2854,2854,28674,175992573
Journal,13799,NAACOG's clinical issues in perinatal and women's health nursing,1046-7475,162,162,679,2764865053
Journal,12817,Journal of Community Medicine,,697,697,99,2764802548
Journal,12510,Journal of the Nigerian Association of Mathematical Physics,1116-4336,905,905,386,2764801294
Journal,13317,Higher School of Economics Economic Journal,,415,415,102,2765060040
Journal,14091,Journal of SAFOG,,191,191,73,2765001677
Journal,13789,The earth and space science information system,,128,128,1234,2764879895
Journal,12675,AStA Advances in Statistical Analysis,1863-8171,392,392,4423,181700594
Journal,14018,Nanoscience and Technology,1434-4904,204,204,80,2764898829
Journal,14278,Cuizine : the Journal of Canadian Food Cultures,,150,150,80,2738748524
Journal,14156,Journal of Nanning Vocational University,,184,184,4,2764810298
Journal,12726,Hormone Molecular Biology and Clinical Investigation,1868-1891,595,595,3696,122815271
Journal,12316,Ethnology: An international journal of cultural and social anthropology,,342,342,2837,2764983325
Journal,14049,ALAR: Action Learning and Action Research Journal,1326-964X,178,178,226,2764383674
Journal,12317,Castilla: Estudios de Literatura,1989-7383,1065,1065,201,2738911231
Journal,17230,European Medical Journal Rheumatology,2056-6395,8,8,13,2736617174
Journal,13380,Cinta de Moebio: Revista de Epistemologia de Ciencias Sociales,,303,303,486,2737449111
Journal,11576,Stem Cells Translational Medicine,2157-6564,1320,1320,25983,2494728167
Journal,9057,Canadian Journal of Physiology and Pharmacology,0008-4212,10082,10082,173847,82722058
