paper,author,affiliation1
2049004899,2050600857,137768463
2257220180,2115548438,110995367
1954047575,214008780,32021983
2363152908,2427528421,2799736854
2883414375,2883760195,109935558
2009958958,2100697018,29607241
2041848153,2098564296,33213144
2320267839,130269992,94722563
1966211171,2165438742,71999127
2770300903,2770507942,75198481
2037657568,2158293068,202276237
2293738924,2137885351,19820366
2093393273,2661739482,1282105669
1503167663,2139196518,33924745
2091988853,2126987094,37796252
2160294397,2637273862,27781120
2062171454,1998123361,36893310
767113512,1940249532,17974374
2414285392,1970615294,1322144052
2046218160,2473796759,67031392
1980910286,2165193943,148366613
2579928336,2341986247,75124487
2744486554,2289659306,1316910977
2738953299,2738274036,155093810
2791866884,2792974309,129858807
2015535947,2662708820,12789410
85084536,2113877847,118136607
2093979887,2136562002,66760702
2142434585,2150020595,130238516
2329166956,85019839,5561750
2167431014,2481912939,69737025
1578879240,2755289611,43439940
2082176941,2763711463,65837984
2471869206,2506071031,100357981
1606777754,2317112142,27837315
1981903380,2043372335,34931013
2107517955,2050635813,118136607
2135341508,1816016277,859038795
1999570050,2104652307,241749
2027825645,2644727626,45084792
2400017363,2304122373,84724731
2125832739,1882342003,69768126
183436817,169932798,149899117
2333481404,2102340549,159385669
2793591899,2764851262,141641110
2567228315,2610905345,4843557
2185538303,1988558071,17974374
1991690797,2141273267,204512498
2141017536,2618546720,32971472
2079724993,2114767271,126193024
2600450442,2151578107,180670191
2112155746,2587569276,134820265
2774292100,2568816741,201448701
1965935749,2499534672,103531236
2772512535,2550172422,922474255
179740079,2493778582,252758333
2082604621,334261054,158708052
1984602339,2173925494,58956616
2021026915,2333661324,62916508
2037322239,2718093046,4750791
2091705582,1990407059,28166907
2578165410,2700496704,69181431
2007037550,2551843858,8961855
1557157762,2664102264,70745867
2512138024,2346732319,130701444
2154040966,2131279798,28166907
2784099946,2555562829,1314696892
1964817781,2305780492,87445476
2783604641,2326885529,1307585291
2612301311,2657598275,138216421
2084086947,2022859255,193662353
2473067713,2568859298,65143321
2050767466,2691438999,2801331674
2061032231,2881891321,1285301757
2045382769,131452763,63634437
2061423330,242691430,189158943
1990221278,2541289684,189238007
1985926609,2128752392,2799503643
2766051395,1958810350,1330342723
2063964265,2649722363,73305655
2776928802,2146105970,11701301
2070417447,2646364471,22299242
2521357283,2036511120,205274468
1995515053,2172284259,149594827
2088317081,2521413014,122558511
2056698300,2495092810,65143321
2000550430,2122061308,43406934
2115445162,2031106317,202697423
1582068963,2641489649,84218800
2273506653,1747992786,130238516
2613939043,2018849043,27804330
2058813835,2184739350,201537933
977801012,693629466,182534213
2800358056,2231976661,205582932
1972873465,2640613236,1291344717
2489130215,2504684796,1325886976
1528216020,2580962042,212119943
2106449387,2171423387,2801732343
2016794820,2257969637,1329325741
1525298922,722878883,82284825
2046788626,1738548815,36258959
1896529176,2143205060,163917720
2405415202,2664001385,157773358
1973555101,1226391132,904013037
2556180913,2250833714,1334819555
2332777264,2321035290,33501960
1504788834,2672406366,142263535
2058306816,2059363111,63966007
2079249109,2096352987,201726411
2241493999,2229541817,124945997
2015985067,2666748355,66947310
2335402313,2317514487,1310053265
1498571035,2462369965,185201496
1991640607,2474232753,2801316944
2785728493,2631561460,79238269
2538328444,2149839605,66752286
2004021740,1912011850,40677808
2401669785,2274640836,183067930
1485054032,2105399225,188538660
1981030077,2124171486,114531698
2062269674,273422879,177802217
1974267338,2701557820,166934088
2005097902,2085034679,106165777
2579711030,2568652114,129409704
1695676366,2141182432,119896790
2269698268,2495873181,91950636
2894635702,2119427277,40120149
1965710557,660063101,1294671590
2107949418,2002546315,1312504184
2282281932,1835933241,41466953
2000430436,2158991660,118347636
2023401516,2493766227,4104125
2098381980,324786392,99490713
1977746135,2158159896,160606119
2077705877,2143696043,80180929
1532217858,2690550038,151075929
2793347290,2640314202,11701301
2494723339,2100935338,134421475
820855792,1840588115,6750721
1534451400,2119058351,170897317
2078223549,2305800608,43591049
2785764318,2766997722,44445938
840908865,2028365110,2251586001
2515954112,2146026341,118019719
2302610733,1978401610,186359701
2362047957,2191475467,119273862
325468082,2039054526,114090438
2908795880,2908523596,69737025
2151952626,2120113443,60138030
2128481913,2506079999,98885092
2768296747,2769048994,11880225
87111718,2546703517,111088046
1965910455,2305958566,111112146
2070563377,2164851402,102502594
2408317479,2320216479,157536573
2078810404,2466961188,1313323035
1860082974,1972343165,98677209
1998543310,1901635544,188740104
2160820602,1981243365,187531555
2793602359,2147745950,117197279
2163973854,49106956,106165777
2021960383,2169616076,4588055
2564620828,2825475034,177844149
2891597545,1612562332,1297288678
1963558769,2676470263,76130692
2756830819,2759685354,24943067
1612056021,2168503459,99464096
2834901539,2121346000,161076350
2518275186,2101628204,1332737386
1640529659,2105619978,139660479
2328165165,2171575096,204823248
2896878867,2602340542,87216513
2034816435,2098373674,138006243
2522565299,2701703252,47720641
2122050434,2235067217,1316902750
1765182493,2175984981,23625684
2605942023,2224751215,62396329
2296299536,2124156052,241749
1449954904,2046652068,1925986
2885428657,2886441070,91045830
2896519362,2124148548,10899854
2055463093,2646364008,21250087
2062656583,1358768722,27483092
2290682188,2162734535,114090438
1647407480,2100841096,181547552
2101458043,2504467994,867280407
2026261288,2498423119,2800562746
2231808344,2201561455,99908691
2011131953,2590688507,74801974
2894559402,1949542018,219193219
2094125516,2235639946,1292669757
1608158537,2701597027,19820366
2060511870,2304169757,1330342723
289846225,1612778200,32971472
2216518166,2412256411,1306686416
1974803420,2512638799,32393484
2294454904,2135865286,169108374
2088520675,2550317236,107720978
2026670882,2082981515,1317621060
2077182550,2135056079,2803043754
1987179322,2730522281,1288702032
2088448300,2645883214,59615845
1965226574,133796193,158552681
2564593749,2107405291,141670070
1968262259,2014287256,2898336195
2085875051,2807190341,19880235
2034094941,2344171840,164915025
2281061049,2051849337,1299303238
1992501616,2226471480,154099455
2888918027,2088394983,98251732
2060780887,2157815516,205349734
2379219925,2321837117,204823248
2605810679,2613446890,84884186
2321252244,1980146651,172901346
2891161332,1999309383,2802612298
2318041976,2336355541,159107703
2896240989,2897759646,94234084
2108923342,2696174006,22759111
2243564883,2658568595,7446070
2611828888,1966330702,205783295
2268860273,1844831783,60587646
