resourceType,fabio_hasURL,ownResource,entity_id
4,https://github.com/mateuszbuda/robustspeechrecognition/blob/master/readme.md,2062164080r1,2062164080
1,http://basketballattention.appspot.com,2206427987r1,2206427987
4,https://github.com/gavinsimpson/8c13e3c5f905fd67cf85,2802275568r2,2802275568
4,https://github.com/NVlabs/SPADE/blob/master/README.md,2920879895r1,2920879895
4,https://github.com/jroal/a2dpvolume,2740719741r1,2740719741
1,http://am.is.tuebingen.mpg.de/research_groups/intelligent-control-systems-group,2526228761r16,2526228761
1,https://am.is.tue.mpg.de/employees/jbohg,1984974392r54,1984974392
1,http://ps.is.tuebingen.mpg.de/research_fields/datasets-evaluation,37877361r7,37877361
4,https://github.com/sporritt/jsPlumb,2789300967r1,2789300967
1,http://ps.is.tue.mpg.de/person/pgehler,2964251415r15,2964251415
4,http://networks.ece.mcgill.ca/sites/default/files/multi-sensor%20cphd%20code.zip,1881770166r1,1881770166
4,https://github.com/coest/tracelab,2970522151r1,2970522151
4,http://www.isi.edu/people/linhong/research,2054097025r1,2054097025
1,https://avg.is.tuebingen.mpg.de/publications?publication_type[]=conference+paper,2938371787r3,2938371787
1,https://avg.is.tuebingen.mpg.de/people/ageiger,2951567597r22,2951567597
4,https://github.com/ozymaxx/multimodal_collector_experimenter,2741197767r4,2741197767
1,https://am.is.tuebingen.mpg.de/person/nowozin,2114623190r28,2114623190
4,https://drive.google.com/file/d/0B2FG1qBNCC7JYmV6ZGVYaFdHLW8/view?usp=sharing,14566539r1,14566539
4,https://github.com/blayes/WASP,2964276553r1,2964276553
4,https://github.com/HyeonwooNoh/DPPnet/blob/master/README.md,2964138017r1,2964138017
1,http://vision.cs.utexas.edu/projects/unreliableAttr/,2109933951r4,2109933951
4,http://cs.bham.ac.uk/~chengr/publications.html,2510493362r5,2510493362
6,https://lmb.informatik.uni-freiburg.de/publications/index.php?pg=-1,2126164636r6,2126164636
4,https://github.com/zelandiya/RAKE-tutorial,2741835546r1,2741835546
4,https://github.com/devendrachaplot/DeepRL-Grounding,2964084698r1,2964084698
4,https://github.com/oseledets/ttpy/,1967077133r1,1967077133
1,http://cep.lse.ac.uk/research/skills/default.asp,1509769577r3,1509769577
1,https://am.is.tuebingen.mpg.de/people/jbohg/ijhr09,2417087373r57,2417087373
4,http://www.fst.umac.mo/en/staff/documents/fstycz/Peng2017JSTARS.rar,2551480915r2,2551480915
4,https://github.com/boto/boto,1973128686r1,1973128686
4,https://github.com/ntop/PF_RING.git,2619996235r3,2619996235
4,https://github.com/onikiri/onikiri2/,2559505515r1,2559505515
1,http://is.tuebingen.mpg.de/person/seeger,2136477614r6,2136477614
4,https://github.com/TomasGAA/Pydata_Madrid2016_Solution_Inverse_problem,2470692419r3,2470692419
4,https://github.com/marijnheule/drat-trim/,2734612968r2,2734612968
1,https://github.com/aquaskyline/16GT,2603197548r1,2603197548
4,https://github.com/microsoft/MASS/blob/master/README.md,2944815030r1,2944815030
1,http://web.bii.a-star.edu.sg/~jaydeepd/tracing.htm,209964180r1,209964180
4,https://github.com/DIAL-RPI/PIPO-FAN/blob/master/README.md,3035367255r1,3035367255
4,https://github.com/0x65/apmalloc,2805784290r1,2805784290
1,http://humim.org/pik-tracker,1994499467r1,1994499467
4,http://www.cs.ubc.ca/labs/beta/Projects/SMAC/,60686164r1,60686164
1,http://www.springerlink.com/app/home/content.asp?wasp=0d17478eb7374a1f81ebe1d14af65270&referrer=contribution&format=13&page=1&pagecount=8,1973152745r1,1973152745
4,https://github.com/hughplay/dfnet/blob/master/readme.md,2939292326r1,2939292326
1,http://cci.mit.edu/CIchapterlinks.html,2411911989r1,2411911989
4,http://web.eecs.umich.edu/~cscott/pubs.html,2167503608r1,2167503608
4,https://github.com/D-X-Y/landmark-detection/blob/master/README.md,2982204884r1,2982204884
4,https://github.com/citizenlab/test-lists.2014,2768926377r2,2768926377
4,https://github.com/mitdbg/genbase,2309679942r1,2309679942
1,https://is.mpg.de/de/employees/phennig,2410663418r6,2410663418
1,https://cs.nyu.edu/~ajsecord/publications.html,2120941567r2,2120941567
2,http://memory.psych.upenn.edu/publications,1999678038r2,1999678038
4,https://github.com/joanSolCom/author_profiling_tools/blob/master/README.md,2740665448r1,2740665448
4,https://github.com/keijiro/MidiJack,2888536807r1,2888536807
4,https://github.com/polmorenoc/inversegraphics,2578075911r1,2578075911
4,https://github.com/rainwoodman/mpiimport,2770196588r3,2770196588
4,https://github.com/jliemansifry/streetview/,2767853542r2,2767853542
4,https://github.com/NufrontIOT/NL6621_StandardSDK/,2810073437r4,2810073437
1,https://is.tuebingen.mpg.de/employees/ule,1513711391r6,1513711391
4,http://is.tuebingen.mpg.de/person/jpeters,2470207857r22,2470207857
4,http://lear.inrialpes.fr/research/posesinthewild/code/posecvpr2014.tar.gz,2157982431r2,2157982431
4,https://github.com/pfi/dag_vector,1522577320r1,1522577320
1,http://ei.is.tuebingen.mpg.de/research_projects/kernel-distribution-embeddings,1980659580r2,1980659580
4,https://github.com/chaofengc/Face-Sketch-Wild/blob/master/README.md,2950833733r1,2950833733
1,https://ps.is.tuebingen.mpg.de/publications?publication_type[]=article,2768683308r78,2768683308
4,https://github.com/chromium/web-page-replay,2417529379r1,2417529379
1,https://ei.is.tuebingen.mpg.de/~kenji,2963477486r24,2963477486
4,https://github.com/NVIDIA/nccl,2953200226r1,2953200226
4,https://github.com/kripken/emscripten%E2%80%94Last,2581824827r7,2581824827
4,https://www.cs.cornell.edu/~afix/Software/higher-order-energy.tar.gz,2012882037r1,2012882037
4,https://github.com/webscreens/openscreenprotocol,2784847055r1,2784847055
1,http://am.is.tuebingen.mpg.de/person/jbohg,2773993404r73,2773993404
2,https://atc1.aut.uah.es//~david//assets/datasets/cec2011.zip,2119283331r1,2119283331
4,https://github.com/VCCIV/BLVD/blob/master/README.md,2968847206r1,2968847206
1,http://www.cs.columbia.edu/cg/ACM,2079995598r1,2079995598
