paper_id,FoS_list,research_area
65465,"3017588290,41008148,40738166,204321447,154945302,28490314",Computer science:0.86_Philosophy:0.1_Mathematics:0.04
129661,"146897074,101276457,144133560,31367271,63207073,162853370,140781008,53100981,77197577,112698675,53878828",Business:0.58_Engineering:0.21_Economics:0.21_Political science:0.01
135423,"86803240,55493867,2908930004,2779502636",Biology:0.67_Medicine:0.18_Chemistry:0.15
167474,"2992089352,15744967,138496976,2992575036,2992545190",Psychology:0.56_Computer science:0.2_Sociology:0.08_Economics:0.08_Mathematics:0.08
173424,"137836250,160234255,41008148,162500139,154945302,33724603,49284225,49937458,119857082,173801870,114289077,126255220",Computer science:0.55_Mathematics:0.42_Engineering:0.02_Economics:0.02
254705,"60644358,34981463,159047783,134935766,71924100,2777965375",Biology:0.54_Medicine:0.43_Chemistry:0.03
282061,"144133560,134560507,20522121,58546491,2778734068,162853370,75545042,168725872,18918823,151807755,184357244",Economics:0.38_Business:0.33_Political science:0.12_Sociology:0.03_Philosophy:0.03_Art:0.03_Biology:0.03_Environmental science:0.03_Engineering:0.02
288003,"53009064,109214941,185544564,180145272,153013531,172695262,2775859700,121332964,185870881,163517525,191486275",Physics:0.7_Mathematics:0.21_Materials science:0.06_Engineering:0.03
342904,"97137747,127313418,2780066083",Geography:0.44_Geology:0.33_Philosophy:0.11_Art:0.11
418861,"192562407,203311528,57879066",Materials science:0.33_Physics:0.33_Engineering:0.22_Political science:0.11
529914,"44527139,30600047,162853370,2779130410,158561033,91887955,127413603,158514216,142038384,195487862",Economics:0.39_Business:0.34_Engineering:0.23_Computer science:0.04
590831,"2983454672,2994110070,17744445,88610354,3017878524,19417346,523056402,120912362",Psychology:0.38_Sociology:0.22_Mathematics:0.16_Medicine:0.12_Political science:0.12
680845,"59789625,192562407,159985019,165682214,120456961,89505201,82659022,152568617,75673492,144423054",Materials science:0.29_Physics:0.28_Psychology:0.22_Engineering:0.13_Chemistry:0.08
705144,"109214941,82714645,812465,50644808,178980831,115051666,154945302,121144440,175202392,41008148",Computer science:0.69_Physics:0.11_Mathematics:0.11_Geology:0.03_Geography:0.03_Engineering:0.03
749333,"526869908,166735990,14498672,190385971,3017944768,127413603,2777351106,148834064,187155963,38652104",Medicine:0.29_Political science:0.26_Engineering:0.23_Computer science:0.11_Psychology:0.08_Economics:0.02
792691,"2778528637,2777556793,2778996113,27415008,185926286,15744967,118552586,501888929,2776394216,123273963",Medicine:0.4_Psychology:0.3_Biology:0.2_Engineering:0.07_Political science:0.03
849214,"161487207,138885662,15708023",Philosophy:0.67_Art:0.25_Economics:0.08
870782,"123414225,24326235,81959379,204854418,169574100,101765175,41008148,2989423392,119599485,2983390044",Engineering:0.48_Computer science:0.41_Physics:0.05_Political science:0.03_Mathematics:0.02
1004883,"2780797713,8625798,2993022113,2778247438,524765639,76177295,149207113,75622301,39432304,2987348982",Environmental science:0.35_Geology:0.25_Engineering:0.25_Biology:0.12_Chemistry:0.03
1099864,"2776607717,2780584464,2777600642,149782125,19499675,106159729,2992086032,162324750,2988984586,91602232,2778311368",Economics:0.62_Mathematics:0.21_Business:0.16
1126233,"15744967,77805123,187288502",Psychology:0.92_Medicine:0.08
1184003,"154318817,68466841,24326235,30066665,53392680,113089479,119599485,111943024,127413603,165801399",Engineering:0.58_Physics:0.22_Materials science:0.12_Computer science:0.07
1220533,"142362112,15708023",Art:0.75_Philosophy:0.25
1264224,"536788834,118552586,105662462,71924100,2778186239,14216870,2779159551,1039755,169900460,2780760677",Medicine:0.48_Psychology:0.28_Biology:0.15_Sociology:0.03_Computer science:0.03_Political science:0.03
1357723,"2778491484,2776370428,126322002,2910141127,2776176026,2776958162,71924100,71315377,90474776,2777261759,134018914",Medicine:0.59_Biology:0.41
1385234,"199499590,500300565,78519656,184593036,41231900,73000952,34560132,107706546,127413603,131097465",Engineering:0.46_Physics:0.28_Mathematics:0.12_Political science:0.07_Computer science:0.03_Psychology:0.02_Geography:0.01_Materials science:0.01
1492024,"206658404,17744445,160363772,175605778,129047720,118518473,2779371384,50522688,2777932401,2982719155,154775046",Political science:0.24_Engineering:0.21_Economics:0.21_Biology:0.15_History:0.06_Geography:0.06_Medicine:0.03_Philosophy:0.03
1498922,"74650414,62520636,108568745,161094330,22393281,80551277,121332964",Physics:0.81_Mathematics:0.14_Computer science:0.05
1538985,"33923547,181582579,26955809,134306372,163716315,78045399,126255220,2983359748,71923881",Mathematics:0.79_Computer science:0.17_Physics:0.05
1550073,"144024400,19417346,15708023",Sociology:0.5_Psychology:0.17_Philosophy:0.17_Art:0.17
1591363,"95457728,29595303",History:0.5_Sociology:0.5
1598615,"2779988585,105702510,185592680,2910124983",Medicine:0.5_Biology:0.25_Chemistry:0.25
1712134,"187212893,2908987960,137627325,2911156857,2911043454,500440147,2776434150,2776992516,71924100,3018763468",Medicine:0.68_Biology:0.32
1806305,"142362112,112698675",Art:0.5_Business:0.5
1832293,"147077947,188231857,2781206393,176730311,5395021,15744967,145420912,36727532,44877443,2778406517",Psychology:0.5_Sociology:0.19_Mathematics:0.17_Medicine:0.12_Engineering:0.02
1925003,"2992865997,86803240,125471540,165901193,90856448,18903297,158278297",Biology:0.91_Medicine:0.06_Geology:0.04
1972701,"90924648,2778257484,86803240,149601957,168563851,2776139389,126322002,27081682,2781092963,2781195455,2779829184,134018914,153911025",Medicine:0.51_Biology:0.49
1977061,"138885662,15708023,2780148931",Philosophy:0.58_Art:0.25_Biology:0.08_Geography:0.08
2021215,"101468663,20387591,41008148,2986561645,114010052,145420912,3019616415,100648641,46304622,75649859",Computer science:0.26_Psychology:0.14_Medicine:0.13_Biology:0.11_Mathematics:0.1_Engineering:0.07_Economics:0.06_Political science:0.06_Sociology:0.04_Philosophy:0.02
2040453,"127413603,115038398,187320778",Engineering:0.67_Geology:0.33
2075134,"2909986321,2909910648,16685009,71924100",Medicine:0.73_Biology:0.27
2100132,"56739046,17744445,55587333",Computer science:0.33_Political science:0.33_Engineering:0.33
2170712,"179104552,170187044,95986675,519063684,185592680,184866935,3018587665,543218039,518915863",Chemistry:0.64_Biology:0.1_Materials science:0.08_Geology:0.06_Medicine:0.05_Geography:0.03_Physics:0.03
2263883,"524765639,2992151728,127413603,110354214",Engineering:0.62_Environmental science:0.31_Geology:0.06
2463663,"74916050,95457728,195244886",History:0.83_Art:0.17
2481314,"555451288,3020212850,194110935,127413603,153454851,548081761,7083945,2779436609,164749845,2991917547",Engineering:0.35_Chemistry:0.28_Environmental science:0.11_Economics:0.07_Political science:0.07_Sociology:0.06_Physics:0.04_Geography:0.02
2609225,"32276052,142362112,4280144,27206212",Philosophy:0.42_Art:0.25_Biology:0.19_Psychology:0.08_Chemistry:0.06
2704363,"142362112,2910513846,15708023",Art:0.5_Medicine:0.17_Biology:0.17_Philosophy:0.17
2723684,"192562407,127560557,44273521,19474535,197751951,20625102,191897082,146868986,2781448156,20480867",Materials science:0.42_Engineering:0.38_Political science:0.13_Chemistry:0.07
2736662,"58640448,52119013,142362112",Art:0.5_Geography:0.33_History:0.17
2886684,"17744445,15708023",Political science:0.5_Philosophy:0.25_Art:0.25
2931872,"16674752,2994445897,41242791,127313418,84049019,187320778",Geology:0.4_Engineering:0.27_Physics:0.12_Sociology:0.08_Business:0.08_Materials science:0.04
3041073,"78519656,2908818115,199639397,127413603,2992315967",Engineering:0.73_Computer science:0.2_Political science:0.07
3094435,"148089829,26022165,57232318,41008148,119857082,162027153,144005721,2777379011,154945302,20854674,2992002026",Computer science:0.43_Psychology:0.32_Medicine:0.1_Philosophy:0.07_Biology:0.04_Art:0.01_History:0.01_Geography:0.01
3184321,"2777090595,126322002,2910648213,71924100,50440223,11783203,2779750884,555293320,518460624,2776940978,134018914",Medicine:0.59_Biology:0.41
3193783,"144133560,34447519,556758197,175025494,2994172126",Economics:0.75_Business:0.25
3468153,"163836022,33923547,149782125,105795698,152877465,22980124,138695830,155512373,48921125,81692654,83546350",Mathematics:0.59_Computer science:0.2_Psychology:0.11_Economics:0.08_Geology:0.02
3535853,"206588197,105339364,41008148,149091818,3017590132,2522767166,180198813,45983554,2988424471,3018506838",Computer science:0.67_Engineering:0.19_Political science:0.08_Biology:0.06
3536243,"2987828669,55958113,556039675,2779342943,2781429666,2777612184,71924100,2908647359,2781035296,2992816389",Biology:0.58_Medicine:0.39_Chemistry:0.03
3560484,"2908706646,2779454681,204248692,185592680,556039675",Chemistry:0.37_Medicine:0.3_Biology:0.17_Materials science:0.17
3618771,"15744967,542102704",Psychology:1.0
3622713,"19474535,127413603,117671659",Engineering:0.89_Political science:0.11
3646381,"2780804531,134640818,138171918,106169591,196558001,66882249,127413603,171146098,203032635,75673492",Engineering:0.67_Psychology:0.22_Chemistry:0.07_Political science:0.04
3687725,"144133560,69738904,27989647,30634857,2779913896,96865113,121955636,2776697845,138170105,199539241,2776089235",Political science:0.23_Business:0.22_Economics:0.2_Chemistry:0.15_Materials science:0.07_Computer science:0.07_Philosophy:0.05_Mathematics:0.02
3687831,"144133560,85345410,105339364,195094911,21547014,2778132047,108713360,207505557,201650216,165790156,2777338717",Business:0.31_Engineering:0.3_Economics:0.25_Computer science:0.1_Political science:0.05
3816202,"2778324535,2779256933,35158069,196843134,539436888,86803240,2780246931,63405245,2779572493,95444343",Biology:0.75_Chemistry:0.12_Medicine:0.12
3903613,"2984619210,61449547,66938386,136525101,127413603",Engineering:0.73_Medicine:0.2_Political science:0.07
3982103,"149773537,3019452282,185544564,81302155,197424946,189166818,121332964,168834538,78434282,165801399",Physics:0.58_Engineering:0.36_Materials science:0.06
4063871,"19417346,145420912,2781054738,127413603",Psychology:0.25_Medicine:0.25_Engineering:0.25_Sociology:0.12_Mathematics:0.12
4104671,"185592680,2983151284,78762247,2777207669",Chemistry:0.42_Mathematics:0.25_Engineering:0.21_Geology:0.12
4109821,"2777416452,35844672,71924100,126838900,19527891,193544012",Medicine:0.75_Physics:0.17_Biology:0.08
4131213,"78519656,167740415,2993286219,146978453,148554410,13662910,127413603",Engineering:0.67_Physics:0.17_Computer science:0.06_Mathematics:0.06_Materials science:0.05
4213741,"77595967,78519656,18747710,46585869,127413603,143895478",Engineering:0.61_Physics:0.17_Materials science:0.11_Chemistry:0.11
4247183,"185592680,177322064,2776954882,540271850,13965031,114529599",Chemistry:0.68_Medicine:0.17_Engineering:0.09_Physics:0.07
4340152,"15708023,74916050,142362112",Art:0.67_Philosophy:0.17_History:0.17
4341982,"126322002,164705383,2992931876,71924100,555293320",Medicine:0.8_Biology:0.2
4384354,"2983388771,132525143,2780018685,14037181,192562407,78736273,159985019,198394728,66938386,85111493,7131667",Engineering:0.38_Materials science:0.3_Physics:0.14_Mathematics:0.12_Computer science:0.04_Political science:0.03_Chemistry:0.01
4415005,"58640448,114793014,121332964",Geography:0.33_Geology:0.33_Physics:0.33
4419102,"61994974,33923547,114614502,200860826,134087691,139505817,34718186,9991821,173734053,4071166",Mathematics:0.95_Economics:0.05
4515083,"49773422,86803240,105702510,80631254,147483822,2779281246,2777006276,159654299,956191,104292427,153911025",Biology:0.65_Medicine:0.28_Chemistry:0.06
4520823,"177713679,2780867798,3020020650,71924100,141071460",Medicine:0.83_Biology:0.13_Chemistry:0.03
4521165,"2987536102,2994333415,126645576,37037264,2780648208,521259446,2776688068,205649164,159078339,107826830,2994126253",Geology:0.28_Biology:0.2_Computer science:0.15_Geography:0.15_Environmental science:0.08_Economics:0.06_Engineering:0.04_Chemistry:0.03
4539521,"192562407,45370561,90842384,131021393,65244806,6441794,13412647",Engineering:0.43_Mathematics:0.21_Materials science:0.14_Computer science:0.14_Physics:0.07
4552251,"15708023,3018575062,121332964",Philosophy:0.33_Art:0.33_Physics:0.33
4552523,"185592680,204389451,43617362,521977710,150394285,2779751980,196503311,2992490419,2993327772,63179538",Chemistry:0.51_Engineering:0.18_Materials science:0.17_Physics:0.11_Biology:0.02
4561062,"175444787,162324750,15708023",Economics:0.67_Philosophy:0.17_Art:0.17
4566185,"194828623,121608353,2776688490,2908841745,3019393862,3020140989,71924100,3017624810,3018233932,2778205648",Medicine:0.65_Biology:0.35
4596293,"205649164,112698675",Geography:0.5_Business:0.5
4646943,"107180903,2779557605,13064285,134306372,46585869,186899397,64835786,9358284,121332964",Physics:0.35_Mathematics:0.3_Engineering:0.11_Psychology:0.11_Materials science:0.07_Philosophy:0.06
4690321,"459310,41008148,135628077,45374587",Computer science:0.54_Mathematics:0.21_Engineering:0.17_Materials science:0.08
4719125,"159110408,71924100,3018280585,160735492,2993797112,3019806175,2778139618,3018644393,2781050511,137176749",Medicine:0.71_Economics:0.15_Psychology:0.11_Political science:0.04
4747502,"15744967,15708023",Psychology:0.5_Philosophy:0.25_Art:0.25
4779832,"192562407,159985019,94128814,2779353670,2780566776,2992339060",Materials science:0.57_Engineering:0.21_Chemistry:0.17_Mathematics:0.06
4836785,"42475967,2779728303,181836184,199539241,127413603,165743212,2776961235",Engineering:0.31_Political science:0.29_Philosophy:0.09_Mathematics:0.07_Biology:0.07_Economics:0.07_Psychology:0.05_Art:0.05
4852463,"2991797542,44154836,127413603,3020389676,2984553301,201995342",Engineering:0.63_Computer science:0.1_Medicine:0.1_Biology:0.1_Materials science:0.07
4931433,"2909957451,86803240,2993572104,47559259,18903297,185933670,173758957,126831891",Biology:0.92_Chemistry:0.08
4942131,"90924648,2778456037,71924100,126322002,207886595,61434518,2775967933,8443397,2778593092,2775982439,3018539635,2776884468",Medicine:0.67_Biology:0.33
4971685,"192562407,66938386,90417339,2779797317,15466294,2991850932,193297759,203311528,57879066,2993918361",Engineering:0.57_Political science:0.23_Materials science:0.1_Physics:0.1
4975464,"28704281,19351080,2983807324,34972735,41008148,2778588580,33326189,201995342",Engineering:0.49_Computer science:0.38_Economics:0.06_Political science:0.04_Business:0.03
4989164,"2910547248,187212893,3020752830,3020705096,126322002,71924100,3018759868,555293320,122048520,2986834420,203014093,192536144,134018914",Medicine:0.6_Biology:0.4
4993362,"15744967,2780674532,15708023,187736073",Psychology:0.25_Economics:0.25_Medicine:0.12_Biology:0.12_Philosophy:0.12_Art:0.12
