entity_id,dcterms_title,foaf_name_Affiliations,foaf_name_ConferenceSeries,city_name,state_name,country_name,country_official_name,foaf_name_FieldsOfStudy,fos_list,foaf_name_Journals,foaf_name
2169818294,,Solomon A. Weinberg,,,,,,,,,
973816313,面向农牧区 培养双语师资——康定民族师范学校双语教学调查,,,,,,,,,,
566794768,29p-APS-61 Dy(Fe_ Co_x)_2の低温X線回折,,,,,,,,,,
2367711586,Improved program evaluate review technique based on particle swarm optimization algorithm,,,,,,,,,,
2956922165,,Nedwidek Frank,,,,,,,,,
2526160562,,Hans Joachim Böhmelmann,,,,,,,,,
2090358667,Did Gorbachev as General Secretary Become a Social Democrat,,,,,,,,,,
1982574147,,Peter Illich,,,,,,,,,
2965687750,,A. Azim Islahi,,,,,,,,,
2827751863,Speed control for DC motor,,,,,,,,,,
3001063957,,Qingxiu Li,,,,,,,,,
2987851438,Der Preis des Ruhms,,,,,,,,,,
596046335,Shakespeare's Histories,,,,,,,,,,
2791512186,Материальное основание условно-досрочного освобождения от наказания,,,,,,,,,,
2625687406,Representational breakdown in expert system development,,,,,,,,,,
2421140721,,Li Ting,,,,,,,,,
2775960376,,,,,,,,,Engineering:1.0,Grippers,
2658784011,,Khaja Basheeruddin,,,,,,,,,
2855662983,MOLD DEVICE FOR RESIN PACKAGING AND RESIN PACKAGING METHOD USING THE SAME,,,,,,,,,,
2842974589,Tracing transmission mechanism suitable for solar concentrating system,,,,,,,,,,
2737220573,Jurassic calcareous nannofossil biostratigraphy of Western Europe; compilation of recent studies and calibration of bioevents,,,,,,,,,,
2243229419,"Symposium: Through a shot glass, darkly: exploring the thinking-Feeling connection in impulsive alcohol use by adolescents",,,,,,,,,,
24012565,Urban-Rural Bias and the Political Geography of Distributive Conflicts,,,,,,,,,,
2087740852,Untersuchungen zur sozialgeographischen Situation und regionalen Mobilität in neuen Großwohngebieten am Beispiel Ulm-Eselsberg,,,,,,,,,,
22735580,IB-8 低体重・一過性の精神症状を呈した摂食障害者への「入院体重設定療法」の活用 : これを利用した臨床心理士の立場から(摂食障害II),,,,,,,,,,
1964236187,A validation study on Sasang constitutions and genetic influences,,,,,,,,,,
2142590198,Polymorphonuclear leucocyte transfusion in neonatal septicaemia.,,,,,,,,,,
2703612964,,S. Teichert,,,,,,,,,
2163679188,The Transcriptional and Epigenomic Foundations of Ground State Pluripotency,,,,,,,,,,
1879732265,"Population and Living Standards, 1870-1914",,,,,,,,,,
2056150287,Preparation and characterization of AlN/ZrN and AlN/TiN nanolaminate coatings,,,,,,,,,,
2964294935,On the spectra of generalized Fibonacci and Fibonacci-like operators,,,,,,,,,,
2518381205,Mutations Of Western Christianity,,,,,,,,,,
2602544557,,Carl R. Wirth,,,,,,,,,
3032148799,Kickstand extended external fixation for prevention of pressure sores and swelling in the post-traumatic lower extremity,,,,,,,,,,
2850949280,METHOD FOR IRRADIATION OF PATIENTS WITH METASTATIC BRAIN TUMORS,,,,,,,,,,
2666636140,,Keishi Okita,,,,,,,,,
2241254389,"Puente Pino: un yacimiento achelense en Alcolea de Tajo (Toledo, España)",,,,,,,,,,
2420525405,Which patients fail to improve,,,,,,,,,,
2957626741,,Zeng Fengmei,,,,,,,,,
2277747285,"Systems, methods, and apparatuses for multi-path orthogonal recursive predistortion",,,,,,,,,,
2881761427,HEAT-SENSITIVE POLYMER AND IT PRODUCTION,,,,,,,,,,
2814172551,Dirty marsh gas processing apparatus of excrement,,,,,,,,,,
1987808820,Interesterificação química de óleo de soja e óleo de soja totalmente hidrogenado: influência do tempo de reação,,,,,,,,,,
2416570773,[Chemical-physical noxas by atmospheric contamination].,,,,,,,,,,
2334085102,"Edward C. Echols, Herodian of Antioch's History of the Roman Empire from the Death of Marcus Aurelius ot the Accession of Gordian III. Translated from the Greek",,,,,,,,,,
915838446,Ultrastructure and Mrphological Fatures of Mcoplasma pneumoniae during Clture Dvelopment,,,,,,,,,,
212985910,,김배석,,,,,,,,,
2493787184,,Yoon Hee Lee,,,,,,,,,
