application_id,patent_id,patent_application_type,filing_date,series_code,rule_47_flag
29/033389,D375838,29,1995-01-11,29,0.0
2012/13600093,9891248,13,2012-08-30,13,0.0
2005/11268322,8029349,11,2005-11-07,11,0.0
06/355976,4433161,6,1982-03-08,6,0.0
2013/14435341,9783449,14,2013-10-18,14,0.0
08/523020,5662399,8,1995-09-01,8,0.0
2013/14144843,9258215,14,2013-12-31,14,0.0
2007/11931490,7824804,11,2007-10-31,11,0.0
2020/17085183,11288008,17,2020-10-30,17,0.0
2014/14299628,9216424,14,2014-06-09,14,0.0
2007/11904459,7970493,11,2007-09-27,11,0.0
2008/12598488,8158945,12,2008-04-25,12,0.0
2010/12687211,8980773,12,2010-01-14,12,0.0
2020/17000403,11238016,17,2020-08-24,17,0.0
2005/11296468,7515175,11,2005-12-08,11,0.0
2017/16650136,11419144,16,2017-09-29,16,0.0
2010/12908226,8152025,12,2010-10-20,12,0.0
06/091763,4307329,6,1979-11-06,6,0.0
2013/14027798,9237995,14,2013-09-16,14,0.0
2016/15231026,10193030,15,2016-08-08,15,0.0
07/898585,5318178,7,1992-06-15,7,0.0
08/212741,5446504,8,1994-03-14,8,0.0
09/454730,6470331,9,1999-12-04,9,0.0
2001/09898743,7473767,9,2001-07-03,9,0.0
2016/16309670,10830527,16,2016-08-30,16,0.0
2012/13567143,8470474,13,2012-08-06,13,0.0
2004/10951566,7076402,10,2004-09-28,10,0.0
29/155969,D474483,29,2002-02-21,29,0.0
2006/12093380,8535123,12,2006-11-10,12,0.0
08/382567,5658096,8,1995-02-02,8,0.0
29/094033,D419757,29,1998-09-24,29,0.0
06/926392,4726147,6,1986-11-03,6,0.0
07/254222,4930350,7,1988-10-06,7,0.0
2020/16828881,11298712,16,2020-03-24,16,0.0
07/701378,5124722,7,1991-05-13,7,0.0
2002/10315478,6942649,10,2002-12-10,10,0.0
2020/16817297,11160883,16,2020-03-12,16,0.0
8                                   ,5691597,8,1996-01-26,8,0.0
2015/15308131,10379204,15,2015-03-09,15,0.0
07/674127,5075834,7,1991-03-25,7,0.0
05/789599,4072587,5,1977-04-21,5,0.0
