patent_id,attorney_sequence,attorney_id,disambig_attorney_organization
9751320,0,09eda0fa2c9f14962b11e0b53ea51510,HP Inc.—Patent Department
10494810,1,5e080225fe5ea4bcd382fa51d2777f53,
6608817,1,8335a3c1b30e5905dee0a11bb7ac40d2,
4088395,0,5539809d502b006816c57f5dc133d797,
7191241,0,ba6a0d79be542278179ac4dc1b4baab1,
D492150,0,8c918fa6b4383fd3de9c69ee503ac185,"Van Dyke, Gardner, Linn & Burkhart, LLP"
6366776,0,33547ff2f78fbf969eb9a7ebb2ba2f6d,"McAndrews, Held & Malloy, Ltd."
8317788,0,46c6ce4a627f78c746362542af5aadce,"Fay Kaplun & Marcin, LLP"
7064700,0,cbe248e13cf72e618e2471bc25273307,"Ingrassia, Fisher &Lorenz"
5623803,0,e1c9522a4094324216ec525e1c838e9d,
9220958,0,e43133666eac61859164f4cb635aa29b,"Tarolli, Sundheim, Covell & Tummino LLP"
5882713,0,1c0eda1a66c9c4769e13188762bfbf7b,
5831313,0,3ff141840bc688dd9358e8323a21b5ef,
4126127,0,afe6ff05024471fd288aa888813e35f5,
5854100,2,d184e78b41729b5cbe7686e943a53054,
6137325,0,54879fe2e41d7c36a8594a999d9993ce,Trask Britt
10803843,0,b2c349c79ae1852262fd2673b8a7f1b9,"Newport IP, LLC"
D530515,0,5f953045fc39f76807441e8cdf078564,"Hedman & Costigan, P.C."
10491279,0,34008a9676d63f05bd80ec5d8ccb179b,
10982374,0,078e311eafe24c940ae96e298d733d6e,McGarry Bair PC
5351023,0,277881a97c0ea10c6968e44dbe6f54ba,Darby & Darby
7824597,0,811c79451bf477c282db0c04d3b53870,
7958627,1,49fa9c8568b6259705f02d43cb24aee4,"Nexsen Pruet, LLC"
10010923,0,b960017a901ceb7e9e5c588d3e84cd09,Kilpatrick Townsend & Stockton LLP
9153970,0,d87d8b58672e0fd66f66cd0b2e3c1be0,Knobbe Martèns Olson & Bear LLP
8033211,0,80386dfb6a3ff0a097219057b1d6c079,"Fitch, Even, Tabin & Flannery"
8535667,0,681e93b969306e78354a3211d7c634c4,
7249383,0,1a2ddd34b10ef2a1e65bfb503f542ecc,Law Office of Tim Cook P.C.
10887113,0,63b90d44cb59144bd08a526ca18a443c,St. Onge Steward Johnston & Reens LLC
11355657,0,2856ccb24662c045c76612623c21eb42,"Schwabe, Williamson & Wyatt, P.C."
4495041,0,be4c62e9bcb76274190c74a935ccb519,
8173111,0,7767df5a4b8f1afeecf951c52ce6fad1,"Oblon, Spivak, McClelland, Maier & Neustadt, L.L.P."
11275331,0,0f440c2740d4da7a9a3061eb8d35470d,Kim & Stewart LLP
4230693,0,57f429eeecbfd0bd851e26df8012c01a,
5308044,0,208aa61ffb007eed50389894a500be2d,"Nikaido, Marmelstein, Murray & Oram"
7587263,0,7f2e16d0428153ea42fb32b31f5269b1,Young Basile
8121043,0,990c21b7d6b16ab5b9b00059651db718,Hickman Palermo Truong & Becker LLP
10383291,0,9bb3724c09ae54f89b8594e380a4e225,Fay Sharpe LLP
8173377,0,e2a10c972adb03c27038ca627172c0ba,"Myers Bigel Sibley & Sajovec, P.A."
7147398,0,59d2e5e1f52bbf52b2aac67cbe8a2cfb,Thorpe North & Western LLP
8763323,0,da8331587548f2cf882ca5b6d01999af,Crossley Patent Law
10971554,0,ffa671d3707105e5e804889d229e1cea,Lewis Roca Rothgerber Christie LLP
9982036,0,e06c083a639fb851333aa5c79331c848,Morrison & Foerster LLP
9353871,0,5c4e0fd675c7ae0ca68644ae1e072950,Fletcher Yoder P.C.
5491810,2,295c953880ef7726f5d46a90a4d7f684,
10145772,0,41e97d271652b5fa98795e9d0bb3802f,"Olive Law Group, PLLC"
7252868,0,95e116af896a0e878459329c59811490,Duane Morris LLP
7956685,0,aee0e7527beb16a22cc60305982ff18f,RatnerPrestia
8196915,0,b8a6496630b620e0a5b6ccd98027dd87,"Harness, Dickey & Pierce, PLC"
7738898,0,321f71b7257b8638c7b823dafc0d4201,Parks IP Law LLC
8131768,0,afd3af50719cbc9738ee2d5bf167e24b,
6419629,0,a9b390bba9f88cf2ec313164fa4844b0,
7001551,1,36994c748062bceb75a48d2efd432e33,
3969929,0,c59fbe74513eed02c6cfb3dfa5174052,
8522647,0,8065cd8363c39e33b1c24c6791f2bd5b,
9963363,0,92333b949c6b62e03f9f372f2e28d440,Medler Ferro Woodhouse & Mills pllc
4025022,0,76fa02ccfd0da9d13575e0a2f2357c60,"Dressler, Goldsmith, Clement, Gordon & Shore, Ltd."
8123584,0,05ebb021777bb39205473c5f855d061d,
4184083,0,9cde51bcafcb9a4b4f1f054d05bd1048,"Schwartz, Jeffery, Schwaab, Mack, Blumenthal & Koch"
5422051,0,69f9386ae5b4d5fdf2920756928f59f8,
4325814,1,d8f0c9847095caf26b4161a22743706d,
4967980,0,7fd0cf3f361404fa35786db0405502b2,"Finnegan, Henderson Farabow, Garrett & Dunner"
4026764,1,f7349fb5f50f222c58eff031ba22152d,
7202528,0,dfff6bcddd8c9c1eedf2bc8789d2f9ed,"Merchant & Gould, P.C."
9989055,0,36fd293df9c27bd62a35ec25f4eb0534,McDermott Will & Emery LLP
11123249,0,e06c083a639fb851333aa5c79331c848,Morrison & Foerster LLP
4524952,2,47fde3d66cd164adcb2a02927f714271,
D786579,0,e3412e962e62f82664c4d92fedcf75d3,Foley & Lardner LLP
5861184,0,c81948210fea0b8066aaf7fe4da9e62f,"Ostrolenk, Faber, Gerb & Soffen, LLP"
9378118,0,32f1c6c52c3d70dad1b58e34029274f4,Patent Capital Group
8030301,0,db87ae16da48d94b999e681d2449d73f,"Rothwell, Figg, Ernst & Manbeck, P.C."
4884109,0,15d85e4dae1f2c54e49a2c9e18804eba,
9148525,0,625d08ced6dc24afc859b4bf1241db73,"Harness, Dickey & Pierce, P.L.C."
D605650,0,e368f36a36b13e02255e52e893b28922,Baker & Hostetler LLP
4131358,0,686f32f8c1d4bb54349bb55540b6b518,"Hill, Gross, Simpson, Van Santen, Steadman, Chiara & Simpson"
6465790,0,58f398f4272c1bf2d2be5cb8180b9210,Pearne & Gordon LLP
5949935,0,e26a197f05efbd9033ebec95fe54ca42,
4583975,0,54a8dd7e394dac29dda3181107d7a110,
8684815,0,705d4ed021844947ec280d542c13ee6a,"KMF Patent Services, PLLC"
7077217,0,7d4b1b89064d8f79adc4be5f84219ea4,
8233052,0,99ff5a4e09caf49bc47854f4d1c504a0,"Gavrilovich, Dodd & Lindsey, LLP"
10093961,0,d2c4e8fcf74dba14e5fe7c1cd754b3d5,Pillsbury Winthrop Shaw Pittmann LLP
8762526,0,ff58158bbf9c783cc832e0aba123b5f6,"Knobbe, Martens, Olson & Bear, LLP"
8868292,0,462ac34f088db12a828e82c7c5ce87a3,Edwards Wildman Palmer LLP
8779256,0,1dfcd024fac0888f92330b787801cfdb,"Rossi, Kimms & McDowell LLP"
10137396,0,453d6d9f53931a11e721618126f194a8,Merchant & Gould P.C.
6989647,0,780ff65d16aee71a0bae3e562224c519,Oliff & Berridge PLC
9449062,0,7a6e6d0c540c2a81f95159e9962fcc88,Brake Hughes Bellermann LLP
8183014,0,3df26408220470d44affaefec2e3f339,
7891358,0,a9346731bb85b8836611c86d50e335a0,Faegre & Benson LLP
6880647,1,087c2eaea3dd3c08dc2497929d42b2d5,
5784387,0,052fd5fb07655cba257b12a6b3457ba5,
6611147,0,2b7a0dffd1cf69935ea948a6855e4781,"Cook, Alex, McFarron, Manzo, Cummings & Mehler, Ltd."
5615832,0,153d0df27917ef4894624dd46d5f1708,
9248429,0,c0d8e1c97539c7e6a482f4c3295c57cb,"Marshall, Gerstein & Borun LLP"
9121321,1,cc0ecc1464f05a7ca26a38c17320db76,Global Intellectual Property Agency LLC
4743381,2,1c55da33afdd3c83e3217f5ac1bcbfb4,
6716725,0,722f28c9380b73740d966d0ad4e9c8b0,"Finnegan, Henderson, Farabow, Garrett & Dunner, LLP"
4056278,1,ab9d79b3f4c08012958b6c49d0481400,
5647650,0,edb551ae21fae89c9ff514dcb00f8a3a,"Fitzpatrick, Cella, Harper & Scinto"
9979409,0,625d08ced6dc24afc859b4bf1241db73,"Harness, Dickey & Pierce, P.L.C."
5044628,0,0e116a4e4ac09145400dbc20450ec188,Browdy and Neimark
D885545,0,dfff6bcddd8c9c1eedf2bc8789d2f9ed,"Merchant & Gould, P.C."
D815367,0,6215d925175b0364ddc824f348706701,patenttm.us
8389744,2,d75856ab420a34094bb31cea0a18f9c2,
9885589,0,3d6709af36b85d4bbaafc4c5eeae6001,"Jefferson IP Law, LLP"
6097290,0,ce211a923c89d64f95a98d5a1f2546fc,"Oltman, Flynn & Kubler"
10820427,1,66a960855eab224d2b31fa8901cb466d,"Loza & Loza, LLP"
8969710,0,684a7602c570306563eb8fc5fe5a9540,Wilson Sonsini Goodrich & Rosati
11139472,0,18ba614ed4e4592e32d3c13f11b52b59,Kwan & Olynick LLP
5936426,0,3a7acc18d44eadcbb5900ced34fa6b01,D'Alessandro & Ritchie
9246179,0,c802ee0502103e88dea70526581d7720,"Mintz Levin Cohn Ferris Glovsky and Popeo, P.C."
6024139,0,b1f02c4075d224033e07032b9b2c4a82,
10892104,0,b878a2bec9da8d4fe41d239c422d49f6,"Keating & Bennett, LLP"
10520105,0,316529325cf9b5431ce9e37ad2f6fdbd,Norton Rose Fulbright US LLP
6068765,0,2bf530e964a7671c92e5d7e52d656c50,"Baker Botts, L.L.P."
D295272,0,d390d9b9f881e0c213bc9d58fbe087f8,
9488958,0,37388de8fc9c076eef3c0bb44db359ea,Troutman Sanders LLP
9901176,0,d78aed1116ab548fe4696c2fd887bfa8,Worman Nydegger
PP33065,0,8204b39192cb4dcf22f383a8abc53764,
5228061,0,3328e2c32e9588ba7e17d44a6fb8d36a,"Fay, Sharpe, Beall, Fagan, Minnich & McKee"
8847056,0,7848369eb098b507904f4e842fb3da96,"Kolisch Hartwell, P.C."
8683488,0,6bca67c0754dc90604554c0814cf7fc5,Snell & Wilmer L.L.P.
6030182,0,56f713bcb8319805c4e4dc4c5ee56f45,
8973703,1,3babcbe35f905102c658cbe9d7f9ba41,Thompson Patent Law
10011095,0,7ebe157c67afe54ef9cf0b47fc8b410e,"Greenblum & Bernstein, P.L.C."
4475146,0,a9518c60f694c013bc7a25c5518cb1af,"Kokjer, Kircher, Bradley, Wharton, Bowman & Johnson"
4565383,0,ef50201934469a8674fbed1525f01112,"McWilliams, Mann, Zummer and Sweeney"
7522810,0,eaca68d554cc0840fb7d3709c76c269d,"Frishauf, Holtz, Goodman & Chick, P.C."
4189722,0,661c4b826318bb5cf308544288eba8aa,Malin & Haley
D333153,0,27daf998c20a8af3baef96016e756f5e,Blum Kaplan
7668857,1,22561ba0e2b964c559381af6fc784650,
D514372,0,e7cdcfca59de37fa5fe97bea4e1d0287,Black Lowe & Graham PLLC
4283527,1,3db460197230f6fb6a921b573f04e46a,
6439573,2,b7d19a53491dc462c0d4057a53a7014f,"Weiss, Moy & Harris, P.C."
D626674,0,ff58158bbf9c783cc832e0aba123b5f6,"Knobbe, Martens, Olson & Bear, LLP"
5987011,0,1dbaf08b438e0975d574ef84a0d1837c,"Sterne,Kessler, Goldstein & Fox P.L.L.C."
9512579,1,a210659750be3313e739d079c3b97163,
7360784,0,edfcca8f9fecd3a40483b91c9bacb64e,
10756545,0,e6976deb75650f4d763c61eeb8d3fb82,Greenberg Traurig
6014921,0,f601812fa5b356ce7869ee189c77eb2d,Pennie & Edmonds LLP
8174878,0,1b9dcb7b45574fae71e89f0c35772c21,"Volentine & Whitt, PLLC"
11240970,1,86122dfb53c7672a2c751a82ca1c964f,
4232097,0,1aaa7e074c93cee5722aad48ebbe3ad6,
9710156,0,1f146d007bbe51e7c8f94084bfd8f024,Farjami & Farjami LLP
10909060,1,739b1013622eee823cf602d97b29e752,
8205174,0,04b7a612d1b4ece6f251a0b5b817218d,Ella Cheong Hong Kong
4431497,1,3d053fb7a351a830c16eef269c3a6d0b,
9161153,1,fe468b54063f44ee64db4c3d57e1bbe5,
6441353,0,52d85a8702fcc0826fed9e9d3b293cde,
8513103,0,688a990b721fdcfd6cdd1fb846ae83fd,William Park & Associates Patent Ltd.
4509008,0,15f72ef955f1718ad704bff95dec25dc,
9273783,0,1bd5e525dc6d6c609a0df627c2e41893,Buchanan Ingersoll & Rooney PC
9852766,1,dc4d2a4371864b451313565ff504b8e4,"Westman, Champlin & Koehler, P.A."
10866546,0,fb3958e76639f593e9a9017e1f924b7b,Venable LLP
10523730,0,c85bb064e0b68ac34f8890c1052a4f7c,Socal IP Law Group LLP
4042264,0,8a168dea1922d2f3f3f744da2a4f1c1b,"Richards, Harris & Medlock"
10188407,0,8faa6fa894785aa6a5ff287c88fd033b,Norris McLaughlin PA
10569648,0,f4c91133c77fb02d2137228b0b692e24,Nixon & Vanderhye P.C.
8645652,2,6ee3221a880ceb4f1dceae6f99c36202,
10397612,0,d0f8f3b7057515c5d305f33f40e2f9f9,"Conley & Rose, P.C."
11342031,0,5b3cf6224e2bf827bd502106342a19e5,Seed IP Law Group LLP
5387728,0,65dba96232f2dbd70d4be1cfa5172b61,Connolly and Hutz
4482060,0,98f34d02580e2652e65a74201cf31843,
5711444,0,2abac4cb99b3cef7d164197db242273f,"Kinney & Lange, P.A."
10816028,0,1895bb1ccc80d3d718896b334712c29d,Harter Secrest & Emery LLP
6653350,0,b0d82f29cb4818749002107923e308ee,
8127270,0,3e652e4691792b59c38e944dde008ce0,Baker Botts L.L.P.
10648081,0,d4f0f27679679ad6b6c53e8caeba4ac9,Stinson LLP
10425495,0,dc35155bd080f78eb09c986f4e14cf64,"Knobbe, Martens, Olson & Bear LLP"
9722623,0,e4e35028b40083080c262fb140368dfb,"Slater Matsil, LLP"
9830400,0,d87d8b58672e0fd66f66cd0b2e3c1be0,Knobbe Martèns Olson & Bear LLP
9061016,0,70e8643b20d48ac90a63090c1c1ccb5c,Young & Thompson
9048556,0,c9db371fe4ee0977e28887bf460a96a4,Staas & Halsey LLP
5672098,0,470e49542c6be485febf088f05a95a60,Dority & Manning
D643694,0,f6d1ec6264a87a1c47e140e44413aafb,Davis Wright Tremaine LLP
8473032,0,0160f76d2b12e8d6e6295885bf3de26b,"Carter, DeLuca, Farrell & Schmidt, LLP"
10548919,0,87f1fe4e2525d69db5cd7abe2cb5fb7a,Perry + Currier Inc.
8026549,1,fe468b54063f44ee64db4c3d57e1bbe5,
5560866,0,10537d46cd9e438024311a138d3a53ee,"Lowe, Price, LeBlanc & Becker"
3961894,0,4e0b66a4424884d10da7fea6175af89e,
4814193,1,6a332301451339c34cb5078ffb9208fa,
5027089,0,00fdb732d5bea8c59abc426d597179b8,"Merchant, Gould, Smith, Edell, Welter & Schmidt"
9869617,0,424ec72efc1f7b9e60b57eb9e82bb56d,Nguyen & Tarbet Patent Law Firm
5088849,0,a05f808d733d55bf4be64b3c612877ac,"Rogers, Howell & Haferkamp"
8126674,1,63115f6d664e55bb1975b9b594348900,"Lemaire Patent Law Firm, P.L.L.C."
10340563,0,e90ac7311114b25debc454d05ed2d88f,
5748567,0,866591366b62ea65b29b0bc6ae992df1,"Morgan, Lewis & Bockius LLP"
