patent_id,latin_name,plant_variety
PP21924,Gentiana scabra,Gento
PP33916,Monarda didyma,Balbeemin
PP16211,Chrysanthemum×morifolium,Yosharon
PP34084,Vaccinium corymbosum,FV1907
PP31920,Thalictrum petaloideum,Ghent Ebony
PP19190,Pelargonium×hortorum,Duevipifiz
PP26322,Vanda hybrid.,SPCDW1205
PP20237,Schlumbergera truncata,CARNEVAL BRAZIL
PP19908,Allamanda carthartica,Siam Snow
PP33327,Rosa hybrida,ESM R325
PP33918,Acer palmatum,SONKOOT6
PP32551,Hydrangea paniculata,Little Alf
PP19729,Scaevola aemula,Wesscaetopi
PP16856,Chrysanthemum×morifolium,Sunny Yotasha
PP23181,Leucanthemum×superbum (L. Burbank),Banana Cream
PP26282,Philodendron selloum,Little Hope
PP25367,Anemone hupehensis,Cinderella
PP26719,Ipomoea indicia var. acuminata,DAYBREAK
PP33298,Anthurium andraeanum L.,ANTHGERXAM
