patent_id,cpc_sequence,cpc_section,cpc_class,cpc_subclass,cpc_group,cpc_type
6652944,1,Y,Y10,Y10T,Y10T428/14,additional
8811123,0,G,G04,G04G,G04G17/04,inventional
11349394,5,H,H02,H02M,H02M3/158,inventional
9595941,2,H,H03,H03H,H03H9/02118,inventional
9800871,15,H,H04,H04N,H04N19/61,inventional
7995829,1,G,G01,G01N,G01N29/0645,inventional
4514633,1,G,G01,G01T,G01T1/29,inventional
9081165,0,G,G02,G02B,G02B6/4477,inventional
10796642,1,G,G09,G09G,G09G3/3233,additional
9466479,3,C,C30,C30B,C30B29/38,inventional
8359478,1,G,G06,G06F,G06F21/74,inventional
5415860,0,A,A61,A61Q,A61Q5/02,inventional
5446313,26,H,H01,H01L,H01L2924/01005,additional
9191606,12,H,H04,H04N,H04N21/43637,inventional
9459728,17,G,G06,G06F,G06F2203/04806,additional
10224366,0,H,H01,H01L,H01L27/156,inventional
8937083,14,C,C07,C07D,C07D405/14,inventional
6008779,8,G,G02,G02B,G02B2027/0159,additional
8437414,5,H,H04,H04L,H04L25/03006,inventional
10264393,7,G,G06,G06Q,G06Q30/0261,inventional
10528961,2,G,G06,G06V,G06V20/20,inventional
10059967,6,C,C12,C12N,C12N9/1007,inventional
6041029,0,G,G11,G11B,G11B7/00745,inventional
4755592,2,A,A61,A61P,A61P43/00,inventional
5246432,11,A,A61,A61F,A61F2013/530489,additional
4437027,3,H,H02,H02K,H02K11/26,inventional
9453225,10,C,C12,C12N,C12N2320/30,additional
10728868,3,H,H04,H04L,H04L67/01,inventional
10488093,11,F,F25,F25B,F25B2600/021,additional
6858855,1,G,G21,G21F,G21F1/12,inventional
9005819,17,H,H01,H01M,H01M2004/028,additional
11152225,7,H,H01,H01L,H01L29/0619,additional
11109858,52,A,A61,A61B,A61B2017/07228,additional
4513477,2,B,B01,B01D,B01D29/54,inventional
7377684,3,B,B01,B01F,B01F29/81,inventional
4257594,10,A,A63,A63B,A63B2102/22,additional
6827893,8,B,B29,B29L,B29L2031/729,additional
5481575,0,G,G21,G21C,G21C17/108,inventional
11107191,5,H,H04,H04N,H04N5/23232,inventional
4264477,12,H,H01,H01H,H01H2229/038,additional
7219370,6,F,F41,F41G,F41G11/003,inventional
11290988,4,H,H04,H04L,H04L27/0006,inventional
6124051,4,H,H01,H01M,H01M8/2483,inventional
4770802,22,C,C10,C10N,C10N2040/042,additional
4185337,0,E,E03,E03D,E03D5/01,inventional
6961398,3,H,H04,H04B,H04B7/2693,inventional
9978177,2,G,G06,G06T,G06T5/00,inventional
9636874,1,B,B29,B29C,B29C53/8016,inventional
9345148,46,H,H01,H01L,H01L2224/16238,additional
10961597,11,G,G05,G05B,G05B19/182,inventional
9790703,3,C,C04,C04B,C04B18/065,inventional
8733675,4,B,B05,B05B,B05B15/68,inventional
10513873,10,E,E05,E05B,E05B81/78,inventional
