cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
F28F,"DETAILS OF HEAT-EXCHANGE AND HEAT-TRANSFER APPARATUS, OF GENERAL APPLICATION ",F28F21/02,"Constructions of heat-exchange apparatus characterised by the selection of particular materials -of carbon, e.g. graphite",F28,HEAT EXCHANGE IN GENERAL
F04C,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS",F04C2270/50,Control; Monitoring or safety arrangements-Conditions before a throttle,F04,POSITIVE - DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS FOR LIQUIDS OR ELASTIC FLUIDS
G06F,ELECTRIC DIGITAL DATA PROCESSING ,G06F15/7835,Digital computers in general ; Data processing equipment in general-Architectures of general purpose stored program computers -comprising a single central processing unit-without memory-on more than one IC chip,G06,COMPUTING; CALCULATING; COUNTING
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T442/56,"Fabric [woven, knitted, or nonwoven textile or cloth, etc.]-FELT FABRIC-From synthetic organic fiber",Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2224/45287,"Indexing scheme for arrangements for connecting or disconnecting semiconductor or solid-state bodies and methods related thereto as covered by H01L24/00-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Wire connectors; Manufacturing methods related thereto-Structure, shape, material or disposition of the wire connectors prior to the connecting process-of an individual wire connector-Core members of the connector-Material-with a principal constituent of the material being a combination of two or more materials in the form of a matrix with a filler, i.e. being a hybrid material, e.g. segmented structures, foams-Material of the matrix-with a principal constituent of the material being a non metallic, non metalloid inorganic material-Ceramics, e.g. crystalline carbides, nitrides or oxides ",H01,BASIC ELECTRIC ELEMENTS
C12N,"MICROORGANISMS OR ENZYMES; COMPOSITIONS THEREOF; PROPAGATING, PRESERVING, OR MAINTAINING MICROORGANISMS; MUTATION OR GENETIC ENGINEERING; CULTURE MEDIA ",C12N2710/16242,"dsDNA viruses-Details-Herpesviridae-Lymphocryptovirus, e.g. human herpesvirus 4, Epstein-Barr Virus-Use of virus, viral particle or viral elements as a vector-virus or viral particle as vehicle, e.g. encapsulating small organic molecule",C12,BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING
B26D,"CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERING ",B26D3/14,Cutting work characterised by the nature of the cut made; Apparatus therefor-Forming notches in marginal portion of work by cutting ,B26,HAND CUTTING TOOLS; CUTTING; SEVERING
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2224/29864,"Indexing scheme for arrangements for connecting or disconnecting semiconductor or solid-state bodies and methods related thereto as covered by H01L24/00-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Layer connectors, e.g. plate connectors, solder or adhesive layers; Manufacturing methods related thereto-Structure, shape, material or disposition of the layer connectors prior to the connecting process-of an individual layer connector-Coating-Material-with a principal constituent of the material being a combination of two or more materials in the form of a matrix with a filler, i.e. being a hybrid material, e.g. segmented structures, foams-Fillers-Base material-with a principal constituent of the material being a metal or a metalloid, e.g. boron [B], silicon [Si], germanium [Ge], arsenic [As], antimony [Sb], tellurium [Te] and polonium [Po], and alloys thereof-the principal constituent melting at a temperature of greater than 1550°C-Palladium [Pd] as principal constituent",H01,BASIC ELECTRIC ELEMENTS
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",B01F13/0244,"Other mixers; Mixing plant, including combinations of ; mixers, e.g. of;  dissimilar mixers-Mixers with gas ; or liquid;  agitation, e.g. with air supply tubes -in receptacles having guiding conduits therein, e.g. for feeding the gas to the bottom of the receptacle-with vertical conduits through which the material is being moved upwardly driven by the fluid-with a central conduit or a central set of conduits",B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B2017/00252,"Surgical instruments, devices or methods, e.g. tourniquets -for minimally invasive surgery -Type of minimally invasive operation -cardiac-Making holes in the wall of the heart, e.g. laser Myocardial revascularization-for by-pass connections, i.e. connections from heart chamber to blood vessel or from blood vessel to blood vessel",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
