patent_id,raw_examiner_name_first,raw_examiner_name_last,examiner_role,art_group
D541367,Catherine R.,Oliver,primary,2914.0
4441836,Joseph A.,Fischetti,assistant,
11199953,Roberto,Borja,primary,2173.0
D319284,M. H.,Tung,assistant,
8896733,Hung,Lam,primary,2661.0
10335697,Joseph B,Baldori,assistant,3711.0
5285059,David C.,Nelms,primary,
5302505,Janet C.,Baxter,primary,
4925811,William,Bunch,assistant,
8381002,Alyaa,Mazyad,assistant,2116.0
7958177,Matthew,Sandifer,assistant,2193.0
8898849,Monica,Carter,primary,3727.0
8650564,Bradley,Teets,assistant,2195.0
10553892,Matthew W,Van Oudenaren,assistant,1729.0
5788519,Katrina                       ,Davis,assistant,
9002243,Jas,Sanghera,assistant,2852.0
8234536,Robert,"Beausoliel, Jr.",primary,2113.0
9508056,James J,Debrow,primary,2144.0
5113716,Allan D.,Herrmann,primary,
8609121,Aradhana,Sasan,primary,1615.0
4340411,Arthur D.,Kellogg,primary,
D511502,Selina,Sikder,assistant,2912.0
D710258,Melody,Brown,primary,2917.0
7654663,John P,Zimmermann,assistant,2861.0
D861504,Sandra S,Snapp,primary,2923.0
PP12308,Michelle,Kizilkaya,assistant,
9124100,Carlos,Amaya,primary,2836.0
5744945,Glenn W.                      ,Brown,primary,
8070594,Dmitry,Suhol,primary,3716.0
6540129,Zidia,Pittman,assistant,1725.0
10491802,Marly S,Camargo,primary,2699.0
7722587,Lynne,Anderson,assistant,3761.0
11454741,Nancy R,Johnson,primary,1783.0
4380704,G. Z.,Rubinson,primary,
8412182,Mahendra,Patel,primary,2645.0
11409933,Suchin,Parihar,primary,2851.0
5572284,Nestor R.,Ramirez,primary,
5254995,A. D.,Pellinen,primary,
4801332,Helene,Kirschner,assistant,
D660938,Catheri,Oliver,primary,2914.0
8300213,Hung Henry,Nguyen,primary,2882.0
4371094,David A.,Scherbel,primary,
8679464,Jane C,Oswecki,primary,1616.0
6602154,Thomas R.,Hannon,primary,3682.0
D692216,Rashida C,McCoy,assistant,2915.0
4000730,Daniel J.,O'Connor,assistant,
4034453,V.,Rising,assistant,
8138155,Stephen,Gucker,assistant,1649.0
5126680,Maura K.,Regan,assistant,
7492904,David Y,Jung,primary,2134.0
D386026,Brian N.                      ,Vinson,primary,
7481848,Lorna M,Douyon,primary,1796.0
7041525,Kiesha,Rose,assistant,2822.0
6780182,Roy D.,Gibson,primary,3739.0
7996516,Kai J,Chang,assistant,2468.0
6728460,Michelle R.,Connelly-Cushwa,assistant,2874.0
9390515,Andrew W,Johns,primary,2665.0
11442423,Muna A,Techane,primary,2827.0
11329706,Minh Trang T,Nguyen,primary,2477.0
8779830,Kenneth B.,Wells,primary,2842.0
8276713,Colleen M,Chavchavadze,assistant,3634.0
D941175,George D.,Kirschbaum,primary,2922.0
5882853,Jeffrey,Stucker,primary,
4809609,Charles A.,Pearson,primary,
9040362,Asok K,Sarkar,primary,2891.0
