patent_id,num_figures,num_sheets
7560223,21,17
10319307,42,29
D910720,7,7
9908772,6,4
6805417,9,8
11034324,20,17
PP12847,8,3
6542328,10,6
10768058,18,17
10218993,13,13
6475263,0,0
11322869,13,7
D423875,4,1
9998635,6,5
8600507,13,10
8280877,6,6
RE31302,8,4
11348594,12,11
7378647,13,3
7748838,10,5
8764429,11,3
7367236,8,4
10492237,13,9
10137279,17,16
11169515,7,6
8537825,21,20
5071307,11,7
7643501,3,3
6912573,20,14
5095958,8,2
D544516,7,4
11270781,9,9
10831071,6,6
8412434,9,6
7391037,13,7
D379686,6,2
6688148,4,4
9714413,42,21
4363933,3,3
6285048,14,8
4597109,5,1
5306363,2,1
8167614,7,7
7013604,12,12
6183494,1,1
D821938,9,9
9911670,300,195
9659039,5,5
4394193,4,1
7443072,14,6
6170159,12,5
11146125,11,4
D580488,5,3
4100498,5,3
8620808,4,4
10408975,4,4
4232975,10,5
7831750,8,8
8651388,11,9
6760849,6,3
7172420,2,2
4000157,1,1
11332494,18,18
4663468,4,4
D634964,7,7
6093019,4,6
5781237,11,11
D795008,7,2
9115614,23,14
9368017,4,4
4867921,6,1
11084131,7,5
4133497,5,1
4954183,3,2
7390870,10,10
5375216,7,7
10435189,16,14
4443523,2,2
8289779,6,5
7561151,18,18
9745793,22,12
6029524,14,10
10046543,17,8
7159019,10,10
D609265,7,4
11411098,10,10
8851717,17,6
7361729,8,4
5536004,8,4
7355438,4,3
11415145,7,7
6716467,5,3
D329096,7,4
4556816,3,2
8693032,6,6
6512197,2,2
4991124,2,2
8971515,6,6
7689884,10,7
5884588,4,2
7040737,37,26
D789974,20,20
5678202,5,4
D806441,6,6
5394020,2,2
6475456,9,4
10842465,17,11
7109851,2,2
7528784,24,12
D484289,7,7
5115421,12,4
D957630,8,8
4004441,5,2
6304780,29,19
7824292,5,3
8430627,10,2
10252300,23,21
8213835,9,8
D253321,6,1
7115675,2,1
11024810,3,2
8298463,8,7
4132187,2,1
7416711,4,4
6570607,5,3
7918864,15,7
11150648,9,9
9131157,13,10
6273453,8,4
4078931,3,1
4466330,2,2
7908652,14,10
11195232,19,19
10423350,5,5
4616543,3,2
11314563,15,14
8734612,18,13
5786620,33,21
8107335,29,19
4808558,4,1
6307501,4,2
6195729,3,3
5851984,4,2
D893082,8,8
7158690,25,16
5984003,4,3
10494701,4,4
6590543,4,4
5040485,5,4
5183447,5,2
8946285,43,24
4706517,10,6
D746465,6,6
D864061,10,10
7083926,2,2
9086348,33,25
D526673,7,3
6564208,3,3
9091338,14,13
8108315,8,6
8767304,21,15
7512047,4,3
D440090,8,4
7873233,8,6
10801382,9,5
8889883,10,10
10431690,33,10
11048381,3,3
D500378,14,11
7393084,15,7
10321882,7,5
6935940,19,2
4186235,1,1
11428991,29,25
4372431,10,6
10231191,13,13
8739219,22,18
5781874,8,4
8635213,16,11
5268631,27,21
11318145,1,1
7921683,4,4
5205109,9,2
8572669,12,12
10421318,4,2
9516601,17,17
9320043,7,6
10040004,2,2
11354346,9,9
5073004,8,3
6149043,9,5
9945831,6,5
10939848,18,14
5701966,12,5
4436555,3,3
4654909,5,1
5243947,23,18
D851555,4,4
4149649,5,2
6194798,13,8
D363892,4,1
8191906,6,5
8845475,7,5
8065583,5,5
7264681,9,9
6919332,0,0
10314375,8,8
D262708,6,3
9903866,6,6
6370150,1,1
6103128,1,1
D406097,8,2
7886393,5,5
4673314,4,2
6067565,26,21
3956464,7,4
5576536,15,12
6040644,1,1
10233539,8,4
6995878,4,4
9499889,3,3
6112254,4,4
10818247,12,8
10859893,20,20
7707314,9,9
D663472,5,5
11169110,10,5
7510739,17,10
8403539,12,12
11287327,4,4
10726000,9,8
D575222,6,6
6442736,9,6
11275140,4,4
9550672,3,2
D704294,19,17
D778870,16,9
6550245,8,8
8135906,4,4
D276245,1,1
6750764,12,7
D458334,7,2
11431177,6,5
5020547,5,2
9788031,16,14
10333393,9,6
10789565,8,8
4845839,3,1
4550727,4,2
D525295,16,10
9451672,38,19
10922612,17,17
8660014,4,4
9253563,4,2
9747152,8,7
5606954,15,14
10553793,25,14
5767442,6,2
7521951,24,12
7994884,7,7
11254551,9,9
6576666,0,0
4793250,8,6
4697159,6,2
4099746,4,2
6593350,0,0
7961922,10,7
6541501,0,0
5749119,6,4
10727415,3,2
9977048,4,2
4356724,10,4
11242145,6,6
11361328,4,3
6602130,12,8
D413138,10,8
9809842,10,9
7544451,3,2
4583678,9,3
10633733,2,2
5938708,5,5
6785332,1,1
10023631,14,10
9083492,9,4
D792355,9,9
6943512,18,8
4144897,5,1
D679818,6,3
7667687,14,10
5926349,11,6
5927514,6,4
7641424,9,9
10298037,19,9
5810437,11,6
6558995,11,6
9470803,12,6
D860390,7,7
5831632,24,10
8903042,19,16
11234477,26,21
8890336,27,11
8664097,28,9
11300219,10,9
4641730,8,2
4492128,3,4
4680515,10,5
9367672,10,10
7492400,11,7
9001878,31,17
10670819,10,7
9493360,4,4
8534058,5,5
9499071,10,10
5361324,5,5
8906359,27,27
10162139,40,20
8522381,8,8
7837130,18,14
11013335,31,16
7280511,6,4
7917957,1,1
4952762,9,3
8570822,7,7
8437401,8,7
6540373,11,9
5270632,12,9
7488540,1,1
5137087,9,3
7290016,3,3
7353263,28,24
D447769,7,1
4899845,10,5
9983662,4,2
9539210,83,53
D601356,6,6
9928966,8,6
7199672,4,3
6828537,14,5
6884427,12,9
11347797,7,7
7875181,20,12
4846542,6,4
11015415,7,4
9047734,16,16
6324511,9,8
5598766,3,2
10459798,11,6
11446283,6,6
D589156,7,7
8030057,25,12
4574219,24,12
D342660,4,1
6472339,0,0
6986026,5,5
11120572,10,6
5391655,1,1
8915570,4,4
4637570,2,1
8525789,13,7
5879129,14,8
5612231,14,9
8417935,11,7
8162883,16,16
8477116,12,7
D432251,1,1
5199230,8,2
10893530,1,7
7951939,1,1
8407262,13,13
D774501,8,4
D802404,8,5
8379442,9,8
4655205,3,1
6045248,9,9
6304117,46,44
5981125,9,7
D358801,7,4
10408295,10,6
D856879,9,9
5996067,10,11
7579865,5,4
D541421,10,2
9711811,7,4
7512467,11,6
7953077,5,5
10275175,8,8
6837575,8,6
8577139,6,6
6661256,9,5
5942710,21,13
7039922,11,11
10442814,11,10
D464186,6,5
4129779,4,2
8968813,4,2
8607751,6,6
7564044,20,8
8739049,16,15
4994654,4,2
10136678,5,2
6906204,0,0
9796574,22,11
10498701,6,6
10521461,5,5
11328409,18,17
7273040,17,9
5099887,3,1
4032302,4,2
10049486,6,6
7916389,16,8
10789903,15,8
8116859,8,4
8768174,17,8
3982561,4,1
10547237,18,16
4379626,4,2
11393894,11,11
6483915,8,5
4438674,3,1
