patent_id,citation_sequence,citation_application_id,citation_date,citation_category,citation_country
11077509,59,8234821,1985-05-01,cited by applicant,DE
10456793,5,2011148399,2011-12-01,cited by applicant,WO
10980494,40,529050,2003-04-01,cited by applicant,TW
10646456,36,WO-03/101458,2003-12-01,cited by applicant,WO
8759866,8,2007-27761,2007-02-01,cited by applicant,JP
10676457,62,WO 2005/025558,2005-03-01,cited by applicant,WO
11407032,11,2004/056511,2004-07-01,cited by applicant,WO
8980106,2,2009123555,2009-10-01,cited by applicant,WO
8350489,12,WO-02/091806,2002-11-01,cited by other,WO
7643276,9,2004-15643,2004-02-01,cited by other,KR
9881001,1,2004-086307,2004-03-01,cited by applicant,JP
8411044,112,I233570,2005-06-01,cited by applicant,TW
8895680,13,61 296077,1986-12-01,cited by applicant,JP
11018439,7,2007/139736,2007-12-01,cited by applicant,WO
8174365,2,11-266177,1999-09-01,cited by other,JP
11257215,0,202060228,2011-12-01,cited by applicant,CN
9488240,1,57137739,1982-08-01,cited by examiner,JP
5346582,2,62-050610,1987-03-01,,JP
4409515,5,52-37720,1976-01-01,,JP
4521642,0,1280439,1972-07-01,,GB
9282205,0,A-2005-159680,2005-06-01,cited by applicant,JP
6765090,2,WO 97/29756,1997-08-01,cited by other,WO
9716782,66,2002-238262,2002-08-01,cited by applicant,JP
8568781,6,2005091704,2005-10-01,cited by applicant,WO
6777891,12,4041338,1992-07-01,cited by other,DE
4796748,3,983237,1965-02-01,,GB
4620625,3,1373479,1974-11-01,,GB
7971950,3,2716593,1995-08-01,cited by other,FR
9512165,6,93/03732,1993-03-01,cited by applicant,WO
10193014,5,2006347776,2006-12-01,cited by applicant,JP
4844203,1,196809,1923-05-01,,GB
8039248,3,2004-344145,2004-12-01,cited by other,JP
6963625,0,658896,1995-06-01,cited by other,EP
6486702,12,WO 98/10517,1998-03-01,cited by other,WO
9575363,8,2008-139769,2008-06-01,cited by applicant,JP
10841362,5,2003-030087,2003-01-01,cited by applicant,JP
10456450,124,WO-2005/032461,2005-04-01,cited by applicant,WO
7424477,7,WO 03/060705,2003-07-01,cited by other,WO
10618897,2,99/65494,1999-12-01,cited by applicant,WO
11130962,3,2011028832,2011-03-01,cited by applicant,WO
11194299,158,WO2010/058376,2010-05-01,cited by applicant,WO
8683378,14,731407,1996-09-01,cited by applicant,EP
6670232,0,8-97219,1996-04-01,cited by other,JP
