patent_id,priority_claim_sequence,priority_claim_kind,foreign_application_id,filing_date,foreign_country_filed
9104144,0,national,2012-185655,2012-08-24,JP
9261321,1,national,10-2013-0161527,2013-12-23,KR
8571001,0,national,2006-099914,2006-03-31,JP
5072114,0,,1-168834,1989-06-30,JP
10787406,0,national,2017-130363,2017-07-03,JP
7207028,0,national,P2004-219202,2004-07-27,JP
4811922,0,,62-133161[U],1987-08-31,JP
5604825,1,,3-155756,1991-05-29,JP
8470937,0,national,2010-167810,2010-07-27,JP
6152964,0,,96200553,1996-03-01,EP
7619898,0,national,2004 01822,2004-11-23,DK
7774897,0,national,10-2007-0040274,2007-04-25,KR
4210266,0,,2719460,1977-04-30,DE
8049711,0,national,2002-314955,2002-10-29,JP
5779411,0,,96 02337,1996-02-26,FR
5879285,0,,7-251500,1995-09-28,JP
5211128,1,,2-184685,1990-07-12,JP
6164932,1,,11-223718,1999-08-06,JP
6060205,4,,10-202052,1998-07-16,JP
7690457,1,national,2007-149864,2007-06-06,JP
5946923,1,,8-284441,1996-10-25,JP
9069038,0,national,2012-045860,2012-03-01,JP
5280677,0,,2-125378,1990-05-17,JP
11405561,1,national,JP2018-046165,2018-03-14,JP
5852728,0,,7-003067,1995-01-12,JP
8731614,0,national,10-2011-0040015,2011-04-28,KR
7646917,0,national,10-2004-0098148,2004-11-26,KR
8361377,0,national,07 06782,2007-09-27,FR
5642695,0,,195 11 685.2,1995-03-30,DE
11045145,0,national,JP2016-081279,2016-04-14,JP
7825021,0,national,2004-009778,2004-01-16,JP
5538493,0,,42 42 476.3,1992-12-16,DE
5937268,0,,8-071267,1996-02-29,JP
8196502,0,national,10 2007 049 636,2007-10-17,DE
11149120,1,national,10-2017-0030179,2017-03-09,KR
6225138,0,,PO7933,1997-07-15,AU
10943534,0,national,10-2015-0096614,2015-07-07,KR
9739081,0,national,10 2013 101 040,2013-02-01,DE
4712147,0,,58-42095,1983-03-16,JP
9824952,0,national,10-2015-0045495,2015-03-31,KR
RE37934,1,,PCT/DE87/00372,1987-08-20,WO
8865924,0,national,0801319.5,2008-01-25,GB
7782739,0,national,10-2005-0044368,2005-05-26,KR
7033255,0,national,2002-157738,2002-05-30,JP
6392048,1,,8-299263,1996-10-24,JP
9117389,0,national,2011 1 0316568,2011-10-18,CN
5865506,0,,6-136959,1994-06-20,JP
D852864,0,national,2015-018433,2015-08-21,JP
11303762,0,national,JP2020-097873,2020-06-04,JP
11407205,6,national,2014-187083,2014-09-12,JP
4398699,0,,55-161319,1980-11-11,JP
4627589,0,,58-137730[U],1983-09-05,JP
4368237,0,,50/79655,1975-06-26,JP
6473754,0,,10-148721,1998-05-29,JP
9156073,0,national,2008-052571,2008-03-03,JP
9167357,0,regional,10154096,2010-02-19,EP
10557689,0,national,PCT/NL04/00029,2004-01-01,NL
9848109,2,national,2016 1 0311232,2016-05-11,CN
10246120,0,national,2011-250111,2011-11-15,JP
7790053,0,national,2004-335530,2004-11-19,JP
5099269,4,,1-35949,1989-02-14,JP
9378541,0,national,10-2013-0077294,2013-07-02,KR
5116614,0,,3510795,1985-03-25,DE
4850369,1,,60-78651,1985-04-12,JP
10633504,0,national,2015-151303,2015-07-30,JP
10535831,0,national,2015-246135,2015-12-17,JP
4227636,0,,25445561,1975-10-04,DE
6621345,0,,2000-102656,2000-04-04,JP
5324760,0,,3915267,1989-05-10,DE
11185210,1,national,10-2015-0102315,2015-07-20,KR
6924137,0,national,2001 01122,2001-07-18,DK
7461124,0,national,2000-097881,2000-03-30,JP
6225278,0,,197 32 689,1997-07-30,DE
7454064,1,national,2000-2584,2000-01-11,JP
7743792,7,national,0109013.3,2001-04-10,GB
9475237,0,national,1120898.0,2011-12-06,GB
7581552,0,national,10-2005-0002810,2005-01-12,KR
4675261,3,,48-87070,1973-08-01,JP
7803196,0,national,2004-192517,2004-06-30,JP
4343180,0,,2932336,1979-08-09,DE
8258505,0,national,2008-169154,2008-06-27,JP
6411193,0,,089110565,2000-05-31,TW
9525172,0,national,2012-150486,2012-07-04,JP
6417225,0,,9-154260,1997-05-08,JP
6904652,0,national,199 18 082,1999-04-21,DE
8291442,0,national,99225760 U,2010-12-31,TW
5427377,0,,3-173750,1991-07-15,JP
5518834,4,,6-019116,1994-02-16,JP
4661677,0,,67835 A/84,1984-08-20,IT
10398202,0,national,2015-240631,2015-11-19,JP
8617581,1,national,198 29 113,1998-06-30,DE
D481688,0,,02 3 60996,2002-08-30,CN
4948133,0,,8627053,1986-11-12,GB
4119492,0,,51-10824,1976-02-05,JP
8969480,0,national,2011-040807,2011-02-25,JP
6549825,0,,2000-280884,2000-09-14,JP
6320830,0,,10-021199,1998-02-02,JP
7652104,0,national,2003-032764,2003-02-10,JP
4672677,2,,59-260018,1984-12-11,JP
8101333,0,national,2006-285312,2006-10-19,JP
10344363,0,national,2015-205436,2015-10-19,JP
6375307,0,,99301151,1999-02-17,EP
8199273,0,national,2007-225454,2007-08-31,JP
8356930,0,regional,09180823,2009-12-28,EP
4770118,0,,3500005,1985-01-02,DE
5854004,0,,41 38 621.3,1991-11-25,DE
9066193,0,national,2010 1 0257188,2010-08-19,CN
8461586,0,national,2010-162184,2010-07-16,JP
7307174,0,national,0222909.4,2002-10-03,GB
5427375,0,,42 30 540.3,1992-09-10,DE
9785075,0,national,2012-242166,2012-11-01,JP
5513237,1,,6-067343,1994-04-05,JP
10381081,0,national,2017-173536,2017-09-08,JP
4157415,0,,2650628,1976-11-05,DE
5689469,0,,6-077513,1994-04-15,JP
D650295,9,regional,001635830-0010,2009-11-13,EM
7519040,0,national,2003-317620,2003-09-10,JP
9191943,0,national,10-2012-0101747,2012-09-13,KR
5583292,0,,41 09 625.8,1991-03-23,DE
7712596,0,national,10-2006-0138993,2006-12-29,KR
4012593,0,,50-965,1974-12-29,JA
3987031,0,,2063406,1970-12-23,DT
10209436,0,national,2016 1 0277806,2016-04-28,CN
10273931,0,national,1530038,2015-03-30,SE
11245707,0,national,JP2018-070483,2018-03-31,JP
7287575,0,national,0004823,2000-12-22,SE
4288751,1,,53/115329,1978-03-24,JP
6586807,0,,2000-024465,2000-02-01,JP
8272500,3,national,2008-175431,2008-07-04,JP
