patent_id,gi_organization_id,fedagency_name,level_one,level_two
7223228,87,Small Business Innovation Research,Small Business Administration,Small Business Innovation Research
7610397,5,Department of Defense,Department of Defense,
10446259,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
7125856,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
6613734,64,Navy,Department of Defense,Navy
6345497,10,Department of Energy,Department of Energy,
7184814,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
7462452,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
5716251,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
4551092,18,United States Government,United States Government,
4687165,10,Department of Energy,Department of Energy,
10356945,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
8013792,18,United States Government,United States Government,
6258974,136,National Institute of Dental and Craniofacial Research,Department of Health and Human Services,National Institutes of Health
9081796,18,United States Government,United States Government,
4723075,18,United States Government,United States Government,
9567331,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
7830525,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
10154592,31,National Science Foundation,National Science Foundation,
10751689,141,Advanced Research Projects Agency-Energy,Department of Energy,Advanced Research Projects Agency-Energy
5493730,10,Department of Energy,Department of Energy,
4691703,19,Department of Health and Human Services,Department of Health and Human Services,
4210820,10,Department of Energy,Department of Energy,
7157438,119,National Cancer Institute,Department of Health and Human Services,National Institutes of Health
8872690,64,Navy,Department of Defense,Navy
4529695,19,Department of Health and Human Services,Department of Health and Human Services,
5873359,18,United States Government,United States Government,
5591579,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
10842849,5,Department of Defense,Department of Defense,
5545732,34,Department of Agriculture,Department of Agriculture,
4534938,18,United States Government,United States Government,
8243847,53,Air Force,Department of Defense,Air Force
5476401,18,United States Government,United States Government,
9067903,10,Department of Energy,Department of Energy,
10072241,31,National Science Foundation,National Science Foundation,
8251863,64,Navy,Department of Defense,Navy
11016363,31,National Science Foundation,National Science Foundation,
4430304,10,Department of Energy,Department of Energy,
9355565,67,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration
7184641,31,National Science Foundation,National Science Foundation,
5211786,64,Navy,Department of Defense,Navy
9530101,18,United States Government,United States Government,
9518915,17,Department of Homeland Security,Department of Homeland Security,
11352647,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
9064738,18,United States Government,United States Government,
5557273,53,Air Force,Department of Defense,Air Force
4398156,10,Department of Energy,Department of Energy,
5644013,31,National Science Foundation,National Science Foundation,
5409543,10,Department of Energy,Department of Energy,
10736561,18,United States Government,United States Government,
8067829,18,United States Government,United States Government,
8012702,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
3960448,53,Air Force,Department of Defense,Air Force
6680648,53,Air Force,Department of Defense,Air Force
5880880,10,Department of Energy,Department of Energy,
9694121,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
4859452,119,National Cancer Institute,Department of Health and Human Services,National Institutes of Health
7180598,64,Navy,Department of Defense,Navy
4952057,18,United States Government,United States Government,
4075043,55,Army,Department of Defense,Army
7534633,18,United States Government,United States Government,
8007739,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
11033734,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
8771425,10,Department of Energy,Department of Energy,
8481757,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
9070236,18,United States Government,United States Government,
8865031,64,Navy,Department of Defense,Navy
8729283,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
9564763,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
10845325,10,Department of Energy,Department of Energy,
10085662,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,
5014591,55,Army,Department of Defense,Army
5931820,18,United States Government,United States Government,
6642802,18,United States Government,United States Government,
9926336,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
8446439,18,United States Government,United States Government,
8657027,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,
5270653,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
4649038,31,National Science Foundation,National Science Foundation,
10344276,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
10719630,53,Air Force,Department of Defense,Air Force
9605260,53,Air Force,Department of Defense,Air Force
7064337,76,Lawrence Livermore National Laboratory,Department of Energy,Lawrence Livermore National Laboratory
7408235,10,Department of Energy,Department of Energy,
9722252,10,Department of Energy,Department of Energy,
6638575,44,National Institute of Standards and Technology,Department of Commerce,National Institute of Standards and Technology
4085241,18,United States Government,United States Government,
5851401,78,Argonne National Laboratory,Department of Energy,Argonne National Laboratory
4245660,18,United States Government,United States Government,
10010508,18,United States Government,United States Government,
9878154,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
9597026,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
8313903,135,National Institute of Biomedical Imaging and Bioengineering,Department of Health and Human Services,National Institutes of Health
9257535,65,Defense Threat Reduction Agency,Department of Defense,Defense Threat Reduction Agency
10370418,10,Department of Energy,Department of Energy,
7399584,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
9843262,10,Department of Energy,Department of Energy,
10443954,10,Department of Energy,Department of Energy,
7585815,10,Department of Energy,Department of Energy,
7861639,18,United States Government,United States Government,
9142833,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
5668125,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
4874600,18,United States Government,United States Government,
6573897,31,National Science Foundation,National Science Foundation,
7635569,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
10830639,31,National Science Foundation,National Science Foundation,
6831156,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
RE39803,64,Navy,Department of Defense,Navy
7348315,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
6780871,127,National Institute on Drug Abuse,Department of Health and Human Services,National Institutes of Health
10670186,61,Missile Defense Agency,Department of Defense,Missile Defense Agency
10990668,10,Department of Energy,Department of Energy,
5580518,10,Department of Energy,Department of Energy,
5452236,10,Department of Energy,Department of Energy,
5525760,10,Department of Energy,Department of Energy,
6465251,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
7906345,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
8835601,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
10266398,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
5670322,53,Air Force,Department of Defense,Air Force
8304188,31,National Science Foundation,National Science Foundation,
8530719,18,United States Government,United States Government,
4619920,19,Department of Health and Human Services,Department of Health and Human Services,
8199020,18,United States Government,United States Government,
5886445,10,Department of Energy,Department of Energy,
8233686,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
4737578,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
8830476,18,United States Government,United States Government,
8476415,91,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention
8585928,10,Department of Energy,Department of Energy,
10429170,31,National Science Foundation,National Science Foundation,
10988735,31,National Science Foundation,National Science Foundation,
6374595,10,Department of Energy,Department of Energy,
10266549,5,Department of Defense,Department of Defense,
9853817,17,Department of Homeland Security,Department of Homeland Security,
8585973,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
9594880,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
6303901,76,Lawrence Livermore National Laboratory,Department of Energy,Lawrence Livermore National Laboratory
6285372,31,National Science Foundation,National Science Foundation,
4559282,82,National Renewable Energy Laboratory,Department of Energy,National Renewable Energy Laboratory
8088590,119,National Cancer Institute,Department of Health and Human Services,National Institutes of Health
10790508,10,Department of Energy,Department of Energy,
9505977,10,Department of Energy,Department of Energy,
11105823,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
9072744,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
10367797,146,Army Materiel Command,Department of Defense,Army
8446242,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
9863946,5,Department of Defense,Department of Defense,
10660519,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
4033349,18,United States Government,United States Government,
10409133,10,Department of Energy,Department of Energy,
4171859,18,United States Government,United States Government,
7649166,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,
7709659,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
7135292,2,Department of Commerce,Department of Commerce,
10340965,5,Department of Defense,Department of Defense,
9903808,44,National Institute of Standards and Technology,Department of Commerce,National Institute of Standards and Technology
8388844,31,National Science Foundation,National Science Foundation,
6210942,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,
9823202,10,Department of Energy,Department of Energy,
5320136,18,United States Government,United States Government,
9540652,10,Department of Energy,Department of Energy,
11230568,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
9283570,5,Department of Defense,Department of Defense,
5212082,114,National Institute of Mental Health,Department of Health and Human Services,National Institutes of Health
6795799,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,
9778105,221,"Army Tank Automotive Research, Development and Engineering Center",Department of Defense,Army
6479242,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
7115651,55,Army,Department of Defense,Army
5458896,18,United States Government,United States Government,
4345254,18,United States Government,United States Government,
7056509,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
11239276,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
5804907,64,Navy,Department of Defense,Navy
5568447,18,United States Government,United States Government,
10934364,119,National Cancer Institute,Department of Health and Human Services,National Institutes of Health
8530614,47,Sandia National Laboratories,Department of Energy,Sandia National Laboratories
6798550,53,Air Force,Department of Defense,Air Force
4461126,10,Department of Energy,Department of Energy,
7095019,19,Department of Health and Human Services,Department of Health and Human Services,
5719073,54,Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency
6726507,16,Federal Communications Commission,Federal Communications Commission,
10421675,31,National Science Foundation,National Science Foundation,
8402734,18,United States Government,United States Government,
7079240,31,National Science Foundation,National Science Foundation,
9458215,148,Army Medical Research and Materiel Command,Department of Defense,Army
7794797,31,National Science Foundation,National Science Foundation,
4385198,18,United States Government,United States Government,
3961569,18,United States Government,United States Government,
9562881,179,Office of Naval Research,Department of Defense,Navy
8318699,119,National Cancer Institute,Department of Health and Human Services,National Institutes of Health
10425742,31,National Science Foundation,National Science Foundation,
11293023,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
10998102,199,Telemedicine and Advanced Technology Research Center,Department of Defense,Army
6872546,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
7968113,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
11065351,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
9228956,87,Small Business Innovation Research,Small Business Administration,Small Business Innovation Research
4529695,31,National Science Foundation,National Science Foundation,
6452387,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health
