patent_id,inventor_sequence,inventor_id,disambig_inventor_name_first,disambig_inventor_name_last,male_flag,attribution_status,location_id
10254864,0,fl:ta_ln:kim-142,Tae-sang,Kim,1.0,1,7638d794-16c8-11ed-9b5f-1234bde3cd05
10164599,1,fl:yi_ln:wu-195,Yipin,Wu,1.0,1,8801128f-16c8-11ed-9b5f-1234bde3cd05
7884107,15,fl:cr_ln:gibeau-1,Craig R.,Gibeau,1.0,1,05dc2e20-16c8-11ed-9b5f-1234bde3cd05
9953797,1,fl:ma_ln:frontera-1,Mark Alan,Frontera,1.0,1,0736273d-16c8-11ed-9b5f-1234bde3cd05
9513572,3,fl:th_ln:anthony-4,Thomas,Anthony,1.0,1,a26e22db-16c8-11ed-9b5f-1234bde3cd05
9066262,1,fl:mu_ln:kazmi-4,Muhammad,Kazmi,1.0,1,53f38166-16c8-11ed-9b5f-1234bde3cd05
10740785,3,fl:en_ln:vijil-1,Enara C.,Vijil,0.0,1,8e4f0f94-16c8-11ed-9b5f-1234bde3cd05
11428987,1,fl:ju_ln:qi-10,Jun,Qi,,98,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11069621,0,fl:ha_ln:nakano-12,Hayato,Nakano,1.0,1,7ec176d7-16c8-11ed-9b5f-1234bde3cd05
10450987,1,fl:va_ln:nuzzo-2,Valerio,Nuzzo,1.0,1,95e53f03-16c8-11ed-9b5f-1234bde3cd05
7444854,1,fl:we_ln:grossebley-2,Werner,Grosse Bley,1.0,1,42beeb4c-16c8-11ed-9b5f-1234bde3cd05
5407699,0,fl:ro_ln:myers-17,Ronald E.,Myers,1.0,1,f50e9715-16c7-11ed-9b5f-1234bde3cd05
7687641,3,fl:do_ln:dai-3,Dongcheng,Dai,,99,c4358674-16c7-11ed-9b5f-1234bde3cd05
8326007,3,fl:an_ln:heimdal-1,Andreas,Heimdal,1.0,1,210677e9-16c8-11ed-9b5f-1234bde3cd05
5089785,0,fl:lo_ln:hand-1,Louis N.,Hand,1.0,1,04d946c2-16c8-11ed-9b5f-1234bde3cd05
7222955,1,fl:ju_ln:yoshikawa-3,Junichi,Yoshikawa,1.0,1,42f90495-16c8-11ed-9b5f-1234bde3cd05
4967160,1,95ievoddb6n3z5xtre60dn3r0,Francis,Desjouis,1.0,1,47d82794-16c8-11ed-9b5f-1234bde3cd05
D773974,1,fl:gr_ln:peer-2,Gregory L.,Peer,1.0,1,0350878f-16c8-11ed-9b5f-1234bde3cd05
7235262,8,fl:su_ln:gupta-18,Subhash Chandra,Gupta,0.0,1,3884075d-16c8-11ed-9b5f-1234bde3cd05
10642360,0,fl:ra_ln:mangharam-1,Rahul,Mangharam,1.0,1,8a6e68e9-16c8-11ed-9b5f-1234bde3cd05
10736470,0,fl:ro_ln:preece-2,Roy,Preece,1.0,1,e6d4dc62-16c7-11ed-9b5f-1234bde3cd05
6261813,6,fl:do_ln:clark-25,Douglas S.,Clark,1.0,1,c8d3d613-16c7-11ed-9b5f-1234bde3cd05
7069730,2,fl:cr_ln:zelasko-1,Craig Daniel,Zelasko,1.0,1,ccb58bf7-16c7-11ed-9b5f-1234bde3cd05
4668080,1,fl:ha_ln:kleinknecht-1,Hans P.,Kleinknecht,1.0,1,b237ea88-16c7-11ed-9b5f-1234bde3cd05
9765688,5,fl:ba_ln:xiao-7,Baitao,Xiao,1.0,1,94e88ea1-16c8-11ed-9b5f-1234bde3cd05
4750469,0,4xyz395w7edesd5jxj1rk7m10,Duane L.,Biggs,1.0,1,d22dbab0-16c7-11ed-9b5f-1234bde3cd05
7836541,0,fl:ya_ln:harita-1,Yasuhiro,Harita,1.0,1,5a67427a-16c8-11ed-9b5f-1234bde3cd05
7009287,1,fl:ku_ln:cheng-23,Kuang-Chih,Cheng,1.0,1,90a8720c-16c8-11ed-9b5f-1234bde3cd05
5396056,0,fl:at_ln:yamaguchi-9,Atsuo,Yamaguchi,,99,9df04e65-16c8-11ed-9b5f-1234bde3cd05
8921577,1,fl:po_ln:lattmann-1,Pornthip,Lattmann,0.0,1,174d7e70-16c8-11ed-9b5f-1234bde3cd05
8058217,0,fl:sa_ln:suda-3,Satoshi,Suda,,98,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
6880358,1,fl:wm_ln:slone-1,Wm. Derek,Slone,,98,e42a41fe-16c7-11ed-9b5f-1234bde3cd05
7500287,0,fl:kl_ln:brustle-1,Klaus,Brustle,1.0,1,7d9b4673-16c8-11ed-9b5f-1234bde3cd05
5857819,0,fl:ba_ln:lary-2,Banning G.,Lary,1.0,1,f4141084-16c7-11ed-9b5f-1234bde3cd05
