patent_id,ipc_sequence,classification_level,section,ipc_class,subclass,main_group,subgroup,symbol_position,classification_value,classification_status,classification_data_source,action_date,ipc_version_indicator
9396837,5,A,H,1,B,5,00,L,I,B,H,2016-07-19,2006-01-01
10796558,3,A,H,4,N,7,18,L,I,B,H,2020-10-06,2006-01-01
10127650,11,A,B,60,G,15,6,L,N,B,H,2018-11-13,2006-01-01
7695639,0,A,C,1,B,11,06,F,I,B,H,2010-04-13,2006-01-01
11000915,4,A,B,23,K,20,24,L,I,B,H,2021-05-11,2006-01-01
9582904,7,A,G,6,T,15,50,L,I,B,H,2017-02-28,2011-01-01
6962982,0,,A,61,K,038,/24,,,,,,
10756047,2,A,B,23,K,35,2,L,I,B,H,2020-08-25,2006-01-01
7792452,0,A,G,3,G,15,20,F,I,B,H,2010-09-07,2006-01-01
6109170,0,,A,47,J,19,06,,,,,,
9730856,2,A,A,61,H,9,00,L,N,B,H,2017-08-15,2006-01-01
10473825,4,A,C,8,J,5,18,L,I,B,H,2019-11-12,2006-01-01
6188660,2,,G,11,B,33,02,,,,,,
11454750,8,A,C,9,J,7,24,L,I,B,H,2022-09-27,2018-01-01
11260434,3,A,C,11,D,3,395,L,I,B,H,2022-03-01,2006-01-01
11209022,0,A,F,3,G,7,8,F,I,B,H,2021-12-28,2006-01-01
4530385,1,,A,1,G,23,08,,,,,,
5800459,0,,A,66,N,1,40,,,,,,
5834067,2,,B,5,D,1,38,,,,,,
10021245,3,A,H,4,M,3,51,L,I,B,H,2018-07-10,2006-01-01
3957287,0,,B,42,D,1,04,,,,,,
11291808,0,A,A,61,M,27,0,F,I,B,H,2022-04-05,2006-01-01
10309826,7,A,B,23,K,26,244,L,I,B,H,2019-06-04,2014-01-01
4382086,1,,C,7,H,17,8,,,,,,
9693664,0,A,A,47,L,9,10,F,I,B,H,2017-07-04,2006-01-01
6147253,1,,C,7,C,309,14,,,,,,
7881748,0,A,H,4,M,1,00,F,I,B,H,2011-02-01,2006-01-01
4678002,0,,F,16,K,43,00,,,,,,
9014187,1,A,H,4,L,12,56,L,I,B,H,2015-04-21,2006-01-01
10331712,0,A,G,6,F,16,0,F,I,B,H,2019-06-25,2019-01-01
10461506,4,A,H,1,S,3,10,L,N,B,H,2019-10-29,2006-01-01
4990951,0,,G,3,B,27,52,,,,,,
6946275,0,,C,12,N,009,/12,,,,,,
4210211,0,,A,1,B,35,14,,,,,,
7996892,2,A,G,6,F,17,00,L,N,B,H,2011-08-09,2006-01-01
11431733,4,A,G,5,B,19,418,L,I,B,H,2022-08-30,2006-01-01
9451710,0,A,H,5,K,3,36,F,I,B,H,2016-09-20,2006-01-01
8992368,3,A,H,2,K,7,116,L,N,B,H,2015-03-31,2006-01-01
10101459,0,A,G,1,S,19,13,F,I,B,H,2018-10-16,2010-01-01
9797138,3,A,E,4,B,5,26,L,I,B,H,2017-10-24,2006-01-01
4282302,0,,G,3,G,9,00,,,,,,
10178517,2,A,H,4,L,12,58,L,I,B,H,2019-01-08,2006-01-01
10096397,1,A,B,29,C,47,0,L,I,B,H,2018-10-09,2006-01-01
10909761,4,A,H,4,N,21,235,L,I,B,H,2021-02-02,2011-01-01
9616390,4,A,C,2,F,103,08,L,N,B,H,2017-04-11,2006-01-01
9311553,22,A,G,6,Q,20,34,L,I,B,H,2016-04-12,2012-01-01
11456852,0,A,H,4,L,27,10,F,I,B,H,2022-09-27,2006-01-01
10597140,0,A,B,64,C,3,56,F,I,B,H,2020-03-24,2006-01-01
10123929,3,A,A,63,B,23,35,L,I,B,H,2018-11-13,2006-01-01
11032835,2,A,H,4,B,7,26,L,I,B,H,2021-06-08,2006-01-01
9632291,0,A,H,4,N,5,33,F,I,B,H,2017-04-25,2006-01-01
9061296,4,A,B,5,B,7,32,L,I,B,H,2015-06-23,2006-01-01
11354605,11,A,H,4,N,7,18,L,N,B,H,2022-06-07,2006-01-01
8851004,1,A,B,63,B,22,02,L,I,B,H,2014-10-07,2006-01-01
4438677,0,,F,41,H,7,06,,,,,,
11111490,0,A,C,40,B,40,8,F,I,B,H,2021-09-07,2006-01-01
4528965,0,,F,2,M,59,38,,,,,,
10703956,2,A,C,9,K,8,14,L,I,B,H,2020-07-07,2006-01-01
5338548,0,,A,61,F,13,00,,,,,,
11447586,4,A,C,8,F,210,16,L,I,B,H,2022-09-20,2006-01-01
11047983,2,A,G,1,S,7,4912,L,I,B,H,2021-06-29,2020-01-01
9571895,1,A,H,4,N,21,6405,L,I,B,H,2017-02-14,2011-01-01
10523373,0,A,H,4,L,1,18,F,I,B,H,2019-12-31,2006-01-01
8414281,1,A,B,29,C,35,08,L,I,B,H,2013-04-09,2006-01-01
7561983,0,A,G,6,F,19,00,F,I,B,H,2009-07-14,2006-01-01
8815911,1,A,A,61,K,9,20,L,I,B,H,2014-08-26,2006-01-01
9733401,2,A,F,21,Y,105,10,L,N,B,H,2017-08-15,2016-01-01
9263480,1,A,H,1,L,27,12,L,I,B,H,2016-02-16,2006-01-01
10700408,3,A,H,5,B,3,84,L,I,B,H,2020-06-30,2006-01-01
9038117,4,A,H,4,H,60,46,L,I,B,H,2015-05-19,2008-01-01
7428454,0,A,G,6,F,19,00,F,I,B,H,2008-09-23,2006-01-01
10283412,1,A,H,1,L,21,8234,L,I,B,H,2019-05-07,2006-01-01
9248472,7,A,C,4,B,20,10,L,I,B,H,2016-02-02,2006-01-01
9606400,1,A,G,2,F,1,13363,L,I,B,H,2017-03-28,2006-01-01
10156006,2,A,C,23,C,8,2,L,I,B,H,2018-12-18,2006-01-01
11387685,0,A,H,2,J,50,80,F,I,B,H,2022-07-12,2016-01-01
10184898,3,A,H,5,K,13,8,L,I,B,H,2019-01-22,2006-01-01
10566676,4,A,H,1,Q,1,42,L,I,B,H,2020-02-18,2006-01-01
8548286,5,A,G,2,B,27,10,L,I,B,H,2013-10-01,2006-01-01
10435554,7,A,E,21,B,23,1,L,N,B,H,2019-10-08,2006-01-01
10115501,6,A,H,1,B,13,0,L,I,B,H,2018-10-30,2006-01-01
8080625,2,A,C,8,G,77,32,L,I,B,H,2011-12-20,2006-01-01
9706559,5,A,H,4,B,1,71,L,I,B,H,2017-07-11,2011-01-01
10163725,5,A,H,1,L,27,92,L,I,B,H,2018-12-25,2006-01-01
10658547,0,A,H,1,L,33,46,F,I,B,H,2020-05-19,2010-01-01
10110299,5,A,H,4,N,21,45,L,I,B,H,2018-10-23,2011-01-01
7132031,1,A,A,61,F,13,15,L,I,B,H,2006-11-07,2006-01-01
9586070,5,A,C,8,L,27,12,L,I,B,H,2017-03-07,2006-01-01
8278310,0,A,A,1,N,43,54,F,I,B,H,2012-10-02,2006-01-01
4606837,0,,C,10,M,115,04,,,,,,
9481631,6,A,C,8,G,8,04,L,I,B,H,2016-11-01,2006-01-01
6765997,0,,H,4,M,1,64,,,,,,
4833235,1,,C,9,B,31,147,,,,,,
9367790,1,A,G,6,K,19,077,L,I,B,H,2016-06-14,2006-01-01
8771624,13,A,B,1,J,20,00,L,I,B,H,2014-07-08,2006-01-01
7790710,5,A,C,7,D,413,00,L,I,B,H,2010-09-07,2006-01-01
4292634,0,,G,1,S,13,90,,,,,,
8536424,1,A,A,1,H,5,00,L,I,B,H,2013-09-17,2006-01-01
