patent_id,published_or_filed_date,filed_country,application_kind,pct_doc_number,pct_doc_type
9090120,2009-07-02,WO,A,WO2009/081077,wo_grant
11298944,2019-08-01,WO,A,WO2019/147238,wo_grant
8367588,2007-04-26,WO,A,WO2007/047301,wo_grant
10326247,2016-05-12,WO,00,PCT/US2016/032170,pct_application
6652844,1999-12-29,WO,A,WO99/66885,wo_grant
8945456,2011-02-10,WO,A,WO2011/015566,wo_grant
8926707,2011-04-19,WO,00,PCT/GB2011/000595,pct_application
8216973,2009-04-15,WO,00,PCT/EP2009/002742,pct_application
9476588,2011-10-21,WO,00,PCT/JP2011/005901,pct_application
9020554,2009-06-24,WO,00,PCT/US2009/003746,pct_application
9937515,2015-10-08,WO,A,WO2015/149864,wo_grant
5990810,1996-02-15,WO,00,PCT/AU96/00081,pct_application
7600560,2005-09-15,WO,A,WO2005/085738,wo_grant
10765629,2019-01-31,WO,A,WO2019/023211,wo_grant
10877034,2015-12-23,WO,A,WO2015/193552,wo_grant
8538902,2009-03-05,WO,A,WO2009/028558,wo_grant
10062483,2013-07-04,WO,A,WO2013/099274,wo_grant
10670099,2016-10-03,WO,00,PCT/JP2016/079277,pct_application
5218527,1991-02-18,WO,00,PCT/JP91/00198,pct_application
8589158,2009-07-10,WO,00,PCT/EP2009/058808,pct_application
11121095,2017-12-15,WO,00,PCT/JP2017/045069,pct_application
8905070,2010-04-26,WO,00,PCT/NL2010/050227,pct_application
7935907,2007-08-02,WO,A,WO2007/085425,wo_grant
8103012,2007-02-22,WO,00,PCT/EP2007/051723,pct_application
10854325,2017-11-09,WO,A,WO2017/190959,wo_grant
10411951,2015-02-10,WO,00,PCT/US2015/015122,pct_application
9561251,2009-05-22,WO,A,WO2009/062993,wo_grant
7205211,2003-10-09,WO,A,WO03/083930,wo_grant
6488324,1999-10-28,WO,A,WO99/54152,wo_grant
7063778,2003-07-17,WO,A,WO03/057368,wo_grant
4944428,1986-03-27,WO,00,PCT/EP86/00187,pct_application
11015975,2018-11-22,WO,A,WO2018/213286,wo_grant
10996641,2017-10-02,WO,00,PCT/SG2017/050493,pct_application
7798110,2005-08-18,WO,A,WO2005/075796,wo_grant
10689922,2017-02-24,WO,00,PCT/NO2017/050052,pct_application
11155442,2015-12-18,WO,00,PCT/US2015/066587,pct_application
11310889,2019-12-05,WO,00,PCT/EP2019/083787,pct_application
11310426,2019-02-07,WO,A,WO2019/026615,wo_grant
8405389,2008-12-26,WO,00,PCT/JP2008/073964,pct_application
4987718,1988-05-19,WO,A,WO88/03593,wo_grant
10469226,2017-04-13,WO,A,WO2017/061774,wo_grant
9533693,2013-06-20,WO,A,WO2013/087206,wo_grant
9292548,2013-05-10,WO,A,WO2013/066320,wo_grant
6095397,1997-03-13,WO,A,WO97/09739,wo_grant
8861587,2012-01-26,WO,A,WO2012/011860,wo_grant
11007818,2018-03-22,WO,A,WO2018/050756,wo_grant
8793830,2011-04-25,WO,00,PCT/IB2011/051792,pct_application
9608629,2014-10-09,WO,A,WO2014/162668,wo_grant
7964687,2005-07-07,WO,00,PCT/JP2005/012580,pct_application
9941573,2015-01-20,WO,00,PCT/JP2015/000223,pct_application
7175759,2003-06-19,WO,A,WO03/050356,wo_grant
9523848,2013-09-26,WO,A,WO2013/139866,wo_grant
10787430,2017-12-21,WO,A,WO2017/218960,wo_grant
6942915,2000-09-28,WO,A,WO00/56993,wo_grant
7742610,2002-02-14,WO,A,WO02/12022,wo_grant
11088899,2018-12-27,WO,A,WO2018/236005,wo_grant
6895616,2002-02-07,WO,A,WO0209634,wo_grant
10774601,2018-01-25,WO,A,WO2018/016964,wo_grant
6190074,2000-01-27,WO,A,WO00/03617,wo_grant
9960627,2013-06-27,WO,A,WO2013/094464,wo_grant
10228171,2015-06-25,WO,A,WO2015/093126,wo_grant
9855712,2014-12-31,WO,A,WO2014/207443,wo_grant
8595713,2005-06-21,WO,00,PCT/SE2005/000965,pct_application
8689459,2008-06-12,WO,A,WO2008/069639,wo_grant
9205729,2012-12-20,WO,A,WO2012/173191,wo_grant
9918181,2013-06-26,WO,00,PCT/KR2013/005638,pct_application
10123211,2013-12-11,WO,00,PCT/US2013/074455,pct_application
7243827,2002-05-02,WO,00,PCT/DE02/01590,pct_application
8531074,2007-10-10,WO,00,PCT/EP2007/060767,pct_application
6266005,1999-01-13,WO,00,PCT/DE99/00038,pct_application
8841977,2009-06-17,WO,00,PCT/KR2009/003241,pct_application
5958251,1996-02-29,WO,A,WO96/06045,wo_grant
11439734,2015-03-26,WO,00,PCT/EP2015/056575,pct_application
8252951,2009-04-30,WO,A,WO2009/053545,wo_grant
9534459,2013-06-06,WO,A,WO2013/082386,wo_grant
10336209,2015-01-02,WO,00,PCT/EP2015/050008,pct_application
7977475,2006-10-05,WO,00,PCT/IB2006/053651,pct_application
7863983,2004-05-19,WO,00,PCT/US2004/015856,pct_application
9803233,2014-06-12,WO,A,WO2014/087410,wo_grant
10774043,2017-11-09,WO,A,WO2017/191657,wo_grant
10253907,2017-08-24,WO,A,WO2017/143019,wo_grant
8289959,2007-09-27,WO,A,WO2007/107432,wo_grant
9815779,2014-11-27,WO,00,PCT/JP2014/081354,pct_application
9116307,2011-10-03,WO,00,PCT/JP2011/072741,pct_application
8539861,2011-02-24,WO,00,PCT/JP2011/054823,pct_application
7420311,2004-05-14,WO,00,PCT/DE2004/001007,pct_application
7838567,2003-08-14,WO,A,WO03/066716,wo_grant
8532884,2009-03-11,WO,00,PCT/JP2009/001089,pct_application
10319305,2016-02-03,WO,00,PCT/JP2016/053154,pct_application
4550538,1982-07-29,WO,00,PCT/AU82/00119,pct_application
5597597,1994-04-27,WO,00,PCT/GB94/00898,pct_application
7495819,2004-07-01,WO,A,WO2004/055586,wo_grant
10990262,2017-04-13,WO,00,PCT/JP2017/015136,pct_application
7432280,2005-01-06,WO,A,WO2005/000305,wo_grant
7432726,2004-04-13,WO,00,PCT/JP2004/005269,pct_application
9604306,2013-04-25,WO,00,PCT/JP2013/062191,pct_application
11085099,2017-02-15,WO,00,PCT/JP2017/005466,pct_application
7665360,2006-04-20,WO,A,WO2006/040931,wo_grant
11044524,2016-12-16,WO,00,PCT/IB2016/057742,pct_application
10696762,2016-02-25,WO,A,WO2016/026878,wo_grant
8431616,2005-11-14,WO,00,PCT/RU2005/000563,pct_application
8481750,2010-12-09,WO,A,WO2010/141330,wo_grant
11350580,2018-01-25,WO,A,WO2018/014055,wo_grant
9334602,2010-04-15,WO,A,WO2010/040674,wo_grant
10165990,2014-12-26,WO,00,PCT/KR2014/012903,pct_application
10808085,2018-01-04,WO,A,WO2018/003513,wo_grant
