patent_id,sequence,disamb_assignee_id_20181127,disamb_assignee_id_20190312,disamb_assignee_id_20190820,disamb_assignee_id_20191008,disamb_assignee_id_20191231,disamb_assignee_id_20200331,disamb_assignee_id_20200630,disamb_assignee_id_20200929,disamb_assignee_id_20201229,disamb_assignee_id_20210330,disamb_assignee_id_20210629,disamb_assignee_id_20210930,disamb_assignee_id_20211230,disamb_assignee_id_20220630,disamb_assignee_id_20220929
11196010,0,,,,,,,,,,,,,b4abd5fc-9cda-48db-b390-2eed37084a63,64638c92-c147-4fbd-9d63-4201e3f23291,111f9802-a112-4541-b80d-2e5a65f04f21
9985754,0,org_vhtWu21o8nVXJPQm82Rg,org_GlCCGnqN8vMZjKjrw0Tq,org_GJGwVjr8dDVpQVeOLjSd,org_JsCdsOxaICVKfa1YTfx3,org_aHCvJ4FiBF8YhP9MeUBV,org_BbAIACMTXltVdP4MCvvJ,org_rlvcWNKGX5o5RI8CkNoO,org_2Y1NeGvFOzUaI4vdkSbB,5718551a-fe57-489d-a94a-9286974683c0,48d6def0-ac34-4da9-8a70-252705e51d86,f6db2935-f67b-4c95-b2c2-829308fe8ae7,f198f462-d85f-4933-8926-65918beaf0ee,4a7adfa5-124c-4f30-96cd-913f300cc381,3ed3f7df-9762-49db-bcf1-603af59d5386,fb456a9d-df2a-4d2d-9144-7a4e4249f2f3
7780587,0,org_56HC4rvRKqCLJOpMB440,org_lYBre74sAtjNzAWYcl5F,org_qCgiUDSRTASY3ZuVkUvN,org_qAFmVnnXaktl1tOnCYDh,org_hFQyeJPxJIqzKCg22rmN,org_dAldnQcnf6WFOldMYB07,org_elfmkMoF2KXA3Er4n54O,org_TKylKIDLMrGTbC1DCPU2,5dae98e2-7bfb-45e9-b241-978b1c11f216,8f817fc5-e6b9-4d28-b7b2-c441fc763c64,8fffd50c-e550-42ac-b7bb-8cfb522049dc,42227efd-1d8c-4901-a28f-5e4c7e6648e1,f5b4eb76-1098-4cea-a27f-0444b5948c06,73962ac2-7f03-4369-89ae-0d21b835aaa1,c20f2016-c6e2-4923-b0af-e7adabaabaf5
8749780,0,org_VurotdCp59JZwmGzQ9Li,org_A67Jsu7BHbhyxn0yVzkC,org_W7v850HLy2ZVtiXjjAjn,org_V6KqN41ygd6ldIkEu2B8,org_sj0eElEkZwDOAf0XfIvZ,org_k9o9Vn4mhWBwICQkYjWg,org_3gquU6aCt8cD4lQ9agGf,org_o9UPHqD5n8K4VP6umKBa,51548bf8-eea6-4f03-81e3-086377a1297a,3a717e4f-75a4-46bf-84b7-b8fea9b25b93,533dab5b-cb5f-49c8-9530-a3b43bc87e79,0b417454-a2d4-4fce-b388-aaca654b4d08,2b794406-7f38-4f20-97ff-00123ec096c4,0922032d-7c25-478a-a4b0-3626f820e74d,2bc4438d-0cea-4ca2-804b-67ee99d7b166
5987574,1,org_XjIlDdoYYgJGUMgEOPe2,org_RJvnnMVF7yU5UMe0SwAN,org_5kpVKGjirvbYl2f7DCsu,org_bjjMpz8jmP43oeCb4YxD,org_Q6pPqhJsfXdeg1bVEtVe,org_wlnmaeHSmtZqoDkPsGSk,org_1YIQzOwrLWs6LeTY3aOa,org_kJNdmpp2LEmFUWw9WoAz,0c24d1af-71ad-4f4c-a570-b746ce6898cb,b7509d93-f138-4271-b5d3-4131722f138a,2cf4dbef-9b66-43c1-a377-f075bcc23bee,ab65aefa-fa12-4257-9490-3223086ae5fc,89e5d47d-a6c8-4dbc-b190-2a0bb9fb5970,20d12005-8c90-42fb-af30-e1e8852cd06f,02fc5693-291f-401a-8c34-36b5f48363c1
5121154,0,org_EQU5Ip3szqE4ULUw3Y9J,org_owQDbN0Z0sCSnclqsaKu,org_jt1qpXSUcW96qWyJCK9H,org_slBEFEniwjSnR1PaIdC3,org_Z65023nddiFEEeB004kg,org_f70b3lhfuryf0Tun8mnx,org_uwBUqJFHxAkb6s3utyVE,org_Bi4qXSiRGRFYPU1gFUjk,bc7fcbb7-d3ca-444a-9347-72c560fcec8f,b922c22b-507f-47c9-9b59-24cc60a0f64f,c7e9a08c-c274-452b-8057-c4408a62a96b,e0cbf464-2caf-4894-b215-f1f1058e26e7,efb416c1-8161-4b05-a0bf-ffd2bb4f3b58,06dc2b21-a4b1-4f09-b992-44ea7a7cdbd5,05793980-dde8-432d-8ecd-84fa34127740
D721332,0,org_5XavQh6VNtz4xqmtJDIN,org_aewbezY30b7yS7ZAQmVN,org_IJ44n4vYVOQuz4LZ2iu3,org_Q7PliNHS9gICkufVLX4K,org_VibABzzUZe361klN8I6q,org_7o5K8jXfKm3PgDw3CAwN,org_VDLUqHbcSPmKlc9PWohl,org_EcTsNNz3O05TbFHy6d56,04bf80a1-0f30-448d-875e-2ebebd96f1ce,519b6555-9748-4973-bcb1-7fa95eaae094,e4b978d1-9ed4-4d48-a23b-40436ad7fd9c,1198db35-e1fe-43f3-aab3-0f507703eda6,cae6e837-8983-4d24-b0fc-209b85d3b6a1,b42ec12f-0d90-4375-a0db-d03cc539820c,21f5752c-7036-48a4-bc24-d7d7bbba9d71
4875971,0,org_aM8cI8xiCrCkUpfNkVss,org_XXlRyYMNnjU73tdVj81Y,org_9IqzfvJOHqn9tdKgXTg2,org_UCZpZYcRk9ZpQ9C5Xdzy,org_fXyH5NWt20Q3J1TCQFW2,org_TTTBUSzYCNNiKyEq7BJx,org_VM48hqLeBrShEF5JCPyF,org_XIPswNbmquOLw2nzmOMK,4d522531-5ed0-40a8-8922-f685f09232ec,d68ef7d2-f621-45bd-9cf0-c020577c9934,f15a285c-7840-4012-b501-e235a4d8b684,f41398e5-a538-426f-a173-9a89743767ea,d7d3c125-3eb5-46c3-9e3a-98ba83fc6e24,6a99aec2-dc05-47ec-a204-180f03bdea02,7635fbbf-2a8d-4823-b717-89bea88410c3
D423808,0,org_eEr73b2Pa6tnTDUwcAi0,org_lGQE5Sojlx4E5XM2Kf71,org_Yp5NYfCJ3EeugL22FVZF,org_xXXYHoaTTCJMhX7ymFfL,org_NOZbHiBsmHG9xcHXZRkc,org_uHKRM5mNi0zk1Uw4a9M2,org_ircGKPoeFXID9KcvQlpf,org_piC9xPZRmumzf6ZgbAu9,37e6f062-e323-42ad-a1bc-dae7fdf6743d,e6d29e2f-c342-44d2-8fb3-ae98c79e61ba,c4e38bab-6fc5-4213-b4f3-381b99f3f89a,ca5dde5e-b6b3-42bf-a9d2-4351026735fa,ef71528c-10e4-40d5-8256-8d70d69b19bf,e98279c6-b650-4bcb-80e7-cbb59f75edbc,dbeef63c-4fba-400b-a986-4165be5edea4
8153283,0,org_dxg2dOh26wLRlsRs79Nj,org_VHHTtfFNo0BU29LqK8lC,org_J6CcVWswbmXQjQDuRGQ3,org_ZJbVq8gbhwMxiMA0bDwF,org_4TMvtPJXmS2b4gOBXWQg,org_ndXyO3Ii2PhF04A8mW2z,org_QPIrYcrlgWI6VAOTLe9f,org_7ef5hyujYsfMvHoIgbF3,c7213c15-0fe4-44dd-95e7-71ae3279b419,40a9941d-f601-4153-8c63-fc5e722266d6,8f6dddb7-c54c-444c-962b-ebe0ce77b228,12118002-d6ad-4230-9d0c-8e29f7c00c06,019462a4-9b5b-4882-8efd-69072a06430d,4d1fddb3-60aa-4b78-9f89-d7189f93bd26,1208d2cb-3829-463e-a21b-960e00a7db14
