patent_id,sequence,disamb_inventor_id_20170808,disamb_inventor_id_20171003,disamb_inventor_id_20171226,disamb_inventor_id_20180528,disamb_inventor_id_20181127,disamb_inventor_id_20190312,disamb_inventor_id_20190820,disamb_inventor_id_20191008,disamb_inventor_id_20191231,disamb_inventor_id_20200331,disamb_inventor_id_20200630,disamb_inventor_id_20200929,disamb_inventor_id_20201229,disamb_inventor_id_20211230,disamb_inventor_id_20220630,disamb_inventor_id_20220929
D872272,1,,,,,,,,,,D454732-2,D454732-2,D454732-2,fl:a_ln:ponholzer-1,fl:an_ln:ponholzer-1,fl:an_ln:ponholzer-1,fl:an_ln:ponholzer-1
8454634,6,6837848-4,6837848-4,6837848-4,6837848-4,10112045-6,6837848-4,6837848-4,6837848-4,6837848-4,6837848-4,6837848-4,6837848-4,fl:r_ln:usher-2,fl:ra_ln:usher-1,fl:ra_ln:usher-1,fl:ra_ln:usher-1
9209147,3,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,fl:z_ln:poh-1,fl:zi_ln:poh-1,fl:zi_ln:poh-1,fl:zi_ln:poh-1
7975207,3,5045714-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,fl:h_ln:park-383,fl:hy_ln:park-260,fl:hy_ln:park-153,fl:hy_ln:park-216
D630803,1,8074969-2,8074969-2,8074969-2,8074969-2,8074969-2,D538484-1,D538484-1,D538484-1,D538484-1,D538484-1,D538484-1,D538484-1,fl:k_ln:xin-1,fl:ke_ln:xin-1,fl:ke_ln:xin-1,fl:ke_ln:xin-1
5374711,1,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,5237055-2,fl:h_ln:yamashita-1,fl:ha_ln:yamashita-11,fl:ha_ln:yamashita-11,fl:ha_ln:yamashita-11
D323874,1,7293661-1,7293661-1,7293661-1,7293661-1,7293661-1,D323874-2,D323874-2,D323874-2,D323874-2,D323874-2,D323874-2,D323874-2,fl:b_ln:saaski-1,fl:br_ln:saaski-1,fl:br_ln:saaski-1,fl:br_ln:saaski-1
D783668,1,D711427-3,D711427-3,D711427-3,9979890-5,10073584-10,D711427-3,D711427-3,D711427-3,D711427-3,D711427-3,D711427-3,D753678-2,fl:p_ln:lopez-14,fl:pa_ln:lopez-10,fl:pa_ln:lopez-9,fl:pa_ln:lopez-9
7462686,3,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,fl:u_ln:goransson-1,fl:ul_ln:goransson-1,fl:ul_ln:goransson-1,fl:ul_ln:goransson-1
9217190,0,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9217190-1,fl:j_ln:butler-65,fl:jo_ln:butler-14,fl:jo_ln:butler-17,fl:jo_ln:butler-17
7933050,0,6883046-2,6883046-2,6883046-2,6883046-2,10051138-1,6883046-2,6883046-2,6883046-2,6883046-2,6883046-2,6883046-2,6883046-2,fl:c_ln:liao-229,fl:ch_ln:liao-300,fl:ch_ln:liao-264,fl:ch_ln:liao-260
8703369,0,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,fl:n_ln:spaziani-1,fl:ni_ln:spaziani-1,fl:ni_ln:spaziani-1,fl:ni_ln:spaziani-1
6904255,3,4491851-1,4491851-1,5867758-3,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,fl:t_ln:mizuno-87,fl:ts_ln:mizuno-4,fl:ts_ln:mizuno-3,fl:ts_ln:mizuno-3
D510962,0,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,fl:t_ln:nakase-5,fl:ta_ln:nakase-3,fl:ta_ln:nakase-3,fl:ta_ln:nakase-3
10251144,2,,,,,,,10251144-3,10251144-3,10251144-3,10251144-3,10251144-3,10251144-3,fl:j_ln:collier-4,fl:ja_ln:collier-2,fl:ja_ln:collier-3,fl:ja_ln:collier-3
