patent_id,rel_app_text
10652863,"This is a continuation of application Ser. No. 15/673,263, filed Aug. 9, 2017 (Now U.S. Pat. No. 10,104,644), which is a continuation of application Ser. No. 15/356,359, filed Nov. 18, 2016 (Now U.S. Pat. No. 9,763,250), which is a continuation of application Ser. No. 14/668,747, filed Mar. 25, 2015 (Now U.S. Pat. No. 9,629,126), which is a continuation of application Ser. No. 13/750,681, filed Jan. 25, 2013 (Now U.S. Pat. No. 9,019,920), which is a continuation of application Ser. No. 13/357,430 filed Jan. 24, 2012 (Now U.S. Pat. No. 8,385,287), which is a continuation of application Ser. No. 13/081,727 filed Apr. 7, 2011 (Now U.S. Pat. No. 8,249,013), which is a continuation of application Ser. No. 12/298,707 filed Oct. 27, 2008 (Now U.S. Pat. No. 8,077,667), which is a national stage of PCT/JP2007/059089 filed Apr. 26, 2007, which is based on Japanese Application No. 2006-126454 filed Apr. 28, 2006, the entire contents of each which are incorporated by reference herein."
10434545,"This application claims priority to PCT Patent Application No. PCT/US15/011597 filed Jan. 15, 2015 which claims priority to U.S. Patent Application No. 61/928,825 filed Jan. 17, 2014, which are hereby incorporated herein by reference in their entireties."
7421815,"This invention is a continuation in part of U.S. patent application Ser. No. 11/485,762 filed Jul. 13, 2006, which is a Continuation-In-Part of U.S. patent application Ser. No. 10/725,082 filed Dec. 2, 2003, now U.S. Pat. No. 7,111,424, and is a Continuation-In-Part of U.S. Design patent application Ser. No. 29/267,729 filed Oct. 20, 2006 now U.S. Pat. No. D,566,220 which is a divisional of U.S. Design patent application 29/259,347 filed May 5, 2006 U.S. Pat. No. D,566,219."
8313296,"CROSS REFERENCE This application is a Continuation of U.S. patent application Ser. No. 12/286,461 filed on Sep. 30, 2008 now U.S. Pat. No. 7,942,633, which is a Continuation of U.S. patent application Ser. No. 11/215,388 filed on Aug. 30, 2005 now U.S. Pat. No. 7,448,854, which claims the benefit of U.S. Provisional Patent Application Ser. No. 60/605,470 filed on Aug. 30, 2004, the benefit of which are claimed and are hereby incorporated by reference."
10836959,"This is the U.S. National Phase application of PCT/JP2016/065213, filed May 23, 2016, which claims priority to Japanese Patent Application No. 2015-106156, filed May 26, 2015; Japanese Patent Application No. 2015-142696, filed Jul. 17, 2015; Japanese Patent Application No. 2015-142697, filed Jul. 17, 2015; Japanese Patent Application No. 2015-190907, filed Sep. 29, 2015; Japanese Patent Application No. 2015-193004, filed Sep. 30, 2015; Japanese Patent Application No. 2015-200792, filed Oct. 9, 2015; Japanese Patent Application No. 2015-230447, filed Nov. 26, 2015; and Japanese Patent Application No. 2015-230448, filed Nov. 26, 2015; the disclosures of these applications being incorporated herein by reference in their entireties for all purposes."
7029457,"CROSS REFERENCE TO RELATED APPLICATIONS Pursuant to 35 U.S.C. §§ 119(e) and 120, this application (1) is a continuation-in-part of U.S. application Ser. No. 09/717,548, filed Nov. 21, 2000, now U.S. Pat. No. 6,770,054 which claims priority to prior Russian Application No. 99124267, filed Nov. 23, 1999; (2) claims priority to prior U.S. provisional application No. 60/329,082, filed Oct. 12, 2001; (3) claims priority to prior U.S. provisional application No. 60/361,198, filed Mar. 1, 2002; and (4) claims priority to prior U.S. provisional application No. 60/386,457, filed Jun. 4, 2002, the disclosures of which are incorporated herein by reference."
8086566,"CROSS-REFERENCE TO RELATED APPLICATION This application is a continuation of U.S. patent application Ser. No. 11/936,594, filed Nov. 7, 2007, now U.S. Pat. No. 7,483,922, the disclosure of which is incorporated by reference herein in its entirety."
9716074,"This application is a divisional of U.S. Ser. No. 12/832,019, filed Jul. 7, 2010 which claims the benefit of U.S. Provisional Application No. 61/244,773 filed on Sep. 22, 2009, entitled “Wafer Backside Interconnect Structure Connected to TSVs,” which applications are hereby incorporated herein by reference."
6804679,"This application claims priority from U.S. Provisional Patent Application No. 60/274,988, titled System, Method, and User Interfaces for Managing Genomic Data, filed on Mar. 12, 2001, which is hereby incorporated herein by reference in its entirety for all purposes."
9011938,"CROSS REFERENCE TO RELATED APPLICATIONS This application claims priority to U.S. Provisional Patent Application No. 61/102,110, filed on Oct. 2, 2008, which is incorporated by reference herein in its entirety. This application also claims priority to and is a divisional application of U.S. patent application Ser. No. 12/572,732 filed Oct. 2, 2009."
9066092,"CROSS-REFERENCE TO RELATED APPLICATIONS This application claims the benefit of U.S. Provisional Patent Application No. 61/291,818, filed on Dec. 31, 2009, and U.S. Provisional Patent Application No. 61/303,119, filed on Feb. 10, 2010. The entirety of each of these applications is incorporated by reference herein. This application is also related to the following U.S. Patent Applications, each of which also claims the benefit of U.S. Provisional Patent Application Nos. 61/291,818 and 61/303,119 and each of which is incorporated by reference herein: U.S. patent application Ser. No. 12/774,225, filed on May 5, 2010 and entitled “Controlling a Pixel Array to Support an Adaptable Light Manipulator”; U.S. patent application Ser. No. 12/774,307, filed on May 5, 2010 and entitled “Display with Elastic Light Manipulator”; U.S. patent application Ser. No. 12/845,409, filed on Jul. 28, 2010, and entitled “Display with Adaptable Parallax Barrier”; U.S. patent application Ser. No. 12/845,440, filed on Jul. 28, 2010, and entitled “Adaptable Parallax Barrier Supporting Mixed 2D and Stereoscopic 3D Display Regions”; U.S. patent application Ser. No. 12/845,461, filed on Jul. 28, 2010, and entitled “Display Supporting Multiple Simultaneous 3D Views”; U.S. patent application Ser. No. 12/982,020, filed on even date herewith and entitled “Backlighting Array Supporting Adaptable Parallax Barrier”; U.S. patent application Ser. No. 12/982,031, filed on even date herewith and entitled “Coordinated Driving of Adaptable Light Manipulator, Backlighting and Pixel Array in Support of Adaptable 2D and 3D Displays”; U.S. patent application Ser. No. 12/982,062, filed on even date herewith and entitled “Set-top Box Circuitry that Supports Selective Delivery of 2D and 3D Content to Support a Viewing Environment”; U.S. patent application Ser. No. 12/982,069, filed on even date herewith and entitled “Three-Dimensional Display System With Adaptation Based on Viewing Reference of Viewer(s)”; and U.S. patent application Ser. No. 12/982,078, filed on even date herewith and entitled “Multiple Remote Controllers that Each Simultaneously Controls a Different Visual Presentation of a 2D/3D Display.”"
6631279,"This application is a continuation-in-part of U.S. patent application Ser. No. 09/708,141, filed Nov. 7, 2000, entitled xe2x80x9cCELL PHONE SPEAKER AND MICROPHONE ASSEMBLY.xe2x80x9d This application also claims the benefit of U.S. Provisional Patent Application Ser. No. 60/202,325, filed May 5, 2000."
7406105,"This application claims the benefit of U.S. Provisional Application No. 60/550,248, filed Mar. 3, 2004."
6050403,There are no applications related to this application filed in this or any foreign country. 
8729687,"CROSS-REFERENCE TO RELATED APPLICATIONS The present application contains subject matter related to a concurrently filed U.S. patent application Ser. No. 11/608,827, now U.S. Pat. No. 7,772,683. The related application is assigned to STATS ChipPAC Ltd. The present application also contains subject matter related to a concurrently filed U.S. patent application Ser. No. 11/608,829, now U.S. Pat. No. 7,635,913. The related application is assigned to STATS ChipPAC Ltd. This is a continuation of allowed U.S. patent application Ser. No. 11/608,826, now U.S. Pat. No. 8,304,874, filed Dec. 9, 2006, and the subject matter thereof is hereby incorporated herein by reference thereto."
