patent_id,citation_sequence,citation_document_number,citation_date,record_name,wipo_kind,citation_category
9573835,15,2011/0233562,2011-09-01,Harada et al.,A1,cited by applicant
9003386,1,2006/0015641,2006-01-01,Ocko et al.,A1,cited by examiner
10350390,170,2011/0200171,2011-08-01,Betteletal,A1,cited by applicant
11437600,9,2012/0287026,2012-11-01,Masuda,A1,cited by applicant
10668610,9,2018/0085907,2018-03-01,Wilson,A1,cited by examiner
D865355,1,2009/0201671,2009-08-01,Huntley,A1,cited by examiner
10547520,42,2010/0125473,2010-05-01,Tung et al.,A1,cited by applicant
10184359,6,2012/0023946,2012-02-01,Ernst,A1,cited by examiner
9901832,5,2013/0130587,2013-05-01,Cohen et al.,A1,cited by examiner
10898083,7,2002/0156654,2002-10-01,Roe et al.,A1,cited by applicant
11044508,65,2012/0271942,2012-10-01,Walker et al.,A1,cited by applicant
11195537,41,2015/0223002,2015-08-01,Mehta et al.,A1,cited by applicant
8245936,3,2008/0277480,2008-11-01,Thuries,A1,cited by other
8290237,237,2006/0118613,2006-06-01,McMann,A1,cited by other
9289253,122,2010/0160919,2010-06-01,"Axelson, Jr. et al.",A1,cited by applicant
8821326,3,2012/0244975,2012-09-01,Kurematsu,A1,cited by applicant
D937396,4,2021/0040719,2021-02-01,Gupta,A1,cited by examiner
9979325,2,2011/0299566,2011-12-01,Ueda,A1,cited by examiner
9885300,0,2008/0147299,2008-06-01,Haraguchi,A1,cited by examiner
10655727,1,2010/0218635,2010-09-01,Matsumoto,A1,cited by examiner
10791176,1574,2009/0306967,2009-12-01,Nicolov et al.,A1,cited by applicant
11281876,107,2011/0125327,2011-05-01,Sankai,A1,cited by applicant
8188026,5,2004/0092425,2004-05-01,Boutique et al.,A1,cited by other
10211681,263,2010/0181961,2010-07-01,Novak et al.,A1,cited by applicant
10321457,2,2010/0027490,2010-02-01,Mazet et al.,A1,cited by applicant
8999341,9,2007/0055056,2007-03-01,Rosen et al.,A1,cited by applicant
8021934,0,2006/0038229,2006-02-01,Tsuchiya et al.,A1,cited by other
8971039,14,2004/0104268,2004-06-01,Bailey,A1,cited by applicant
11045739,8,2017/0304738,2017-10-01,Johanson,A1,cited by examiner
9925055,27,2009/0105809,2009-04-01,Lee et al.,A1,cited by applicant
11048611,0,2002/0120599,2002-08-01,Knouse,A1,cited by examiner
9539208,212,2011/0008266,2011-01-01,Tamarkin et al.,A1,cited by applicant
8290820,12,2008/0161018,2008-07-01,Miller et al.,A1,cited by other
10448079,22,2004/0117440,2004-06-01,Singer et al.,A1,cited by applicant
10257691,0,2002/0197991,2002-12-01,Anvekar et al.,A1,cited by applicant
10265857,15,2017/0128311,2017-05-01,Lee,A1,cited by examiner
8204664,86,2007/0284162,2007-12-01,Zettel,A1,cited by other
9172038,0,2003/0081446,2003-05-01,Fricke et al.,A1,cited by applicant
10367318,5,2018/0010778,2018-01-01,Zhao,A1,cited by examiner
10678500,79,2013/0347018,2013-12-01,Limp et al.,A1,cited by applicant
10713060,8,2013/0276128,2013-10-01,Konetski et al.,A1,cited by applicant
10923650,19,2014/0197505,2014-07-01,Zhou et al.,A1,cited by applicant
11094546,2084,2015/0287626,2015-10-01,Arai,A1,cited by applicant
6982261,5,2003/0225109,2003-12-01,Fensome et al.,A1,cited by other
11417188,3,2014/0371599,2014-12-01,Wu,A1,cited by examiner
D929907,4,2018/0086407,2018-03-01,Kaji,A1,cited by examiner
8680510,10,2008/0088899,2008-04-01,Kamins et al.,A1,cited by examiner
9383956,93,2002/0077980,2002-06-01,Chang et al.,A1,cited by applicant
10080575,84,2008/0275493,2008-11-01,Farmiga,A1,cited by applicant
9837479,13,2014/0042396,2014-02-01,Yang et al.,A1,cited by examiner
11122860,21,2018/0368519,2018-12-01,Lilley,A1,cited by examiner
D639718,0,2010/0116858,2010-05-01,Foley,A1,cited by examiner
9123118,131,2011/0242342,2011-10-01,Goma et al.,A1,cited by applicant
8556884,9,2010/0130923,2010-05-01,Cleary et al.,A1,cited by examiner
10649113,67,2015/0352888,2015-12-01,Schmid et al.,A1,cited by applicant
9454858,78,2011/0137649,2011-06-01,Rasmussen et al.,A1,cited by applicant
10053899,4,2006/0096178,2006-05-01,Braid,A1,cited by examiner
10791971,161,2018/0103905,2018-04-01,Kiani,A1,cited by applicant
10551290,0,2003/0077299,2003-04-01,Iwai,A1,cited by examiner
10634748,6,2017/0234951,2017-08-01,Zhao,A1,cited by examiner
7092221,0,2004/0061979,2004-04-01,Ho et al.,A1,cited by examiner
8990307,49,2003/0135565,2003-07-01,Estrada,A1,cited by applicant
11082770,178,2004/0195313,2004-10-01,Lee,A1,cited by applicant
8782031,2,2009/0327913,2009-12-01,Adar et al.,A1,cited by examiner
9044225,97,2011/0093010,2011-04-01,Genova et al.,A1,cited by applicant
9337434,7,2013/0194761,2013-08-01,Kim,A1,cited by applicant
10243948,0,2002/0042815,2002-04-01,Salzfass et al.,A1,cited by applicant
10822306,32,2013/0267505,2013-10-01,Perry et al.,A1,cited by applicant
10515310,64,2013/0099925,2013-04-01,Pederson,A1,cited by applicant
9430987,10,2012/0268437,2012-10-01,Lee,A1,cited by examiner
11007872,21,2018/0112772,2018-04-01,Maitre,A1,cited by examiner
8447670,184,2002/0194098,2002-12-01,Stiff et al.,A1,cited by applicant
10328808,10,2012/0091944,2012-04-01,Rogers,A1,cited by applicant
7331973,199,2003/0100917,2003-05-01,Boyle et al.,A1,cited by other
10755153,0,2012/0256007,2012-10-01,Cok,A1,cited by examiner
D633855,2,2008/0093404,2008-04-01,Clausen et al.,A1,cited by examiner
11102038,395,2010/0049069,2010-02-01,Tarassenko et al.,A1,cited by applicant
10901035,10,2017/0059645,2017-03-01,Pan,A1,cited by examiner
9824530,26,2008/0194311,2008-08-01,Cage et al.,A1,cited by applicant
9219796,2,2010/0082247,2010-04-01,Klein et al.,A1,cited by applicant
10039534,24,2009/0248134,2009-10-01,Dierking,A1,cited by examiner
8647562,16,2002/0096306,2002-07-01,Butcher et al.,A1,cited by examiner
10691473,852,2007/0100206,2007-05-01,Lin et al.,A1,cited by applicant
9586909,30,2008/0286604,2008-11-01,Inoue et al.,A1,cited by applicant
9586270,5,2002/0121023,2002-09-01,Kocher et al.,A1,cited by applicant
