patent_id,related_doc_number,published_country,related_doc_type,related_doc_kind,related_doc_published_date,related_doc_sequence
10729567,20180161182,US,related-publication,,2018-06-14,15
10890482,20200232846,US,related-publication,,2020-07-23,0
7430265,PCT/DE03/02118,US,continuation,parent-doc,2003-06-25,0
10875392,20200340744,US,related-publication,,2020-10-29,0
D947878,D916742,US,division,parent-grant-document,,1
11000823,13843818,US,continuation-in-part,child-doc,,1
8154908,13024926,US,continuation,child-doc,,2
7796594,60889809,US,us-provisional-application,,2007-02-14,0
11263599,20210233040,US,related-publication,,2021-07-29,4
10134749,20170309634,US,related-publication,,2017-10-26,0
9971116,20180059351,US,related-publication,,2018-03-01,1
9973563,13567182,US,continuation,parent-doc,2012-08-06,0
10892421,13988756,US,continuation,parent-doc,,0
10107699,15419152,US,continuation,child-doc,,2
8770821,20100053959,US,related-publication,,2010-03-04,0
7042705,20040149477,US,related-publication,,2004-08-05,0
7119772,10065795,US,continuation-in-part,child-doc,,5
11092795,15620674,US,continuation-in-part,parent-doc,2017-06-12,0
11389939,20210260742,US,related-publication,,2021-08-26,0
7354444,20040092979,US,related-publication,,2004-05-13,4
7648100,10342347,US,continuation-in-part,child-doc,,5
10616215,9323914,US,continuation,parent-grant-document,2016-04-26,10
10518956,20180346227,US,related-publication,,2018-12-06,0
7404506,60500713,US,us-provisional-application,,2003-09-05,0
8090090,6456709,US,continuation,parent-grant-document,,6
8163904,60716213,US,us-provisional-application,,2005-09-15,1
7065044,09520247,US,continuation,parent-doc,2000-03-07,0
11131626,62535505,US,us-provisional-application,,2017-07-21,6
11447566,62613564,US,us-provisional-application,,2018-01-04,7
7406149,10845114,US,division,parent-doc,2004-05-14,0
8640947,11975375,US,continuation-in-part,parent-doc,2007-10-19,6
6506729,08260675,US,continuation-in-part,parent-doc,1994-06-16,8
8540426,61296618,US,us-provisional-application,,2010-01-20,0
7641391,20070140435,US,related-publication,,2007-06-21,0
7281747,11216082,US,continuation-in-part,parent-doc,2005-09-01,3
8466896,12910684,US,continuation,parent-doc,2010-10-22,0
8747250,8444504,US,continuation,parent-grant-document,,1
7864344,10724113,US,continuation,parent-doc,2003-12-01,6
8045783,20080112606,US,related-publication,,2008-05-15,0
9696322,PCT/US2014/011830,WO,continuation,parent-pct-document,2014-01-16,2
9868626,62150390,US,us-provisional-application,,2015-04-21,1
7708079,11411384,US,division,child-doc,,8
10939904,10603027,US,continuation-in-part,parent-grant-document,,1
9927436,20180038855,US,related-publication,,2018-02-08,4
8374361,61084265,US,us-provisional-application,,2008-07-29,0
8414963,12729634,US,continuation,child-doc,,2
8323334,10635776,US,continuation,child-doc,,7
7471709,20060255238,US,related-publication,,2006-11-16,0
10338791,61542478,US,us-provisional-application,,2011-10-03,3
9344253,12594195,US,continuation,parent-doc,,21
10650852,16290758,US,continuation,child-doc,,2
10163740,15280618,US,continuation,child-doc,,4
11001899,10947600,US,continuation,parent-grant-document,,1
7729369,09129444,US,continuation,parent-doc,1998-07-30,6
6947136,09490478,US,continuation-in-part,parent-doc,2000-01-24,6
7842949,11971561,US,continuation,child-doc,,7
10777652,20200235220,US,related-publication,,2020-07-23,0
10269018,14597072,US,continuation,parent-doc,2015-01-14,3
7421420,20040230579,US,related-publication,,2004-11-18,0
11425613,20210153082,US,related-publication,,2021-05-20,1
10443210,9816250,US,continuation,parent-grant-document,2017-11-14,1
9125496,61358699,US,us-provisional-application,,2010-06-25,3
9733451,PCT/JP2015/000834,US,continuation,parent-doc,2015-02-23,0
7073524,20050145282,US,related-publication,,2005-07-07,0
7347242,20070074801,US,related-publication,,2007-04-05,0
7838277,PCT/US02/19735,WO,division,parent-pct-document,2002-06-20,2
7413781,08783387,US,continuation,parent-doc,1997-01-13,5
8331862,60691718,US,us-provisional-application,,2005-06-17,43
6993906,6427443,US,continuation,parent-grant-document,,3
6628205,20030030926,US,related-publication,,2003-02-13,3
9202084,11223826,US,continuation-in-part,parent-doc,,349
8414750,09668221,US,continuation,child-doc,,18
8879665,61494842,US,us-provisional-application,,2011-06-08,0
11382363,20190328051,US,related-publication,,2019-10-31,2
9886578,13369225,US,continuation,parent-doc,2012-02-08,0
11188738,20200005015,US,related-publication,,2020-01-02,1
10304157,14924871,US,continuation,parent-doc,2015-10-28,0
6658268,09369812,,continuation-in-part,child-doc,,2
10837013,20150038554,US,related-publication,,2015-02-05,26
9344740,8855205,US,continuation,parent-grant-document,2014-10-07,3
8486745,11267788,US,division,parent-doc,2005-11-03,0
11215457,20190234741,US,related-publication,,2019-08-01,3
10603301,62095020,US,us-provisional-application,,2014-12-21,2
11048624,15620814,US,continuation-in-part,parent-doc,2017-06-12,0
7846891,20050287186,US,related-publication,,2005-12-29,1
10053473,9908902,US,division,parent-grant-document,,1
10275618,14462003,US,continuation,child-doc,,2
10650130,20190138707,US,related-publication,,2019-05-09,0
10765540,20190269533,US,related-publication,,2019-09-05,9
7413919,60480157,US,us-provisional-application,,2003-06-20,4
9750202,20120138700,US,related-publication,,2012-06-07,4
10927597,16024972,US,continuation,child-doc,,2
6379497,08896239,,continuation-in-part,child-doc,,0
7924315,20070229658,US,related-publication,,2007-10-04,2
8983133,20130272573,US,related-publication,,2013-10-17,3
10893792,16389581,US,continuation,child-doc,,1
8565575,PCT/JP2004/014954,WO,continuation,parent-pct-document,2004-10-08,2
10941296,15915571,US,continuation,child-doc,,2
6699227,09740337,US,division,parent-doc,2000-12-19,1
6354535,09661175,,division,child-doc,,0
7298771,20050018743,US,related-publication,,2005-01-27,2
10516084,20190006564,US,related-publication,,2019-01-03,47
6989779,20020171768,US,related-publication,,2002-11-21,0
10482032,9158706,US,continuation,parent-grant-document,2015-10-13,10
10267506,14169561,US,continuation-in-part,child-doc,,6
11319244,16835878,US,division,child-doc,,5
9686094,20150087278,US,related-publication,,2015-03-26,1
9800428,20140236326,US,related-publication,,2014-08-21,3
7183646,08934330,US,continuation,child-doc,,11
9367793,13923637,US,continuation-in-part,child-doc,,11
9298641,20160019140,US,related-publication,,2016-01-21,21
