patent_id,term_extension
4625261,
9824892,1229.0
10047482,123.0
10606652,115.0
9229715,158.0
D643530,
6964927,299.0
9094621,3116.0
8319579,69.0
D655499,
8540774,186.0
9138298,224.0
6906059,13.0
8759093,1736.0
8244878,615.0
D927924,
9263899,801.0
9145744,279.0
11437337,155.0
11136572,
7797485,199.0
9672984,320.0
9633175,428.0
7110884,194.0
9561217,
11137772,
7227078,598.0
10398107,
7503312,66.0
D903865,
7718978,148.0
9047079,579.0
11212043,98.0
7076165,693.0
D547322,
10412394,
6510349,
D941101,
10356921,11.0
9740081,119.0
11318412,160.0
9410103,
7861540,518.0
7557565,105.0
7403557,660.0
7942764,87.0
10424788,113.0
D396936,
D449130,
10083273,
10736289,
8297729,288.0
9479695,74.0
6917070,13.0
10848445,25.0
7570069,22.0
9307655,152.0
10346290,114.0
7801450,635.0
9099921,581.0
11410574,828.0
9584846,677.0
9945457,295.0
7622265,398.0
D658551,
8807211,778.0
10590413,129.0
10738560,206.0
10457012,699.0
8400152,366.0
D671052,
11356997,19.0
8886543,435.0
6439071,24.0
7960895,231.0
10001230,91.0
11277493,
10611863,
10015043,93.0
7797967,359.0
8436125,9.0
9168685,
8432304,62.0
8599271,
D421452,
D289880,
10156601,43.0
7275202,643.0
7144901,413.0
9452529,94.0
7375151,168.0
7299046,502.0
10719555,401.0
10252082,400.0
D959589,
9019850,301.0
8511567,748.0
8227999,269.0
D617617,
7257182,886.0
D267553,
11021683,
7767220,1867.0
7773167,127.0
11294011,51.0
9599529,487.0
8571965,1064.0
9243222,88.0
8120271,273.0
9447370,638.0
9826452,202.0
9170345,712.0
8020721,1079.0
8345099,353.0
7148126,5.0
7099409,714.0
10496832,228.0
7739251,416.0
8683601,1603.0
PP25198,113.0
7123363,248.0
7928280,4.0
7470362,
9629153,59.0
7738758,10.0
9317627,
D738887,
6786492,115.0
7999303,342.0
D428489,
8677985,
D351831,
D898025,
D929112,
9354891,563.0
9441998,242.0
11136703,236.0
7335583,149.0
10643822,553.0
8117736,463.0
7921300,1077.0
9623490,
10230767,179.0
8432876,848.0
D824564,
7207307,258.0
7759346,890.0
8004038,1075.0
7344995,348.0
8913516,141.0
7888635,410.0
D890429,
10250942,
7815609,45.0
9267215,101.0
11357125,
9412337,370.0
7809561,826.0
9231478,83.0
D259152,
10316799,14.0
7477892,603.0
9648060,196.0
10916035,131.0
10420488,799.0
9215044,
7456847,902.0
9795771,629.0
9270080,771.0
10475907,42.0
7003130,354.0
10001988,156.0
8185986,457.0
9644266,131.0
D767463,
D695282,
8795826,615.0
10667092,161.0
D897179,
11220008,271.0
8098247,218.0
11029656,
D585983,
7924426,294.0
9641741,76.0
6854871,11.0
9289365,279.0
6518368,
11410896,145.0
7528471,214.0
7904147,1002.0
8544817,1209.0
8635490,
D339478,
8889075,1007.0
8841599,442.0
D549606,
8118328,170.0
6959095,791.0
7967991,516.0
8415948,325.0
11369379,114.0
8395638,1125.0
D326782,
8843467,307.0
8687438,278.0
D912823,
10289634,431.0
8432956,
8438528,
D256693,
7877147,844.0
10708227,132.0
8848891,144.0
8523648,1440.0
8784919,43.0
9990896,1044.0
7636142,176.0
6997924,249.0
D308325,
8965452,
8236614,266.0
D527794,
6785663,533.0
11048932,113.0
9617060,
8318284,192.0
8182065,1833.0
8861143,102.0
11397976,123.0
7142249,460.0
7346125,293.0
7595197,978.0
D428403,
8358284,544.0
10042024,663.0
5571461,
7313129,993.0
10243400,224.0
10925265,295.0
9206749,
6642744,35.0
8733268,114.0
8103583,1121.0
9610595,73.0
9155440,197.0
D560274,
9448969,21.0
8218851,735.0
8325577,40.0
D526396,
7356612,994.0
D722803,
10884440,86.0
7129466,221.0
9840599,72.0
9677833,49.0
9337879,409.0
8186934,1128.0
D421202,
4808406,
9048695,486.0
D782626,
11007868,
8167984,479.0
7220126,122.0
11002742,472.0
D262811,
9414809,706.0
6551742,326.0
7623835,
10637298,87.0
9625798,76.0
10278385,658.0
D370812,
D761829,
9269733,45.0
11195194,
7632088,80.0
10763042,33.0
10596621,130.0
D396315,
9191093,435.0
8120554,1052.0
6850079,100.0
7907919,1419.0
8726080,275.0
9160546,
7978489,463.0
8789654,154.0
7646490,341.0
8733138,85.0
8861435,634.0
6540652,129.0
10129085,270.0
10202624,372.0
7455226,319.0
8918056,504.0
8695958,615.0
7997188,422.0
7832760,486.0
10870108,246.0
10848399,112.0
10807336,135.0
7590478,201.0
9631260,564.0
7594523,299.0
D252325,
D501263,
7665283,
8197704,420.0
8801110,319.0
9078029,
8100761,783.0
7554732,294.0
D317540,
D270699,
11086023,346.0
9705925,52.0
10728020,214.0
5288750,
8680972,395.0
D613424,
9871062,52.0
7872160,144.0
D733142,
6661493,45.0
9957044,891.0
11421184,197.0
D756357,
9140828,139.0
8774751,193.0
8415017,
D348995,
6972369,46.0
9945368,253.0
7853249,1535.0
8111806,149.0
9838913,376.0
6525399,
4091224,
9157337,411.0
6710573,72.0
8336701,444.0
10405621,478.0
10633526,175.0
9481545,166.0
10481309,62.0
7052225,140.0
10835410,125.0
7811211,826.0
D787816,
10390532,
6581944,14.0
7426921,82.0
9031548,105.0
D381292,
8437947,697.0
8654871,590.0
8945467,76.0
7556800,630.0
10561893,114.0
D755675,
9884002,
7630603,17.0
9467628,41.0
9476694,57.0
7133362,978.0
9100677,31.0
7579623,298.0
7407070,11.0
6721640,205.0
7728724,786.0
6687296,233.0
8258779,837.0
8250558,1233.0
10896205,113.0
11182600,706.0
9157033,322.0
8374401,428.0
6723193,38.0
6795812,412.0
8080830,538.0
10320706,321.0
D736061,
8572865,380.0
7139647,224.0
D854978,
8330019,318.0
8679021,635.0
7870589,1077.0
D645801,
D357122,
D694473,
8921349,253.0
7996391,707.0
D899460,
7085981,474.0
D618798,
8547843,1014.0
D514196,
8474503,200.0
D352666,
6881825,244.0
7334317,177.0
10758894,32.0
8980413,481.0
D783400,
D669641,
9054448,78.0
10442095,341.0
10535969,280.0
9544488,636.0
8750973,685.0
9285858,367.0
7848928,586.0
D783506,
10419013,
9318614,23.0
D760068,
D649222,
D727796,
10634751,115.0
11086515,
6634472,67.0
11061804,15.0
8418207,635.0
D633565,
9916864,48.0
8363589,335.0
D763820,
7939716,694.0
9988607,
10509989,
8342638,401.0
9719670,248.0
7346962,489.0
7804984,1037.0
D494958,
D602775,
10302524,105.0
9573019,210.0
D628811,
10775794,377.0
8938166,107.0
8676670,1776.0
D453364,
11361350,613.0
8626630,8.0
7095724,
6398869,
7625583,
7272706,874.0
9301672,7.0
9378000,88.0
6644620,44.0
9232439,139.0
9164595,315.0
10996263,182.0
8190357,1471.0
7929607,
8643531,487.0
10672458,
8693034,392.0
8979568,197.0
10116722,
D448635,
7985915,449.0
8777346,142.0
6991597,294.0
7280488,1058.0
7624403,1234.0
7875162,1284.0
8644277,462.0
D247101,
6847811,594.0
8151120,786.0
D249129,
9590775,14.0
11365040,48.0
8154106,1366.0
10003044,145.0
10898953,264.0
6718074,619.0
9411353,173.0
10421824,227.0
10905394,448.0
9720970,97.0
8359613,375.0
8412275,447.0
D667121,
10247271,35.0
6762126,158.0
D371364,
D562686,
D677741,
D582751,
10003487,
7012630,190.0
8104942,414.0
11152547,193.0
7739923,291.0
7969885,170.0
8550066,977.0
8702693,975.0
D319201,
8554274,27.0
10141783,445.0
D550169,
D347779,
D947179,
8133230,981.0
9111833,206.0
8824914,252.0
9894046,
D577690,
9313527,40.0
8022582,224.0
D325135,
D752390,
7543436,403.0
6641601,
8584118,
D513991,
9595476,
8568370,913.0
D704703,
10481663,228.0
9952104,292.0
8804702,
7368339,196.0
11195839,
11263027,
11253061,
8245495,87.0
11312834,254.0
D655038,
D339266,
7761159,1485.0
6901220,717.0
D595959,
9633344,260.0
8945747,837.0
7036049,600.0
8379209,91.0
D924837,
6749867,40.0
11110819,652.0
8680671,509.0
6747385,105.0
10441841,96.0
D884789,
8645454,514.0
8109312,249.0
6883136,941.0
9459919,253.0
7302302,264.0
8674401,157.0
9576253,707.0
10625000,529.0
7429021,24.0
8468007,
D745265,
8031111,202.0
D578634,
6928235,464.0
9608518,53.0
10037532,558.0
11430912,83.0
7500095,395.0
8557361,198.0
8755450,35.0
9904935,405.0
D942330,
8223197,454.0
D403442,
8438678,91.0
7531936,400.0
7875183,199.0
D431784,
6761477,72.0
9524223,123.0
7237616,42.0
7525751,79.0
8361175,766.0
11255009,204.0
8262134,214.0
9476871,371.0
10213196,387.0
7136709,18.0
8798241,222.0
9620369,157.0
7545981,678.0
8838514,302.0
D315861,
D833260,
6912302,707.0
D623382,
11363552,89.0
11044700,36.0
D812039,
D802759,
7782074,216.0
10625856,6.0
6768689,175.0
9314969,42.0
9151488,381.0
6884243,344.0
9161405,906.0
6973639,672.0
9993226,150.0
8280738,76.0
8756822,190.0
7248704,444.0
8335288,803.0
6805099,90.0
9227979,1.0
9282488,524.0
D793193,
9653922,553.0
D520256,
7756461,256.0
7286040,520.0
10499102,
8577683,
10700414,569.0
9671804,81.0
9492222,
7420971,597.0
D639660,
7045553,140.0
D674421,
9033358,158.0
D803577,
11302559,
10713062,189.0
8353425,304.0
D758261,
11447038,305.0
7529679,1097.0
9760136,260.0
D945944,
8636751,272.0
9368189,81.0
10817779,656.0
D885378,
6707034,46.0
9437732,
9789458,276.0
8279805,229.0
7904915,1029.0
8050090,
D639104,
7305710,933.0
10408129,47.0
5345010,
7762506,872.0
9234369,231.0
9672997,200.0
D511000,
D568733,
8948773,1444.0
7050081,194.0
8307721,220.0
9115535,314.0
9833985,75.0
10294948,389.0
7882439,669.0
10328517,78.0
7666901,480.0
7894788,939.0
D962448,
8433859,369.0
9858363,897.0
D522818,
7174763,30.0
10081897,
7453782,119.0
8721643,
11064022,124.0
10387149,
9966158,281.0
9449494,1915.0
8773675,164.0
9520794,511.0
D657268,
10449199,
10659821,
9159799,33.0
9204815,99.0
7055209,608.0
D888392,
9001291,117.0
10749763,271.0
9431161,32.0
5179693,
8838542,
10603762,90.0
7350139,737.0
8800990,186.0
7293985,328.0
9207216,564.0
7690533,342.0
D377722,
D581213,
D821466,
5591564,
7552273,422.0
8564044,76.0
8994000,136.0
8548806,1340.0
7595355,812.0
10542040,283.0
7092672,234.0
10210227,551.0
8680484,34.0
9178565,
D247578,
11448288,142.0
6766818,91.0
7591915,436.0
11301165,520.0
8914420,310.0
8910026,259.0
8575390,441.0
7482817,316.0
8239784,936.0
7810309,830.0
10602251,
8975676,16.0
D808073,
7020403,85.0
8278093,
7322063,37.0
6581973,126.0
6744524,178.0
9056168,232.0
7783770,806.0
D472736,
7365379,221.0
9467975,161.0
8237750,949.0
9874086,631.0
8251897,582.0
8740090,110.0
7844534,
9832656,
D694771,
6826812,4.0
D800031,
9590811,
8554831,570.0
11154565,
7827045,1472.0
5368502,
6861392,247.0
7447860,113.0
7802209,557.0
9018934,121.0
10042566,
10016110,636.0
9070823,71.0
8570317,404.0
9136841,597.0
D860397,
D265663,
D318961,
6674880,593.0
8152342,
7388834,1051.0
10339163,
8548817,1835.0
8259245,531.0
7997543,658.0
9871914,
9526410,214.0
9859134,779.0
10207155,80.0
D617290,
9980120,43.0
D450234,
11363766,415.0
9204420,401.0
10423104,
D448466,
D421279,
7962911,1168.0
11409002,531.0
D384411,
8274453,1378.0
10298958,
9647412,760.0
11444144,177.0
10346656,33.0
6610963,8.0
8237174,239.0
9686166,161.0
PP29045,82.0
9812887,22.0
7027247,228.0
D365927,
D654541,
D512673,
8632021,1013.0
10871156,199.0
8856321,716.0
9898145,31.0
11300098,222.0
9729949,478.0
10637529,29.0
D503062,
10897685,
10700110,4.0
5075592,
7562346,493.0
10629239,
9900385,461.0
6676583,15.0
D599166,
8454298,1410.0
10302819,98.0
D301154,
7187991,206.0
10090999,172.0
D589352,
D304266,
9953541,143.0
7918865,1364.0
9757963,120.0
7114448,287.0
11105455,191.0
10363664,121.0
8252954,272.0
8272184,52.0
9432345,104.0
10568221,113.0
D587444,
10536962,78.0
6422525,
7574691,703.0
10167772,51.0
D663514,
7945765,404.0
9816561,32.0
9271146,49.0
7167817,507.0
7816026,1062.0
8637028,
7638068,678.0
D738293,
6533110,
D573418,
9579124,375.0
D533637,
11352080,217.0
8881874,127.0
8506752,30.0
7916081,337.0
D271636,
7594367,194.0
10883650,
10858772,42.0
7769243,943.0
D706245,
11435124,449.0
8783285,1332.0
9254764,149.0
11453097,89.0
10267537,878.0
7793875,345.0
D944858,
9913346,37.0
10625201,221.0
7923934,626.0
8691429,899.0
8670005,744.0
11332585,546.0
