patent_id,wipo_field_sequence,wipo_field_id,wipo_sector_title,wipo_field_title
11352688,1,20.0,Chemistry,"Materials, metallurgy"
5953419,0,6.0,Electrical engineering,Computer technology
10218344,0,5.0,Electrical engineering,Basic communication processes
10251587,0,13.0,Instruments,Medical technology
10492198,0,4.0,Electrical engineering,Digital communication
10598226,1,10.0,Instruments,Measurement
7264859,0,13.0,Instruments,Medical technology
10531891,1,3.0,Electrical engineering,Telecommunications
11430544,0,6.0,Electrical engineering,Computer technology
11058390,1,13.0,Instruments,Medical technology
10042338,2,12.0,Instruments,Control
6562166,1,13.0,Instruments,Medical technology
9369084,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
8855820,0,12.0,Instruments,Control
4610033,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
8112426,0,6.0,Electrical engineering,Computer technology
11379341,1,6.0,Electrical engineering,Computer technology
7497210,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
8854588,0,9.0,Instruments,Optics
4009913,0,25.0,Mechanical engineering,Handling
8628101,0,32.0,Mechanical engineering,Transport
9303521,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
10956019,1,10.0,Instruments,Measurement
4718214,0,35.0,Other fields,Civil engineering
7151257,0,9.0,Instruments,Optics
5293295,0,10.0,Instruments,Measurement
4207989,1,25.0,Mechanical engineering,Handling
4938827,0,29.0,Mechanical engineering,Other special machines
5060544,0,12.0,Instruments,Control
10065921,0,14.0,Chemistry,Organic fine chemistry
9631567,1,10.0,Instruments,Measurement
7523708,0,32.0,Mechanical engineering,Transport
11302315,0,6.0,Electrical engineering,Computer technology
10102424,2,12.0,Instruments,Control
8650616,1,6.0,Electrical engineering,Computer technology
8577781,0,7.0,Electrical engineering,IT methods for management
11388033,0,4.0,Electrical engineering,Digital communication
7537827,2,17.0,Chemistry,"Macromolecular chemistry, polymers"
5681477,0,10.0,Instruments,Measurement
4831396,0,9.0,Instruments,Optics
9344613,0,2.0,Electrical engineering,Audio-visual technology
8055767,0,4.0,Electrical engineering,Digital communication
9738595,0,14.0,Chemistry,Organic fine chemistry
5845676,0,31.0,Mechanical engineering,Mechanical elements
8579664,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
9534302,1,21.0,Chemistry,"Surface technology, coating"
7654350,1,25.0,Mechanical engineering,Handling
5984359,0,33.0,Other fields,"Furniture, games"
7745631,0,14.0,Chemistry,Organic fine chemistry
10899268,2,10.0,Instruments,Measurement
5390796,0,13.0,Instruments,Medical technology
4225695,1,9.0,Instruments,Optics
5708350,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
4553315,0,8.0,Electrical engineering,Semiconductors
5729578,0,3.0,Electrical engineering,Telecommunications
6943211,0,16.0,Chemistry,Pharmaceuticals
9850361,0,29.0,Mechanical engineering,Other special machines
4229413,0,23.0,Chemistry,Chemical engineering
9592422,2,12.0,Instruments,Control
8241772,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
5824321,1,16.0,Chemistry,Pharmaceuticals
10574013,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
4487611,1,30.0,Mechanical engineering,Thermal processes and apparatus
7752477,1,6.0,Electrical engineering,Computer technology
9223936,2,34.0,Other fields,Other consumer goods
9731201,0,33.0,Other fields,"Furniture, games"
8935332,1,6.0,Electrical engineering,Computer technology
9735615,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
7993665,0,16.0,Chemistry,Pharmaceuticals
4377090,0,10.0,Instruments,Measurement
9095222,0,13.0,Instruments,Medical technology
8743305,0,9.0,Instruments,Optics
7419184,0,32.0,Mechanical engineering,Transport
6093916,0,9.0,Instruments,Optics
11041498,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
10518605,0,32.0,Mechanical engineering,Transport
11130378,0,32.0,Mechanical engineering,Transport
8807257,0,32.0,Mechanical engineering,Transport
9208102,0,6.0,Electrical engineering,Computer technology
8529007,0,28.0,Mechanical engineering,Textile and paper machines
10912659,0,13.0,Instruments,Medical technology
8144342,0,9.0,Instruments,Optics
6625766,0,6.0,Electrical engineering,Computer technology
6081518,0,4.0,Electrical engineering,Digital communication
5874117,0,18.0,Chemistry,Food chemistry
5490069,0,32.0,Mechanical engineering,Transport
9954358,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
11392719,2,4.0,Electrical engineering,Digital communication
11040074,0,16.0,Chemistry,Pharmaceuticals
6898253,0,4.0,Electrical engineering,Digital communication
9291001,0,35.0,Other fields,Civil engineering
11259374,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
10079262,0,8.0,Electrical engineering,Semiconductors
10535273,2,32.0,Mechanical engineering,Transport
10313688,1,6.0,Electrical engineering,Computer technology
11369928,1,33.0,Other fields,"Furniture, games"
5027720,2,30.0,Mechanical engineering,Thermal processes and apparatus
