entity_id,patent_id,mag_name,patent_name
256375019.0,"8132893, 7973966, 7857536, 7557829, 6471331, 7152967",Kia Silverbrook,"Kia Silverbrook, Kia Silverbrook, Kia Silverbrook, Kia Silverbrook, Kia Silverbrook, Kia Silverbrook"
2011660795.0,5629082,Werner Schubert,Werner Schubert
2020207179.0,7907360,UttHeng Kan,UttHeng Kan
2040397382.0,9153581,Ming Zhu,Ming Zhu
2099234867.0,4864623,Floris L. van Nes,Floris L. Van Nes
2103382924.0,7345324,Ghulam Hasnain,Ghulam Hasnain
2106583380.0,4649674,Donald C. Watson,Donald C. Watson
2107787300.0,9193567,Johannes de Jong,Johannes De Jong
2113992581.0,8034659,Keiichi Hatakeyama,Keiichi Hatakeyama
2116064734.0,7959101,Stephen Whitehead,Stephen Whitehead
2116506420.0,9480024,Hyun Soo Ko,Hyun Soo Ko
2122870198.0,11005193,Ki-Jung Kim,Ki-Jung Kim
2123397284.0,9622285,Ajay Singh,Ajay Singh
2124949828.0,8901542,Ryoji Nomura,Ryoji Nomura
2125112749.0,5336079,Iwao Okazaki,Iwao Okazaki
2134161364.0,9143992,Bin Li,Bin Li
2136976375.0,9760595,Yonggang Zhao,Yonggang Zhao
2146897902.0,8565146,Danlu Zhang,Danlu Zhang
2148178440.0,8786092,Naoki Takahashi,Naoki Takahashi
2151496961.0,RE44697,David E. Jones,David E. Jones
2153784826.0,4593179,George Spector,George Spector
2168543231.0,9157654,Shuji Fujimoto,Shuji Fujimoto
2170845214.0,6342171,Charles A. Parker,Charles A. Parker
2182271466.0,11325861,Weifeng Zhang,Weifeng Zhang
2188978070.0,7962282,Yao Enjian,Enjian Yao
2198923364.0,7876866,Graeme B. Boyd,Graeme B. Boyd
2199724999.0,4547823,Yasuo Osada,Yasuo Osada
2201453754.0,10626647,Robert J. Clark,Robert J. Clark
2211037693.0,8540202,Wu-Qi Li,Wu-Qi Li
2223035143.0,5269869,David A. Peterson,David A. Peterson
2228001949.0,D681493,Hiroshi Okuda,Hiroshi Okuda
2232436725.0,11179507,Tomoya Murakami,Tomoya Murakami
2235616186.0,4090118,Andrew Smith,Andrew Smith
2242025474.0,6012297,Yuji Ito,Yuji Ito
2242844004.0,"10717213, 10947296",Peng Liu,"Peng Liu, Peng Liu"
2243183883.0,5250323,Shinji Miyazaki,Shinji Miyazaki
2244348873.0,8221667,Yuan Yao,Yuan Yao
2251571653.0,7136553,Hyun-Soo Kim,Hyun-Soo Kim
2254880253.0,8846466,Feng Yuan,Feng Yuan
2257870252.0,"6642142, 7054746",Hiroshi Tanaka,"Hiroshi Tanaka, Hiroshi Tanaka"
2258200520.0,10702441,Aaron Julin,Aaron Julin
2259744482.0,8899012,Brian J. Tillotson,Brian J. Tillotson
2260518645.0,"10149055, 10884691",Lin Du,"Lin Du, Lin Du"
2266909126.0,6360789,Glenn Walker,Glenn Walker
2287447448.0,6560720,Rony Ross,Rony Ross
2290137669.0,5150940,John Kennedy,John Kennedy
2293958890.0,10307941,Michael J. Murphy,Michael J. Murphy
2295290268.0,11387140,Chih-Hao Wang,Chih-Hao Wang
2298192178.0,6002579,Manfred Schmidt,Manfred Schmidt
2302053142.0,5112638,James O. Kysilka,James O. Kysilka
2302055762.0,8159035,Kang-Cheng Lin,Kang-Cheng Lin
2304128895.0,"10057779, 10285147, 10687352",Tao Luo,"Tao Luo, Tao Luo, Tao Luo"
2304801353.0,8927131,Xiaohui Wang,Xiaohui Wang
2306142672.0,D936998,Ning Zhou,Ning Zhou
2306884884.0,D855430,Yuan Liu,Yuan Liu
2307235680.0,11438870,Huang Huang,Huang Huang
