entity_id,dcterms_title
973816313,面向农牧区 培养双语师资——康定民族师范学校双语教学调查
566794768,29p-APS-61 Dy(Fe_ Co_x)_2の低温X線回折
2367711586,Improved program evaluate review technique based on particle swarm optimization algorithm
2090358667,Did Gorbachev as General Secretary Become a Social Democrat
2827751863,Speed control for DC motor
2987851438,Der Preis des Ruhms
596046335,Shakespeare's Histories
2791512186,Материальное основание условно-досрочного освобождения от наказания
2625687406,Representational breakdown in expert system development
2855662983,MOLD DEVICE FOR RESIN PACKAGING AND RESIN PACKAGING METHOD USING THE SAME
2842974589,Tracing transmission mechanism suitable for solar concentrating system
2737220573,Jurassic calcareous nannofossil biostratigraphy of Western Europe; compilation of recent studies and calibration of bioevents
2243229419,"Symposium: Through a shot glass, darkly: exploring the thinking-Feeling connection in impulsive alcohol use by adolescents"
24012565,Urban-Rural Bias and the Political Geography of Distributive Conflicts
2087740852,Untersuchungen zur sozialgeographischen Situation und regionalen Mobilität in neuen Großwohngebieten am Beispiel Ulm-Eselsberg
22735580,IB-8 低体重・一過性の精神症状を呈した摂食障害者への「入院体重設定療法」の活用 : これを利用した臨床心理士の立場から(摂食障害II)
1964236187,A validation study on Sasang constitutions and genetic influences
2142590198,Polymorphonuclear leucocyte transfusion in neonatal septicaemia.
2163679188,The Transcriptional and Epigenomic Foundations of Ground State Pluripotency
1879732265,"Population and Living Standards, 1870-1914"
2056150287,Preparation and characterization of AlN/ZrN and AlN/TiN nanolaminate coatings
2964294935,On the spectra of generalized Fibonacci and Fibonacci-like operators
2518381205,Mutations Of Western Christianity
3032148799,Kickstand extended external fixation for prevention of pressure sores and swelling in the post-traumatic lower extremity
2850949280,METHOD FOR IRRADIATION OF PATIENTS WITH METASTATIC BRAIN TUMORS
2241254389,"Puente Pino: un yacimiento achelense en Alcolea de Tajo (Toledo, España)"
2420525405,Which patients fail to improve
2277747285,"Systems, methods, and apparatuses for multi-path orthogonal recursive predistortion"
2881761427,HEAT-SENSITIVE POLYMER AND IT PRODUCTION
2814172551,Dirty marsh gas processing apparatus of excrement
1987808820,Interesterificação química de óleo de soja e óleo de soja totalmente hidrogenado: influência do tempo de reação
2416570773,[Chemical-physical noxas by atmospheric contamination].
2334085102,"Edward C. Echols, Herodian of Antioch's History of the Roman Empire from the Death of Marcus Aurelius ot the Accession of Gordian III. Translated from the Greek"
915838446,Ultrastructure and Mrphological Fatures of Mcoplasma pneumoniae during Clture Dvelopment
2292249588,Biodiversità vegetale dei sistemi forestali in Italia
303574481,Survey: Is It Time for Our Organization to Recognize Subspecialties within School Psychology?.
2094156143,How useful is the monitoring of (low molecular weight) heparin therapy by anti-Xa assay? A laboratory perspective.
1993436808,Max Weber and modern sociology
1585373528,Weapons of mass destruction : new perspectives on counterproliferation
51646667,Long Term Striping Alternatives for Bridge Decks
180925567,Detection and Characterization of Short Circuits in 42 V Power Nets
2157632866,"Simple methods for alkaline protease purification from the polychaeta, Periserrula leucophryna"
1587019648,Analysis of murein and murein precursors during antibiotic-induced lysis of Escherichia coli.
2777450777,creating a Risk Stratification Tool to Standardize Postnatal Management of Neonates with Prenatally Diagnosed Congenital Heart Disease : p1-52
2819122874,INJECTION DEVICE AND RELATIVE OPERATIVE METHOD
2078304214,Positive correlation between CD137 expression and complex stenosis morphology in patients with acute coronary syndromes.
2426938988,Main components of the bile in chronic cholecystitis
242568918,羚桂龙牡颗粒对病毒性心肌炎小鼠血清IFN-γ、IL-4水平的影响
1451053928,The winter hardiness of sour cherries in northern districts of the Don Basin.
2008771912,Meaning for the professional practice of terms attributed to actions of nursing - a descriptive study
2472941415,Caseous lymphadenitis in small ruminants in Egypt
2870186910,DOMESTIC WATER TAKER
2465096474,Humours of Beedom.—IX
2790388185,Sensitive detection of thyroid stimulating hormone by inkjet printed microchip with a double signal amplification strategy
2899365681,Decretum quo Servitium Securitatis atque Salutis in locis laboris supprimitur eiusque functiones Sanitaris et Hygienes Publicae Directioni tribuuntur
1599727192,Characteristics of ferrochrome smelter slag and its implications in metal accounting
2327580101,Highly Reliable Digital Control System Based on Intelligent Error Detection for Safety Operations
74122694,Evaluation of gamma lines for NAA
2821890533,Composite material containing ultrafine material film and its preparation method and application
2869083495,"НЕПЕРЕЗАПИСЫВАЕМЫЙ НОСИТЕЛЬ ЗАПИСИ ИНФОРМАЦИИ, СПОСОБ ЗАПИСИ ИНФОРМАЦИИ, УСТРОЙСТВО ЗАПИСИ ИНФОРМАЦИИ, СПОСОБ ВОСПРОИЗВЕДЕНИЯ ИНФОРМАЦИИ, УСТРОЙСТВО ВОСПРОИЗВЕДЕНИЯ ИНФОРМАЦИИ И СПОСОБ ИЗГОТОВЛЕНИЯ НОСИТЕЛЯ ЗАПИСИ ИНФОРМАЦИИ"
1674808669,The encoding/decoding model revisited
978894188,Rola interesariuszy w zarządzaniu przedsiębiorstwem górniczym
1972161265,Is there a role for surgery in the treatment of mastalgia
2142526630,THERMOELECTRIC POWER OF CERIUM UP TO 6 GPa
409668983,P208 大規模並列計算のための全球格子モデルの開発(ポスター・セッション)
2035330544,Rolling friction and adhesion between smooth solids
2107073443,Direct Search Methods on Parallel Machines
2731984537,SINGLE LINE TWO-WAY COMMUNICATION DEPENDING ON BIAS VOLTAGE TIME DIVISION
